episode_id,player_id,source,value,game_time
1,2,attack,-0.05,0.30
1,0,wall_collision,-0.5,0.35
1,0,attack,-0.05,0.43
1,0,wall_collision,-0.5,0.48
1,1,wall_collision,-0.5,0.48
1,3,attack,-0.05,0.57
1,0,wall_collision,-0.5,0.62
1,0,wall_collision,-0.5,0.75
1,0,wall_collision,-0.5,0.88
1,1,wall_collision,-0.5,0.88
1,0,wall_collision,-0.5,1.02
1,1,wall_collision,-0.5,1.02
1,0,wall_collision,-0.5,1.15
1,1,wall_collision,-0.5,1.15
1,0,wall_collision,-0.5,1.28
1,2,wall_collision,-0.5,1.28
1,1,attack,-0.05,1.38
1,2,wall_collision,-0.5,1.42
1,3,collect_ball_A,10.0,1.82
1,1,wall_collision,-0.5,2.35
1,1,wall_collision,-0.5,2.62
1,1,wall_collision,-0.5,2.88
1,3,wall_collision,-0.5,2.88
1,0,attack,-0.05,2.97
1,3,wall_collision,-0.5,3.02
1,1,attack,-0.05,3.10
1,3,wall_collision,-0.5,3.28
1,2,attack,-0.05,3.37
1,0,wall_collision,-0.5,3.95
1,1,wall_collision,-0.5,3.95
1,3,wall_collision,-0.5,3.95
1,0,wall_collision,-0.5,4.08
1,1,wall_collision,-0.5,4.08
1,3,wall_collision,-0.5,4.08
1,0,wall_collision,-0.5,4.22
1,3,wall_collision,-0.5,4.22
1,3,wall_collision,-0.5,4.35
1,0,attack,-0.05,4.72
1,3,wall_collision,-0.5,4.75
1,3,attack,-0.05,4.85
1,3,wall_collision,-0.5,4.88
1,1,collect_ball_A,10.0,4.95
1,3,wall_collision,-0.5,5.02
1,3,wall_collision,-0.5,5.15
1,3,wall_collision,-0.5,5.28
1,3,wall_collision,-0.5,5.42
1,2,attack,-0.05,5.50
1,1,collect_ball_A,10.0,5.70
1,1,wall_collision,-0.5,5.82
1,1,attack,-0.05,6.03
1,0,wall_collision,-0.5,6.22
1,0,wall_collision,-0.5,6.35
1,0,wall_collision,-0.5,6.48
1,0,wall_collision,-0.5,6.62
1,1,wall_collision,-0.5,6.75
1,3,wall_collision,-0.5,6.75
1,0,collect_ball_A,10.0,6.77
1,0,attack,-0.05,6.82
1,3,wall_collision,-0.5,6.88
1,3,attack,-0.05,6.95
1,2,wall_collision,-0.5,7.02
1,3,wall_collision,-0.5,7.02
1,3,wall_collision,-0.5,7.15
1,3,wall_collision,-0.5,7.28
1,0,wall_collision,-0.5,7.42
1,3,wall_collision,-0.5,7.42
1,3,wall_collision,-0.5,7.55
1,0,collect_ball_A,10.0,7.57
1,3,wall_collision,-0.5,8.08
1,3,wall_collision,-0.5,8.22
1,3,wall_collision,-0.5,8.35
1,1,attack,-0.05,8.42
1,3,wall_collision,-0.5,8.48
1,3,wall_collision,-0.5,8.62
1,0,attack,-0.05,8.68
1,3,attack,-0.05,8.68
1,3,wall_collision,-0.5,8.75
1,3,wall_collision,-0.5,8.88
1,3,wall_collision,-0.5,9.02
1,2,attack,-0.05,9.08
1,3,wall_collision,-0.5,9.15
1,3,wall_collision,-0.5,9.28
1,3,wall_collision,-0.5,9.42
1,2,wall_collision,-0.5,9.82
1,3,wall_collision,-0.5,10.22
1,0,attack,-0.05,10.25
1,1,attack,-0.05,10.30
1,3,attack,-0.05,10.30
1,1,collect_ball_A,10.0,10.30
1,3,wall_collision,-0.5,10.35
1,3,wall_collision,-0.5,10.48
1,3,wall_collision,-0.5,10.62
1,3,wall_collision,-0.5,10.75
1,3,wall_collision,-0.5,10.88
1,3,wall_collision,-0.5,11.02
1,2,attack,-0.05,11.48
1,1,attack,-0.05,12.82
1,3,attack,-0.05,12.82
1,2,attack,-0.05,13.35
1,3,wall_collision,-0.5,14.08
1,0,attack,-0.05,14.42
1,1,attack,-0.05,14.55
1,2,attack,-0.05,14.93
1,3,attack,-0.05,15.37
1,0,collect_ball_A,10.0,15.65
1,0,attack,-0.05,16.15
1,3,wall_collision,-0.5,16.48
1,1,attack,-0.05,16.68
1,2,attack,-0.05,16.82
1,2,attack,-0.05,18.97
1,1,attack,-0.05,19.75
1,0,attack,-0.05,20.30
1,3,attack,-0.05,20.45
1,2,attack,-0.05,20.85
1,1,attack,-0.05,21.37
1,2,attack,-0.05,22.55
1,0,attack,-0.05,22.82
1,1,attack,-0.05,23.27
1,3,attack,-0.05,24.28
1,2,collect_ball_A,10.0,24.33
