episode_id,player_id,source,value,game_time
1,0,attack,-0.05,0.42
1,2,attack,-0.05,0.42
1,1,attack,-0.05,0.55
1,3,attack,-0.05,1.48
1,0,attack,-0.05,2.02
1,1,collect_ball_A,10.0,2.38
1,1,attack,-0.05,2.68
1,2,attack,-0.05,3.62
1,0,attack,-0.05,4.68
1,1,attack,-0.05,5.48
1,2,attack,-0.05,5.48
1,3,attack,-0.05,5.88
1,1,collect_ball_A,10.0,6.28
1,0,attack,-0.05,6.55
1,1,attack,-0.05,7.22
1,2,attack,-0.05,7.35
1,3,attack,-0.05,7.92
1,0,attack,-0.05,8.58
1,1,attack,-0.05,8.98
1,2,attack,-0.05,9.12
1,0,collect_ball_A,10.0,9.48
1,3,attack,-0.05,9.90
1,2,collect_ball_A,10.0,10.33
1,0,collect_ball_A,10.0,10.63
1,1,attack,-0.05,10.70
1,0,attack,-0.05,11.10
1,3,collect_ball_A,10.0,11.45
1,2,attack,-0.05,11.50
1,0,collect_ball_A,10.0,12.22
1,3,collect_ball_A,10.0,12.35
1,3,attack,-0.05,12.57
1,1,collect_ball_A,10.0,13.22
1,0,attack,-0.05,13.37
1,2,attack,-0.05,13.37
1,2,collect_ball_A,10.0,14.20
1,1,attack,-0.05,14.43
1,3,collect_ball_A,10.0,14.55
1,2,collect_ball_A,10.0,15.22
1,3,attack,-0.05,15.23
1,2,attack,-0.05,15.50
1,0,attack,-0.05,15.90
1,1,attack,-0.05,16.43
1,3,attack,-0.05,17.77
1,2,attack,-0.05,18.03
1,0,attack,-0.05,18.43
1,1,attack,-0.05,18.97
1,2,attack,-0.05,20.03
1,0,attack,-0.05,21.77
1,2,attack,-0.05,22.17
1,0,collect_ball_B,15.0,22.33
1,3,attack,-0.05,22.57
1,0,attack,-0.05,24.03
1,2,attack,-0.05,24.03
1,0,bear_damage,-10.0,24.83
1,1,attack,-0.05,25.50
1,3,attack,-0.05,25.63
1,0,attack,-0.05,25.77
1,2,attack,-0.05,27.23
1,0,bear_damage,-10.0,27.37
1,0,attack,-0.05,28.30
1,0,bear_damage,-10.0,28.30
1,2,attack,-0.05,28.83
1,1,attack,-0.05,28.97
1,0,collect_ball_B,15.0,30.10
1,0,collect_ball_B,15.0,30.57
1,0,attack,-0.05,30.97
1,2,attack,-0.05,31.10
1,0,bear_damage,-10.0,31.10
1,0,cause_damage_to_enemy,10.0,31.37
1,3,attack,-0.05,31.90
1,1,attack,-0.05,32.03
1,2,attack,-0.05,32.70
1,3,collect_ball_B,15.0,33.00
2,0,bear_damage,-10.0,33.50
2,3,attack,-0.05,33.77
2,0,collect_ball_A,10.0,34.30
2,2,collect_ball_A,10.0,34.87
2,1,collect_ball_A,10.0,34.90
2,0,collect_ball_A,10.0,35.15
2,0,attack,-0.05,35.23
2,3,collect_ball_A,10.0,36.07
2,3,attack,-0.05,36.30
2,1,collect_ball_A,10.0,36.52
2,2,collect_ball_A,10.0,36.77
2,0,collect_ball_A,10.0,37.57
2,1,attack,-0.05,37.63
2,2,attack,-0.05,37.63
2,3,attack,-0.05,38.43
2,1,collect_ball_A,10.0,38.55
2,3,collect_ball_A,10.0,39.18
2,1,attack,-0.05,39.23
2,2,attack,-0.05,39.37
2,0,attack,-0.05,39.63
2,3,collect_ball_A,10.0,40.38
2,3,attack,-0.05,40.43
2,1,attack,-0.05,41.90
2,2,collect_ball_A,10.0,42.43
2,1,attack,-0.05,43.50
2,2,attack,-0.05,46.70
2,3,attack,-0.05,46.83
2,1,attack,-0.05,48.03
2,2,attack,-0.05,48.43
2,3,collect_ball_B,15.0,49.68
2,3,attack,-0.05,49.90
2,1,attack,-0.05,50.43
2,2,attack,-0.05,51.23
2,3,attack,-0.05,51.90
2,1,attack,-0.05,52.42
2,3,collect_ball_B,15.0,53.83
2,3,attack,-0.05,54.68
2,0,attack,-0.05,55.75
2,3,attack,-0.05,56.95
2,2,attack,-0.05,57.75
2,3,collect_ball_B,15.0,58.20
2,0,attack,-0.05,58.28
2,3,attack,-0.05,58.95
2,1,attack,-0.05,60.02
2,0,attack,-0.05,60.42
2,3,bear_damage,-10.0,60.68
2,1,attack,-0.05,62.15
2,3,attack,-0.05,62.95
2,0,attack,-0.05,63.08
2,2,attack,-0.05,63.62
2,1,attack,-0.05,63.75
2,3,bear_damage,-10.0,64.42
2,0,attack,-0.05,64.68
2,2,attack,-0.05,65.62
2,1,attack,-0.05,66.15
3,0,collect_ball_A,10.0,67.77
3,1,collect_ball_A,10.0,67.88
3,1,collect_ball_A,10.0,67.97
3,3,attack,-0.05,68.02
3,2,collect_ball_A,10.0,68.90
3,0,attack,-0.05,68.95
3,1,collect_ball_A,10.0,69.12
3,1,attack,-0.05,69.22
3,2,collect_ball_A,10.0,69.63
3,3,collect_ball_A,10.0,70.07
3,0,collect_ball_A,10.0,70.75
3,1,attack,-0.05,70.95
3,0,attack,-0.05,71.62
3,3,collect_ball_A,10.0,71.78
3,3,collect_ball_A,10.0,72.73
3,0,collect_ball_A,10.0,72.88
3,1,attack,-0.05,72.95
3,2,attack,-0.05,73.08
3,0,attack,-0.05,73.48
3,1,attack,-0.05,74.55
3,2,collect_ball_A,10.0,74.73
3,2,attack,-0.05,76.42
3,3,attack,-0.05,77.08
3,0,attack,-0.05,78.15
3,2,attack,-0.05,78.55
3,0,attack,-0.05,79.75
3,2,attack,-0.05,82.42
3,3,collect_ball_B,15.0,82.68
3,1,collect_ball_B,15.0,83.18
3,3,attack,-0.05,83.22
3,3,bear_damage,-10.0,83.35
3,3,bear_damage,-10.0,84.55
3,1,collect_ball_B,15.0,85.23
3,3,collect_ball_B,15.0,85.23
3,3,attack,-0.05,85.35
3,1,attack,-0.05,85.48
3,3,cause_damage_to_enemy,10.0,85.75
3,3,cause_damage_to_enemy,10.0,85.75
3,3,bear_damage,-10.0,87.88
3,1,attack,-0.05,88.15
3,1,cause_damage_to_enemy,10.0,88.55
3,1,kill_enemy,30.0,88.55
3,1,bear_damage,-10.0,88.68
3,3,bear_damage,-10.0,89.08
3,0,attack,-0.05,89.88
3,3,attack,-0.05,90.15
3,1,bear_damage,-10.0,90.28
3,1,bear_damage,-10.0,91.22
3,2,collect_ball_B,15.0,91.47
3,3,bear_damage,-10.0,92.68
3,3,collect_ball_B,15.0,92.87
3,1,attack,-0.05,93.22
3,1,bear_damage,-10.0,93.22
3,3,attack,-0.05,94.15
3,2,bear_damage,-10.0,96.15
3,2,collect_ball_B,15.0,96.60
3,1,attack,-0.05,96.68
3,3,bear_damage,-10.0,96.82
3,2,bear_damage,-10.0,97.08
3,1,cause_damage_to_player,15.0,97.08
3,1,bear_damage,-10.0,97.75
3,0,attack,-0.05,98.28
3,3,attack,-0.05,98.28
3,1,collect_ball_B,15.0,99.67
3,1,attack,-0.05,99.75
3,2,attack,-0.05,100.15
4,1,collect_ball_B,15.0,100.43
4,3,collect_ball_B,15.0,100.43
4,3,collect_ball_A,10.0,101.23
4,3,attack,-0.05,101.62
4,0,collect_ball_A,10.0,101.93
4,1,collect_ball_A,10.0,102.05
4,0,collect_ball_A,10.0,102.78
4,0,attack,-0.05,103.88
4,0,collect_ball_A,10.0,104.52
4,2,collect_ball_A,10.0,104.75
4,3,attack,-0.05,105.08
4,1,collect_ball_A,10.0,105.08
4,2,attack,-0.05,105.22
4,0,attack,-0.05,106.28
4,3,collect_ball_A,10.0,106.92
4,1,collect_ball_A,10.0,107.52
4,2,collect_ball_A,10.0,107.82
4,1,attack,-0.05,108.02
4,3,attack,-0.05,108.68
4,2,collect_ball_A,10.0,109.50
4,2,attack,-0.05,109.62
4,3,collect_ball_A,10.0,110.30
4,1,attack,-0.05,111.35
4,3,attack,-0.05,111.35
4,0,attack,-0.05,111.88
4,2,attack,-0.05,113.35
4,3,attack,-0.05,115.75
4,0,attack,-0.05,116.95
4,1,attack,-0.05,116.95
4,2,attack,-0.05,118.95
4,2,bear_damage,-10.0,119.35
4,2,cause_damage_to_enemy,10.0,119.35
4,2,bear_damage,-10.0,119.88
4,0,attack,-0.05,121.08
4,1,attack,-0.05,121.62
4,3,attack,-0.05,122.68
4,2,attack,-0.05,123.08
4,0,attack,-0.05,123.48
4,2,bear_damage,-10.0,124.82
4,1,attack,-0.05,126.42
4,0,attack,-0.05,127.62
4,2,bear_damage,-10.0,128.42
4,1,attack,-0.05,128.68
4,1,cause_damage_to_enemy,10.0,129.08
4,1,bear_damage,-10.0,129.48
4,2,collect_ball_B,15.0,129.63
4,3,collect_ball_B,15.0,130.32
4,2,collect_ball_B,15.0,130.55
4,1,attack,-0.05,131.88
4,0,attack,-0.05,133.08
4,3,attack,-0.05,133.22
5,2,collect_ball_A,10.0,134.50
5,0,attack,-0.05,134.55
5,3,collect_ball_A,10.0,134.67
5,2,collect_ball_A,10.0,135.35
5,3,collect_ball_A,10.0,135.90
5,0,collect_ball_A,10.0,136.15
5,0,collect_ball_A,10.0,136.30
5,2,attack,-0.05,137.75
5,3,collect_ball_A,10.0,137.75
5,0,collect_ball_A,10.0,137.88
5,1,collect_ball_A,10.0,138.07
5,1,attack,-0.05,138.15
5,2,collect_ball_A,10.0,138.68
5,0,attack,-0.05,139.35
5,2,attack,-0.05,139.35
5,1,collect_ball_A,10.0,139.57
5,3,attack,-0.05,139.75
5,1,collect_ball_A,10.0,141.00
5,0,attack,-0.05,143.48
5,3,collect_ball_B,15.0,144.35
5,0,collect_ball_B,15.0,144.65
5,3,attack,-0.05,145.22
5,1,attack,-0.05,145.88
5,0,bear_damage,-10.0,145.88
5,2,collect_ball_B,15.0,147.22
5,0,attack,-0.05,147.35
5,3,bear_damage,-10.0,147.75
5,0,cause_damage_to_player,15.0,147.75
5,1,attack,-0.05,148.02
5,0,collect_ball_B,15.0,148.03
5,2,attack,-0.05,148.68
5,3,bear_damage,-10.0,150.15
5,1,attack,-0.05,150.55
5,2,attack,-0.05,152.15
5,0,attack,-0.05,152.42
5,2,collect_ball_B,15.0,152.85
5,3,collect_ball_B,15.0,153.18
5,3,attack,-0.05,153.35
5,0,bear_damage,-10.0,154.68
5,0,bear_damage,-10.0,154.68
5,2,collect_ball_B,15.0,154.70
5,0,attack,-0.05,154.82
5,3,attack,-0.05,155.48
5,3,cause_damage_to_enemy,10.0,155.88
5,3,cause_damage_to_enemy,10.0,155.88
5,0,attack,-0.05,156.42
5,2,attack,-0.05,156.68
5,2,collect_ball_B,15.0,156.70
5,3,attack,-0.05,157.48
5,3,cause_damage_to_enemy,10.0,157.88
5,3,cause_damage_to_enemy,10.0,157.88
5,3,kill_enemy,30.0,157.88
5,3,bear_damage,-10.0,158.02
5,3,bear_damage,-10.0,158.15
5,1,attack,-0.05,158.82
5,1,collect_ball_B,15.0,158.83
5,2,bear_damage,-10.0,159.22
5,1,cause_damage_to_player,15.0,159.22
5,0,collect_ball_B,15.0,159.33
5,3,attack,-0.05,160.02
5,2,attack,-0.05,160.82
5,0,attack,-0.05,161.08
5,1,attack,-0.05,161.08
5,1,bear_damage,-10.0,161.48
5,0,cause_damage_to_player,15.0,161.48
5,0,cause_damage_to_enemy,10.0,161.48
5,0,kill_enemy,30.0,161.48
5,0,bear_damage,-10.0,161.88
5,2,collect_ball_B,15.0,161.90
5,3,attack,-0.05,162.42
5,0,attack,-0.05,163.48
5,1,bear_damage,-10.0,163.88
5,0,cause_damage_to_player,15.0,163.88
5,1,collect_ball_B,15.0,164.33
5,1,attack,-0.05,164.68
5,3,bear_damage,-10.0,166.15
5,3,attack,-0.05,166.42
5,0,attack,-0.05,166.82
5,0,cause_damage_to_enemy,10.0,167.22
5,0,kill_enemy,30.0,167.22
6,2,collect_ball_B,15.0,167.50
