episode_id,player_id,source,value,game_time
1,2,attack,-0.05,0.42
1,3,attack,-0.05,0.42
1,0,attack,-0.05,0.82
1,1,attack,-0.05,2.02
1,2,collect_ball_A,10.0,2.25
1,3,attack,-0.05,2.43
1,2,attack,-0.05,2.57
1,0,attack,-0.05,3.23
1,1,attack,-0.05,3.62
1,2,collect_ball_A,10.0,4.23
1,0,attack,-0.05,4.82
1,1,attack,-0.05,5.08
1,2,attack,-0.05,5.22
1,3,attack,-0.05,6.28
1,1,attack,-0.05,7.22
1,0,attack,-0.05,8.03
1,2,attack,-0.05,8.70
1,2,collect_ball_A,10.0,8.70
1,3,attack,-0.05,8.97
1,1,attack,-0.05,10.70
1,2,attack,-0.05,10.83
1,3,attack,-0.05,11.23
1,3,collect_ball_A,10.0,12.00
1,1,attack,-0.05,12.18
1,0,attack,-0.05,12.43
1,2,attack,-0.05,13.35
1,1,attack,-0.05,13.77
1,0,attack,-0.05,14.02
1,3,attack,-0.05,14.18
1,1,collect_ball_A,10.0,14.47
1,0,collect_ball_A,10.0,15.67
1,1,attack,-0.05,15.90
1,2,attack,-0.05,15.90
1,3,attack,-0.05,16.17
1,0,attack,-0.05,16.43
1,2,attack,-0.05,17.62
1,0,attack,-0.05,17.92
1,3,attack,-0.05,18.18
1,1,attack,-0.05,18.45
1,2,attack,-0.05,19.37
1,0,attack,-0.05,20.15
1,1,attack,-0.05,20.15
1,3,attack,-0.05,21.22
1,2,attack,-0.05,21.62
1,0,attack,-0.05,22.15
1,1,attack,-0.05,22.42
1,3,attack,-0.05,22.95
1,2,attack,-0.05,23.58
1,1,attack,-0.05,23.98
1,0,attack,-0.05,24.12
1,3,attack,-0.05,24.92
1,1,attack,-0.05,25.58
1,2,attack,-0.05,25.58
1,0,attack,-0.05,25.85
1,3,attack,-0.05,26.52
1,0,attack,-0.05,27.45
1,2,attack,-0.05,27.45
1,1,attack,-0.05,27.72
1,0,collect_ball_A,10.0,28.83
1,0,attack,-0.05,29.32
1,3,attack,-0.05,29.72
1,1,attack,-0.05,29.98
1,2,attack,-0.05,29.98
1,0,attack,-0.05,30.90
1,3,attack,-0.05,31.30
1,2,attack,-0.05,31.55
1,0,attack,-0.05,32.47
1,1,attack,-0.05,32.58
2,1,attack,-0.05,34.15
2,0,attack,-0.05,34.42
2,2,attack,-0.05,34.68
2,0,attack,-0.05,36.15
2,1,attack,-0.05,36.28
2,2,attack,-0.05,36.28
2,0,collect_ball_A,10.0,36.88
2,3,attack,-0.05,36.95
2,2,collect_ball_A,10.0,37.35
2,1,collect_ball_A,10.0,37.83
2,0,attack,-0.05,38.02
2,1,attack,-0.05,38.02
2,3,collect_ball_A,10.0,38.23
2,3,collect_ball_A,10.0,38.87
2,2,collect_ball_A,10.0,39.20
2,0,attack,-0.05,39.67
2,3,attack,-0.05,39.93
2,1,attack,-0.05,40.20
2,2,attack,-0.05,40.60
2,0,attack,-0.05,41.67
2,1,attack,-0.05,41.93
2,3,attack,-0.05,42.20
2,2,collect_ball_A,10.0,42.53
2,0,collect_ball_A,10.0,43.13
2,1,attack,-0.05,44.20
2,2,attack,-0.05,44.33
2,0,attack,-0.05,44.60
2,3,attack,-0.05,44.60
2,1,collect_ball_A,10.0,45.55
2,0,collect_ball_A,10.0,45.63
2,1,attack,-0.05,46.07
2,2,attack,-0.05,47.40
2,3,attack,-0.05,48.33
2,1,attack,-0.05,48.47
2,2,attack,-0.05,49.27
2,0,attack,-0.05,49.40
2,3,collect_ball_A,10.0,49.83
2,1,attack,-0.05,50.33
2,0,attack,-0.05,51.13
2,1,collect_ball_A,10.0,51.63
2,3,attack,-0.05,52.60
2,3,attack,-0.05,54.60
2,1,attack,-0.05,54.73
2,2,attack,-0.05,54.73
2,1,attack,-0.05,56.58
2,2,attack,-0.05,56.58
2,3,attack,-0.05,56.85
2,0,attack,-0.05,57.52
2,1,attack,-0.05,58.43
2,2,attack,-0.05,58.43
2,0,attack,-0.05,59.22
2,3,collect_ball_B,15.0,61.02
2,2,attack,-0.05,61.10
2,0,attack,-0.05,61.35
2,1,attack,-0.05,61.35
2,3,bear_damage,-10.0,62.42
2,3,attack,-0.05,62.72
2,0,attack,-0.05,62.92
2,1,attack,-0.05,62.95
2,2,attack,-0.05,64.15
2,3,bear_damage,-10.0,64.67
2,1,attack,-0.05,65.08
2,0,attack,-0.05,65.35
2,3,attack,-0.05,65.35
2,3,collect_ball_B,15.0,66.45
3,3,attack,-0.05,67.23
3,2,attack,-0.05,67.75
3,0,attack,-0.05,68.82
3,1,collect_ball_A,10.0,69.88
3,3,attack,-0.05,70.02
3,1,attack,-0.05,70.28
3,2,attack,-0.05,70.28
3,0,collect_ball_A,10.0,70.40
3,1,collect_ball_A,10.0,71.12
3,0,attack,-0.05,71.35
3,3,collect_ball_A,10.0,71.50
3,3,collect_ball_A,10.0,71.73
3,3,attack,-0.05,72.42
3,2,collect_ball_A,10.0,72.83
3,0,attack,-0.05,72.95
3,1,collect_ball_A,10.0,74.03
3,1,attack,-0.05,74.28
3,3,collect_ball_A,10.0,74.48
3,0,collect_ball_A,10.0,74.57
3,2,collect_ball_A,10.0,75.17
3,3,attack,-0.05,75.62
3,2,attack,-0.05,76.42
3,3,attack,-0.05,77.22
3,1,attack,-0.05,77.62
3,2,collect_ball_A,10.0,77.70
3,0,attack,-0.05,77.88
3,2,attack,-0.05,78.02
3,3,attack,-0.05,79.48
3,0,collect_ball_A,10.0,79.53
3,0,attack,-0.05,81.08
3,1,attack,-0.05,81.35
3,2,attack,-0.05,82.42
3,2,attack,-0.05,84.15
3,1,attack,-0.05,84.55
3,3,attack,-0.05,84.95
3,3,attack,-0.05,86.55
3,1,attack,-0.05,87.35
3,3,bear_damage,-10.0,87.35
3,2,attack,-0.05,87.62
3,3,collect_ball_B,15.0,88.00
3,3,attack,-0.05,88.42
3,3,cause_damage_to_enemy,10.0,88.82
3,0,attack,-0.05,89.10
3,1,attack,-0.05,90.17
3,2,attack,-0.05,90.43
3,3,attack,-0.05,90.43
3,0,attack,-0.05,90.70
3,3,bear_damage,-10.0,91.23
3,1,attack,-0.05,92.03
3,2,attack,-0.05,92.03
3,0,attack,-0.05,92.70
3,3,attack,-0.05,92.97
3,1,attack,-0.05,93.90
3,0,attack,-0.05,94.43
3,3,attack,-0.05,94.70
