episode_id,player_id,source,value,game_time
1,3,attack,-0.05,0.28
1,2,attack,-0.05,0.55
1,0,collect_ball_A,10.0,0.70
1,1,collect_ball_A,10.0,0.80
1,1,attack,-0.05,1.08
1,3,collect_ball_A,10.0,1.98
1,2,collect_ball_A,10.0,1.98
1,3,attack,-0.05,2.02
1,2,collect_ball_A,10.0,2.43
1,0,attack,-0.05,2.55
1,2,attack,-0.05,2.55
1,3,attack,-0.05,3.75
1,0,attack,-0.05,4.68
1,1,attack,-0.05,5.08
1,2,attack,-0.05,5.35
1,3,attack,-0.05,5.35
1,0,attack,-0.05,6.42
1,1,attack,-0.05,6.68
1,3,attack,-0.05,6.95
1,2,attack,-0.05,7.35
1,0,attack,-0.05,8.02
1,1,attack,-0.05,8.42
1,3,attack,-0.05,8.68
1,2,attack,-0.05,10.15
1,0,attack,-0.05,10.68
1,1,attack,-0.05,10.82
1,3,collect_ball_A,10.0,10.87
1,3,attack,-0.05,11.08
1,2,attack,-0.05,11.88
1,1,attack,-0.05,12.42
1,2,attack,-0.05,13.48
1,3,attack,-0.05,13.62
1,0,attack,-0.05,14.55
1,2,attack,-0.05,18.02
1,0,attack,-0.05,18.55
1,3,attack,-0.05,18.82
1,0,attack,-0.05,20.28
1,2,attack,-0.05,20.28
1,3,attack,-0.05,20.55
1,1,collect_ball_B,15.0,20.88
1,2,attack,-0.05,22.02
1,0,attack,-0.05,22.42
1,1,attack,-0.05,23.48
1,2,attack,-0.05,23.75
1,3,attack,-0.05,24.42
1,1,attack,-0.05,25.22
1,2,attack,-0.05,25.75
1,0,attack,-0.05,26.42
1,3,attack,-0.05,27.22
1,2,attack,-0.05,27.88
1,1,attack,-0.05,28.02
1,1,cause_damage_to_enemy,10.0,28.42
1,0,attack,-0.05,28.95
1,1,collect_ball_B,15.0,29.22
1,2,attack,-0.05,29.88
1,0,attack,-0.05,30.82
1,1,attack,-0.05,30.82
1,3,attack,-0.05,32.02
1,1,attack,-0.05,32.42
1,0,attack,-0.05,33.22
2,2,collect_ball_A,10.0,35.03
2,0,attack,-0.05,35.08
2,1,collect_ball_A,10.0,35.12
2,3,attack,-0.05,36.02
2,0,collect_ball_A,10.0,36.25
2,2,attack,-0.05,36.55
2,0,attack,-0.05,37.22
2,3,collect_ball_A,10.0,37.55
2,3,collect_ball_A,10.0,37.95
2,2,collect_ball_A,10.0,38.73
2,2,collect_ball_A,10.0,39.15
2,2,attack,-0.05,39.22
2,1,attack,-0.05,39.88
2,0,collect_ball_A,10.0,39.93
2,0,attack,-0.05,40.15
2,3,attack,-0.05,40.15
2,1,collect_ball_A,10.0,41.70
2,2,attack,-0.05,42.15
2,1,attack,-0.05,42.28
2,0,attack,-0.05,42.42
2,1,attack,-0.05,43.88
2,0,attack,-0.05,45.48
2,1,attack,-0.05,45.62
2,3,attack,-0.05,45.88
2,3,attack,-0.05,48.28
2,1,attack,-0.05,48.82
2,0,attack,-0.05,48.95
2,1,collect_ball_A,10.0,50.35
2,3,collect_ball_A,10.0,50.87
2,0,attack,-0.05,51.75
2,1,attack,-0.05,52.02
2,0,collect_ball_A,10.0,52.95
2,3,attack,-0.05,53.62
2,0,attack,-0.05,55.35
2,3,attack,-0.05,56.95
2,0,attack,-0.05,57.35
2,1,attack,-0.05,58.02
2,2,attack,-0.05,58.68
2,3,attack,-0.05,58.68
2,0,attack,-0.05,60.02
2,1,attack,-0.05,60.95
2,3,attack,-0.05,61.08
2,0,attack,-0.05,63.35
2,1,collect_ball_B,15.0,63.38
2,1,collect_ball_B,15.0,63.62
2,1,attack,-0.05,64.28
2,1,cause_damage_to_enemy,10.0,64.68
2,2,attack,-0.05,64.95
2,1,bear_damage,-10.0,65.35
2,0,attack,-0.05,67.22
2,1,attack,-0.05,67.22
2,2,attack,-0.05,67.48
3,1,collect_ball_B,15.0,67.90
3,0,collect_ball_A,10.0,68.67
3,0,attack,-0.05,68.68
3,0,collect_ball_A,10.0,69.68
3,1,collect_ball_A,10.0,70.17
3,2,attack,-0.05,70.28
3,0,attack,-0.05,70.42
3,1,collect_ball_A,10.0,70.95
3,1,attack,-0.05,71.62
3,3,attack,-0.05,71.75
3,0,collect_ball_A,10.0,72.75
3,0,attack,-0.05,72.95
3,2,collect_ball_A,10.0,73.37
3,1,attack,-0.05,74.28
