episode_id,player_id,source,value,game_time
1,2,attack,-0.05,0.33
1,0,attack,-0.05,0.47
1,3,attack,-0.05,1.00
1,1,attack,-0.05,2.07
1,0,attack,-0.05,2.20
1,2,attack,-0.05,2.73
1,3,attack,-0.05,3.00
1,0,attack,-0.05,3.80
1,3,collect_ball_A,10.0,3.93
1,3,attack,-0.05,4.73
1,1,attack,-0.05,4.97
1,2,attack,-0.05,5.48
1,0,attack,-0.05,6.28
1,3,attack,-0.05,6.55
1,1,collect_ball_A,10.0,7.13
1,2,attack,-0.05,7.52
1,0,attack,-0.05,7.88
1,0,collect_ball_A,10.0,8.50
1,3,attack,-0.05,8.55
1,3,attack,-0.05,10.03
1,0,attack,-0.05,10.43
1,2,attack,-0.05,10.43
1,0,attack,-0.05,12.03
1,2,attack,-0.05,12.17
1,3,attack,-0.05,12.68
1,1,attack,-0.05,12.95
1,2,collect_ball_A,10.0,13.62
1,3,collect_ball_A,10.0,13.83
1,2,attack,-0.05,13.88
1,3,attack,-0.05,14.42
1,2,attack,-0.05,15.62
1,1,attack,-0.05,15.88
1,3,attack,-0.05,16.32
1,0,attack,-0.05,16.45
1,3,collect_ball_A,10.0,17.25
1,1,attack,-0.05,17.92
1,2,attack,-0.05,17.92
1,3,attack,-0.05,17.92
1,1,collect_ball_A,10.0,18.78
1,0,attack,-0.05,19.38
1,1,attack,-0.05,19.90
1,2,attack,-0.05,19.90
1,2,collect_ball_A,10.0,20.77
1,3,attack,-0.05,21.38
1,1,attack,-0.05,22.18
1,2,attack,-0.05,22.32
1,3,attack,-0.05,23.25
1,0,attack,-0.05,23.92
1,2,collect_ball_A,10.0,24.13
1,1,collect_ball_A,10.0,24.23
1,2,attack,-0.05,24.85
1,3,attack,-0.05,25.38
1,0,attack,-0.05,25.92
1,0,cause_damage_to_enemy,10.0,26.30
1,1,attack,-0.05,26.43
1,3,attack,-0.05,27.37
1,0,attack,-0.05,28.03
1,1,attack,-0.05,28.83
1,3,bear_damage,-10.0,29.10
1,0,attack,-0.05,29.63
1,2,attack,-0.05,30.02
1,0,cause_damage_to_enemy,10.0,30.02
1,3,attack,-0.05,30.15
1,0,bear_damage,-10.0,30.15
1,0,attack,-0.05,31.13
1,1,attack,-0.05,31.40
1,3,collect_ball_B,15.0,31.40
1,3,attack,-0.05,32.18
1,0,attack,-0.05,33.38
2,3,attack,-0.05,34.32
2,2,collect_ball_A,10.0,34.95
