episode_id,player_0,player_1,player_2,player_3,total_avg
1,15.5,19.5,20.0,21.0,76.0
2,30.0,35.5,30.5,30.0,126.0
3,51.0,55.5,46.5,52.5,205.5
4,66.0,73.5,58.5,49.5,247.5
5,67.5,72.0,57.0,67.5,264.0
6,79.5,66.0,63.0,69.0,277.5
7,79.5,84.0,91.5,78.0,333.0
8,75.0,73.5,88.5,97.5,334.5
9,100.5,79.5,87.0,78.0,345.0
10,99.0,76.5,78.0,79.5,333.0
11,81.0,81.0,99.0,94.5,355.5
12,76.5,102.0,84.0,102.0,364.5
13,105.0,46.5,91.5,108.0,351.0
14,118.5,54.0,99.0,99.0,370.5
15,67.5,90.0,100.5,114.0,372.0
16,106.5,87.0,87.0,94.5,375.0
17,94.5,61.5,97.5,112.5,366.0
18,111.0,94.5,94.5,98.5,398.5
19,109.5,85.5,103.5,88.5,387.0
20,85.5,93.0,126.0,90.0,394.5
21,88.5,102.0,114.0,76.5,381.0
22,117.0,84.0,99.0,91.5,391.5
23,97.5,99.0,91.5,93.0,381.0
24,100.5,79.0,85.5,93.0,358.0
25,124.5,37.5,91.5,96.0,349.5
26,96.0,82.5,85.5,82.5,346.5
27,129.0,78.0,91.5,85.5,384.0
28,120.0,93.0,81.0,79.5,373.5
29,99.0,99.0,94.5,102.0,394.5
30,106.5,112.5,84.0,85.5,388.5
31,111.0,111.0,96.0,81.0,399.0
32,109.5,103.5,88.5,90.0,391.5
33,106.5,75.0,87.0,114.0,382.5
34,100.5,121.5,87.0,81.0,390.0
35,111.0,99.0,82.5,82.5,375.0
36,96.0,108.0,82.5,93.0,379.5
37,114.0,105.0,87.0,102.0,408.0
38,133.5,102.0,97.5,85.5,418.5
39,90.0,100.5,109.5,99.0,399.0
40,97.5,123.0,96.0,99.0,415.5
41,121.5,103.5,94.0,99.5,418.5
42,105.0,99.0,106.5,109.5,420.0
43,100.5,115.5,103.5,87.0,406.5
44,93.0,114.0,105.0,103.5,415.5
45,99.0,111.0,91.5,115.5,417.0
46,97.5,106.5,103.5,115.5,423.0
47,106.5,114.0,103.5,105.0,429.0
48,117.0,99.0,96.0,106.5,418.5
49,88.5,118.5,85.5,117.0,409.5
50,91.5,117.0,105.0,79.5,393.0
51,114.0,114.0,72.0,102.0,402.0
52,117.0,111.0,97.5,84.0,409.5
53,123.0,96.0,99.0,82.5,400.5
54,102.0,111.0,114.0,96.0,423.0
55,97.5,102.0,96.0,121.5,417.0
56,120.0,97.5,111.0,87.0,415.5
57,109.5,99.0,78.0,108.0,394.5
58,105.0,106.5,79.5,124.5,415.5
59,94.5,70.5,126.0,115.5,406.5
60,120.0,102.0,100.5,97.5,420.0
61,124.5,96.0,124.5,78.0,423.0
62,102.0,102.0,97.5,111.0,412.5
63,105.0,90.0,88.5,123.0,406.5
64,94.5,108.5,110.5,105.0,418.5
65,117.0,85.5,103.5,106.5,412.5
66,102.0,88.5,103.5,111.0,405.0
67,132.0,85.5,91.5,96.0,405.0
68,109.5,105.0,90.0,115.5,420.0
69,109.5,84.0,106.5,112.5,412.5
70,100.5,109.5,93.0,112.5,415.5
71,123.0,114.0,88.5,81.0,406.5
72,112.5,108.0,94.5,112.5,427.5
73,108.0,102.0,96.0,115.5,421.5
74,96.0,112.5,95.5,103.5,407.5
75,120.0,102.0,87.0,97.5,406.5
76,94.5,114.0,96.0,115.5,420.0
77,103.5,97.5,105.0,109.5,415.5
78,108.0,124.5,96.0,96.0,424.5
79,126.0,105.0,96.0,97.5,424.5
80,67.5,85.5,67.5,72.0,292.5
