episode_id,total_score,total_sem,ball_score,ball_sem,p0_total,p0_ball,p1_total,p1_ball,p2_total,p2_ball,p3_total,p3_ball
1,54.025000000000034,6.774891758052916,89.5,11.947803145348521,17.765000000000008,27.5,17.910000000000004,22.5,9.620000000000006,20.25,8.730000000000008,19.25
2,80.01000000000002,5.145149819652159,94.5,6.18465843842649,35.735000000000014,32.0,26.425000000000004,31.25,28.505,19.5,-10.654999999999992,11.75
3,73.28000000000003,9.012273113186632,88.5,9.242113755341181,-2.094999999999999,23.75,33.135000000000005,26.75,22.46500000000001,22.75,19.77500000000001,15.25
4,182.10500000000002,16.740950540515918,188.0,16.91646141090585,48.575,48.5,42.30499999999999,36.0,37.03500000000001,38.25,54.19000000000001,65.25
5,319.65,35.791517151414524,326.75,33.58416045300721,64.84,73.5,77.42500000000001,71.25,83.01000000000002,86.75,94.375,95.25
6,545.855,45.639241430301325,549.75,45.70443997396023,187.675,183.0,137.48,140.5,96.15500000000002,94.75,124.545,131.5
7,640.6500000000001,24.31080075467143,643.25,24.479157801416832,186.93,187.5,141.79500000000002,142.0,177.38500000000002,175.25,134.54,138.5
8,752.215,24.794468973274363,753.5,25.157835094989128,233.82500000000002,236.5,182.70000000000002,185.75,210.235,210.25,125.45500000000001,121.0
9,747.8699999999999,30.62146360534278,748.25,30.69575160615336,224.95000000000002,222.5,186.455,184.0,202.29,205.0,134.175,136.75
10,798.135,22.26388761350245,799.0,22.319647547993824,183.885,184.0,213.10999999999999,220.75,204.50499999999997,199.75,196.635,194.5
11,818.86,36.51385764336603,819.25,36.49286459935239,196.91,194.5,207.665,210.25,246.655,241.75,167.63,172.75
12,838.8350000000002,22.311670152635394,839.25,22.38814790612807,231.985,232.0,242.69000000000005,245.25,162.22,162.25,201.94,199.75
13,873.7400000000001,16.99633489903045,874.25,16.754974385735917,180.345,180.5,259.22,259.25,197.96,198.0,236.21500000000003,236.5
14,884.5200000000001,19.037552363683737,884.75,19.036697017427507,204.22000000000003,206.75,244.22500000000002,241.75,231.215,231.25,204.86,205.0
15,892.9500000000002,15.256182353393642,893.5,15.256146302392358,221.08,219.0,198.945,201.5,253.72000000000003,248.75,219.205,224.25
16,907.1550000000001,13.230087868188935,907.5,13.250786140200638,224.22000000000003,221.75,261.985,264.5,208.47500000000002,208.5,212.47500000000002,212.75
17,898.605,18.377040703007648,898.75,18.381943132686853,255.71000000000004,255.75,221.455,224.0,206.215,208.75,215.22500000000002,210.25
18,906.2199999999999,8.73679956658421,906.75,8.806957476904268,212.555,210.25,272.115,269.75,186.645,186.75,234.905,240.0
19,905.0300000000001,10.830655566492734,905.75,10.834935778920581,209.27499999999998,212.0,282.11,287.25,184.56,182.25,229.08499999999998,224.25
20,888.3399999999999,24.37089657768057,888.25,23.97350968604027,247.945,238.25,248.97000000000003,241.75,204.46499999999997,217.25,186.96,191.0
21,862.915,17.227763203619915,863.75,18.158446152318945,240.625,231.25,212.53,224.25,195.23499999999996,203.25,214.52499999999998,205.0
22,912.3050000000001,9.291786247362017,911.0,10.303721010715822,209.385,219.0,238.245,240.0,210.19500000000002,203.25,254.48000000000002,248.75
23,915.25,15.255183818405254,916.25,16.007159856347617,244.20000000000002,243.5,230.98,236.5,221.58499999999998,217.25,218.48499999999999,219.0
24,897.655,11.594801636940584,897.0,13.095800853708795,227.76500000000001,231.25,173.20499999999998,175.25,253.64999999999998,259.25,243.035,231.25
25,885.0699999999999,15.72383646993736,879.5,15.521490478258416,230.20999999999998,226.0,182.46,203.25,254.745,224.25,217.65499999999997,226.0
26,872.9499999999999,23.74625514335541,867.25,24.311776981537157,221.98999999999998,210.25,227.89,231.25,224.005,226.0,199.06499999999997,199.75
27,898.94,15.635069555329745,898.75,14.676369896310645,241.64,217.25,192.38,206.75,234.90499999999997,233.0,230.015,241.75
28,917.3,23.37601477298188,918.0,23.56551152284485,249.83500000000004,245.25,199.13500000000002,199.75,222.755,247.0,245.575,226.0
29,908.13,14.635196160853699,909.25,14.95200655430568,212.235,227.75,244.82500000000005,215.5,231.385,229.5,219.68499999999997,236.5
30,935.3149999999999,9.565163790198973,932.0,10.303721010715822,223.345,236.5,228.59,259.25,208.375,215.5,275.005,220.75
31,931.3499999999999,14.994393396644437,925.0,17.38294183004323,256.9200000000001,236.5,163.605,212.0,278.715,238.25,232.10999999999996,238.25
32,949.1949999999999,20.65352330717447,949.5,20.308044383117412,222.23499999999999,224.25,274.53499999999997,245.25,208.575,233.0,243.84999999999997,247.0
33,924.5,8.372188085162241,923.25,8.75,248.59999999999997,229.5,191.985,198.0,250.77,233.0,233.14499999999998,262.75
34,906.98,18.75064976651919,905.75,17.702989389742438,273.6,255.75,207.51,208.5,222.01999999999998,224.25,203.85,217.25
35,914.1600000000001,25.692397059571263,912.75,26.25,253.925,234.75,162.67,178.75,247.115,250.5,250.45000000000002,248.75
36,896.29,18.841568406053675,897.0,20.00416623272929,268.25,236.5,194.81,212.0,226.54999999999998,234.75,206.67999999999998,213.75
37,912.19,9.728656981653053,909.25,10.451275839181868,284.945,247.0,170.565,192.75,199.155,213.75,257.525,255.75
38,895.965,26.80588787934475,886.5,27.780388766178202,183.29499999999996,180.5,229.64500000000004,226.0,250.72500000000002,224.25,232.3,255.75
39,902.6349999999999,19.028246328375413,897.0,20.607442021431645,182.525,205.0,221.71999999999997,224.25,231.245,226.0,267.145,241.75
40,917.63,2.2567602147030854,909.25,5.25,216.60499999999996,245.25,255.95499999999998,212.0,271.875,224.25,173.195,227.75
41,889.865,17.24875526910084,881.25,18.602755172285637,191.34,217.25,192.64999999999998,187.5,257.785,248.75,248.09,227.75
42,896.91,10.486933139229325,897.0,8.573214099741124,224.59,198.0,229.26,219.0,227.825,248.75,215.23499999999999,231.25
43,898.8149999999998,28.150434425303832,891.75,29.055621945961967,218.015,227.75,224.65999999999997,229.5,228.185,233.0,227.95499999999996,201.5
44,903.79,17.988730731581178,890.0,16.906606203887677,242.00999999999996,233.0,222.35499999999996,229.5,226.095,212.0,213.32999999999998,215.5
45,931.5350000000001,15.28126385479948,925.0,17.38294183004323,285.185,243.5,198.07,227.75,230.93499999999997,250.5,217.34499999999997,203.25
