episode_id,total_score,total_sem,ball_score,ball_sem,p0_total,p0_ball,p1_total,p1_ball,p2_total,p2_ball,p3_total,p3_ball
1,63.565000000000026,11.472123822553522,99.0,12.69514342836136,23.270000000000007,27.75,19.040000000000006,27.5,5.135000000000004,16.75,16.12,27.0
2,104.70500000000001,10.609038206485383,131.0,8.3166499665831,22.73,27.0,26.800000000000004,29.75,20.235000000000007,36.25,34.940000000000005,38.0
3,315.61500000000007,20.60701721097289,327.5,18.997806890972093,97.36000000000001,100.0,65.64500000000001,68.5,74.395,78.25,78.215,80.75
4,432.81499999999994,73.72629986420495,435.0,73.58328614570023,70.29499999999999,80.75,102.89000000000001,103.5,137.82,133.25,121.80999999999997,117.5
5,768.16,14.226857230838686,769.25,14.108951059522463,224.565,217.25,194.695,187.5,183.79,189.25,165.11,175.25
6,644.47,45.892155829364434,645.0,45.81302580416768,154.135,154.25,172.53,175.25,189.68,182.25,128.125,133.25
7,700.2649999999999,35.85963596673378,701.0,35.80735492418655,165.39,163.0,212.13500000000002,217.25,155.735,156.0,167.005,164.75
8,764.775,21.597187123944323,765.75,21.646304534492717,189.58499999999998,199.75,208.55999999999997,196.25,176.54,177.0,190.09,192.75
9,805.1199999999999,19.006579562526927,806.0,18.95608961081724,239.54999999999998,234.75,212.315,222.5,174.56,182.25,178.695,166.5
10,855.8499999999999,14.739971732220734,856.75,14.676369896310645,207.775,208.0,201.025,203.75,202.26,187.5,244.79000000000002,257.5
11,828.545,12.040449534797302,828.75,12.25,240.41499999999996,255.75,159.865,175.25,196.64999999999998,185.75,231.61499999999998,212.0
12,822.59,15.739905759988936,813.0,19.170289512680814,206.64499999999998,234.75,240.485,196.25,176.285,185.75,199.17499999999998,196.25
13,800.3999999999999,38.68260332500901,792.0,36.93011417980363,211.43499999999997,266.25,210.51999999999998,175.25,170.30499999999995,170.0,208.14,180.5
14,821.94,24.85625206395096,816.5,25.157835094989128,238.37,241.75,212.41,194.5,166.9,157.75,204.26,222.5
15,859.4749999999999,11.189996648793038,851.5,11.6081867662439,250.495,275.0,212.96499999999997,231.25,212.88499999999996,170.0,183.13,175.25
16,839.62,23.93601888368238,832.25,25.779109759648414,205.59499999999997,219.0,227.625,217.25,230.48000000000002,189.25,175.92000000000002,206.75
17,802.68,29.40482953529918,786.75,31.613222444624867,281.36,252.25,168.715,191.0,145.585,145.5,207.01999999999998,198.0
18,842.8199999999999,12.103858888800692,830.5,15.521490478258416,252.875,257.5,172.17499999999995,194.5,240.27999999999997,205.0,177.48999999999995,173.5
19,858.3199999999999,21.975773023946168,848.0,23.909551787239064,177.47,229.5,217.33999999999997,212.0,179.15,178.75,284.36,227.75
20,926.175,12.524984031925936,914.5,15.521490478258416,312.59000000000003,308.25,214.565,198.0,179.35500000000002,192.75,219.665,215.5
21,867.35,11.955775452335406,858.5,10.881942228603618,283.85,261.0,203.58499999999998,203.25,240.535,201.5,139.38,192.75
22,907.9649999999999,20.211683708521942,897.0,18.07392228230128,185.815,224.25,217.52499999999998,234.75,231.16499999999996,226.0,273.46,212.0
23,903.09,7.446271997897086,888.25,7.760745239129208,234.52999999999997,241.75,262.955,236.5,192.08499999999998,215.5,213.52,194.5
24,895.8549999999999,19.04210488190141,881.25,19.036697017427507,201.505,222.5,234.125,236.5,248.03,201.5,212.195,220.75
25,884.0899999999999,23.45095094020705,877.75,23.630400617283943,236.66999999999996,248.75,217.09499999999997,224.25,179.74999999999997,185.75,250.575,219.0
26,910.225,4.047059632210367,898.75,7.760745239129208,173.38,215.5,285.415,248.75,216.91499999999996,227.75,234.51500000000001,206.75
27,907.115,5.004007560612469,897.0,2.857738033247041,280.30999999999995,222.5,263.385,250.5,209.85999999999999,220.75,153.56,203.25
28,904.46,18.55604663355499,893.5,19.901842460770645,217.55,234.75,172.54,208.5,210.69000000000003,206.75,303.68,243.5
29,927.625,10.354739253114985,923.25,13.212210261723811,243.245,250.5,237.5,243.5,230.76,229.5,216.12000000000003,199.75
30,912.4000000000001,21.947405313612798,895.25,23.456964140030284,252.51500000000001,252.25,227.745,213.75,233.86499999999998,205.0,198.27499999999998,224.25
31,887.965,12.776051489668713,879.5,11.954775893619532,239.18499999999997,227.75,206.735,219.0,253.58500000000004,229.5,188.46,203.25
32,907.9350000000001,14.57793623939965,891.75,11.564132767599421,239.10500000000002,240.0,197.02,215.5,248.725,217.25,223.08500000000004,219.0
33,911.7600000000001,16.29323172363299,900.5,16.2916133843971,296.845,245.25,255.58,219.0,209.09000000000003,231.25,150.24499999999998,205.0
34,917.67,9.009293350017344,907.5,11.6081867662439,247.7,252.25,194.93999999999997,203.25,281.40000000000003,240.0,193.63,212.0
35,921.48,23.68547796998548,912.75,24.479157801416832,235.27500000000003,222.5,191.3,217.25,249.03,240.0,245.87500000000003,233.0
36,931.59,16.840551257802264,923.25,16.260253175560745,241.565,248.75,222.62999999999997,222.5,224.39999999999995,224.25,242.99499999999998,227.75
37,905.03,16.0297525453972,895.25,15.488571055243712,229.37500000000003,227.75,223.06499999999997,236.5,239.705,194.5,212.885,236.5
38,930.22,17.182551226947243,918.0,15.911211979816832,229.17000000000002,236.5,207.01999999999998,233.0,251.085,220.75,242.945,227.75
39,940.295,14.06107481667026,932.0,17.61628034896508,204.115,240.0,253.29,268.0,230.005,205.0,252.885,219.0
40,922.675,7.477371975946307,912.75,7.760745239129208,248.525,203.25,185.52499999999998,219.0,223.07999999999998,254.0,265.5450000000001,236.5
41,921.74,20.064952861477984,909.25,20.878118529535495,186.45499999999998,222.5,274.855,229.5,236.35500000000002,234.75,224.075,222.5
42,952.405,18.662876475327547,942.5,18.630172659783195,282.69,231.25,231.56999999999996,240.0,209.86,229.5,228.28500000000003,241.75
43,940.2500000000001,15.180523706381166,930.25,16.260253175560745,217.685,213.75,251.815,227.75,264.08,257.5,206.67000000000002,231.25
44,907.295,13.09701842659872,897.0,14.288690166235206,221.08,185.75,278.76,247.0,280.61499999999995,227.75,126.83999999999999,236.5
45,945.92,16.72783508606738,932.0,19.170289512680814,194.70999999999998,203.25,263.955,261.0,252.10500000000002,224.25,235.14999999999998,243.5
46,903.2900000000001,16.619086416928354,893.5,16.54035469188413,225.0,222.5,196.07999999999998,238.25,232.29000000000005,212.0,249.92000000000002,220.75
47,944.5999999999999,9.37482799842215,935.5,10.103629710818451,252.255,268.0,228.26999999999998,227.75,264.75,238.25,199.325,201.5
48,938.835,12.161401714714758,928.5,13.250786140200638,285.305,252.25,239.75,259.25,200.29500000000002,205.0,213.48499999999999,212.0
49,907.41,19.33676377611656,897.0,17.38294183004323,265.96999999999997,241.75,269.17999999999995,248.75,184.135,205.0,188.125,201.5
50,906.485,11.532757331473988,897.0,13.403979508588733,255.87,271.5,223.265,201.5,186.71,196.25,240.64,227.75
51,888.3449999999999,10.583630048334113,874.25,11.912003749719581,316.365,290.75,183.13,201.5,158.94,178.75,229.90999999999997,203.25
52,902.7049999999999,8.764547430795643,893.5,9.260129588726068,295.725,301.25,212.33,203.25,213.505,203.25,181.145,185.75
53,936.1200000000001,7.046318187535999,919.75,9.638248457750679,296.45500000000004,290.75,204.875,247.0,163.07999999999998,180.5,271.71000000000004,201.5
54,942.5149999999999,15.654569886564548,930.25,16.260253175560745,265.9,236.5,281.015,273.25,215.305,219.0,180.29500000000002,201.5
55,919.845,12.821758524737039,911.0,15.121728296285006,224.135,243.5,243.84000000000003,226.0,222.06,212.0,229.81,229.5
56,954.295,6.816716584984334,951.25,6.625393070100319,258.34000000000003,266.25,244.305,248.75,242.995,210.25,208.655,226.0
57,942.335,12.94665819172394,939.0,12.12435565298214,232.575,259.25,264.295,240.0,203.52499999999998,220.75,241.93999999999997,219.0
58,929.1750000000001,18.59046597049148,914.5,19.06349041142956,260.855,248.75,261.80500000000006,222.5,172.35999999999999,194.5,234.15500000000003,248.75
59,960.4899999999999,7.5382469226383435,954.75,5.25,219.245,226.0,256.275,264.5,252.29999999999998,247.0,232.67,217.25
60,962.4200000000001,7.371639347300337,953.0,11.067971810589327,231.3,250.5,292.02,254.0,241.785,219.0,197.31499999999997,229.5
61,953.395,8.091029497742124,944.25,10.451275839181868,230.715,248.75,223.70000000000002,247.0,284.78499999999997,229.5,214.195,219.0
62,954.935,4.746187066126535,949.5,3.5,253.03999999999996,240.0,236.53999999999996,252.25,277.02500000000003,233.0,188.32999999999998,224.25
63,958.8999999999999,13.465301085877503,953.0,17.38294183004323,311.37,282.0,212.12999999999997,194.5,221.89499999999998,241.75,213.50499999999994,234.75
64,929.7649999999999,7.4549821148902256,919.75,5.977387946809766,331.15000000000003,303.0,214.075,196.25,190.105,213.75,194.435,206.75
65,925.5,7.932536374535838,918.0,8.573214099741124,274.0,299.5,199.72,220.75,217.19999999999996,203.25,234.57999999999996,194.5
66,934.4949999999999,10.7812564975826,930.25,12.578917547494564,230.28499999999997,247.0,248.58000000000004,220.75,258.34000000000003,276.75,197.29,185.75
67,962.305,7.163376182592481,953.0,7.560864148142503,266.5,273.25,209.41,227.75,249.53999999999996,215.5,236.85500000000002,236.5
68,922.7199999999999,9.402244412904839,916.25,11.912003749719581,216.67499999999998,234.75,240.685,245.25,254.77499999999998,220.75,210.58499999999998,215.5
69,923.145,9.833542511899438,914.5,12.938959257477652,209.15499999999997,234.75,270.335,231.25,212.355,217.25,231.29999999999998,231.25
70,939.5799999999999,8.168594330319848,932.0,11.067971810589327,182.195,198.0,242.55499999999998,234.75,221.77499999999998,219.0,293.055,280.25
71,947.295,11.521476684869873,939.0,11.067971810589327,277.845,248.75,186.42999999999998,205.0,229.68,212.0,253.33999999999997,273.25
72,915.825,3.2055407760105994,911.0,2.857738033247041,208.89500000000004,208.5,249.64000000000001,233.0,207.54499999999996,213.75,249.74499999999998,255.75
73,946.675,14.434358027521265,937.25,17.235501153143183,197.05999999999997,201.5,294.135,240.0,187.61999999999998,217.25,267.86,278.5
74,944.48,11.388494193702703,939.0,14.849242404917497,210.89,206.75,248.75,238.25,242.86,222.5,241.98000000000002,271.5
75,923.83,6.948695321185596,916.25,5.977387946809766,192.195,233.0,280.57499999999993,254.0,234.115,248.75,216.945,180.5
76,940.59,11.51492509745507,932.0,6.390096504226938,238.725,238.25,260.56000000000006,250.5,217.575,217.25,223.73,226.0
77,933.7549999999999,8.34651374327433,921.5,8.80814017448254,220.78999999999996,224.25,266.635,248.75,245.12,213.75,201.20999999999998,234.75
78,883.71,10.528736866310231,865.5,11.6081867662439,183.99,231.25,189.95999999999998,234.75,249.83499999999998,182.25,259.925,217.25
79,876.24,29.005855730639396,865.5,27.780388766178202,219.63500000000005,199.75,191.92499999999998,189.25,222.1,215.5,242.57999999999998,261.0
80,925.52,27.316131985818707,911.0,25.076549470238792,200.40499999999997,192.75,232.90499999999997,219.0,245.25,248.75,246.95999999999998,250.5
81,876.3599999999999,17.177694839529526,862.0,13.403979508588733,203.44999999999996,212.0,243.375,229.5,243.2,198.0,186.33499999999998,222.5
82,846.005,30.489475096607762,835.75,33.73765206214959,149.46,189.25,191.49499999999998,201.5,294.625,238.25,210.42499999999998,206.75
83,833.3499999999999,21.36223224915101,817.5,24.591665254715874,190.24499999999998,213.75,282.9,245.25,160.48000000000002,155.25,199.72499999999997,203.25
84,888.42,19.378780491386266,878.75,17.82963357260416,225.95499999999998,241.75,180.55500000000004,178.0,183.70499999999998,208.5,298.20500000000004,250.5
85,910.5550000000001,15.601143921734288,900.5,14.145081595145832,276.34999999999997,243.5,197.01500000000001,241.75,184.12999999999997,178.75,253.06,236.5
86,891.645,13.895916366568486,879.5,14.430869689661812,233.545,229.5,156.38500000000002,178.75,265.14,213.75,236.57500000000002,257.5
