episode_id,total_score,total_score_sem,attack,attack_sem,bear_damage,bear_damage_sem,cause_damage_to_enemy,cause_damage_to_enemy_sem,wall_collision,wall_collision_sem,kill_enemy,kill_enemy_sem,died,died_sem
1,-27.93750000000001,48.75058279566169,83.75,0.47871355387816905,28.5,4.444097208657794,24.25,1.75,71.0,8.631338250816034,11.75,0.75,2.5,0.5
2,-129.625,34.46177532184512,65.0,3.3166247903554,35.5,3.968626966596886,21.75,2.358495283014151,51.25,8.260094833999588,10.5,1.1902380714238083,3.0,0.408248290463863
3,-38.23750000000001,14.942980166285437,77.25,1.9311050377094112,34.5,3.570714214271425,28.0,1.4142135623730951,44.25,7.54293267458575,13.25,0.9464847243000456,3.25,0.25
4,42.787499999999966,42.86869669409136,89.25,0.9464847243000456,31.5,1.3228756555322954,31.25,2.25,50.5,7.421814692737439,15.0,1.1547005383792515,2.75,0.25
5,145.94999999999996,32.114826534380235,101.0,1.224744871391589,20.75,1.25,29.25,2.4958298553119898,46.0,6.493586579592718,14.5,1.3228756555322954,1.75,0.25
6,190.68749999999997,44.97719039969038,103.75,0.8539125638299665,20.5,1.8929694486000912,31.75,2.6259918760981216,31.75,3.727711541057507,15.5,1.3228756555322954,1.5,0.28867513459481287
7,272.8125,39.749981001043665,108.75,0.47871355387816905,33.0,2.972092416687835,47.25,1.4930394055974097,13.0,1.7795130420052185,23.5,0.8660254037844386,3.0,0.408248290463863
8,294.6,34.79717421477401,108.0,0.816496580927726,33.25,3.449033681095813,48.75,4.497684589504545,6.5,3.476108935769035,24.25,2.174664725116648,3.0,0.408248290463863
9,292.1875,27.525029329381905,108.75,0.25,28.5,3.095695936834452,44.25,3.3260336739125176,2.75,1.1086778913041726,22.0,1.7320508075688772,2.25,0.25
10,315.4,54.65454006759182,107.0,0.9128709291752769,29.25,2.3935677693908453,46.75,2.688710967483613,4.5,1.6583123951777,23.0,1.2909944487358056,2.25,0.25
11,395.0,40.77503321069565,102.5,0.9574271077563381,30.5,1.2583057392117916,54.25,2.1360009363293826,8.75,1.4361406616345072,26.5,1.0408329997330663,2.75,0.25
12,375.9375,49.69534424453999,88.75,0.9464847243000456,28.0,1.7795130420052185,50.25,2.6575364531836625,8.25,3.4247870980057527,24.75,1.4361406616345072,2.25,0.25
13,428.3875,53.36996414573151,92.25,1.1086778913041726,23.75,3.5677957714346076,50.5,3.1754264805429417,6.0,4.760952285695233,25.0,1.4719601443879744,2.0,0.408248290463863
14,459.6625,16.58376936193943,94.25,1.6520189667999174,25.75,2.056493779875511,54.5,1.6583123951777,0.75,0.25,26.75,0.9464847243000456,2.25,0.25
15,496.35,26.707965416082658,98.0,1.0801234497346435,29.0,2.6770630673681683,59.5,1.5545631755148024,1.5,0.5,29.5,0.8660254037844386,2.5,0.28867513459481287
16,538.3625,40.67915813103805,95.25,0.9464847243000456,30.25,1.75,63.25,3.5910769044025406,1.25,0.6291528696058958,31.5,1.848422751068236,2.5,0.28867513459481287
17,552.6125,33.43146207167731,90.25,2.25,27.0,1.7795130420052185,61.5,2.5,0.25,0.25,30.75,1.25,2.25,0.25
18,544.6375,36.20758653813684,89.75,3.1457643480294792,26.25,0.9464847243000456,60.75,2.25,0.25,0.25,29.75,1.181453906563152,2.0,0.0
19,557.7874999999999,15.466662737966448,84.25,1.9311050377094112,28.25,3.1983068437325812,63.0,2.3804761428476167,0.5,0.28867513459481287,31.25,1.3149778198382918,2.25,0.25
20,615.6375,39.545123882934874,92.25,2.75,31.25,1.6007810593582121,70.25,2.056493779875511,1.5,0.9574271077563381,34.5,1.0408329997330663,2.75,0.25
21,634.0875000000001,49.861973549489605,90.75,0.8539125638299665,29.25,1.6520189667999174,69.0,3.872983346207417,2.25,0.75,34.5,1.9364916731037085,2.25,0.25
22,608.9375,40.39956360634771,88.75,1.25,27.75,2.4958298553119898,67.0,1.7320508075688772,5.25,1.0307764064044151,33.0,0.9128709291752769,2.5,0.28867513459481287
