episode_id,player_id,source,value,game_time
1,3,wall_collision,-0.05,0.33
1,0,wall_collision,-0.05,0.47
1,2,wall_collision,-0.05,0.47
1,3,wall_collision,-0.05,0.47
1,3,attack,-0.05,0.47
1,3,wall_collision,-0.05,0.60
1,1,attack,-0.05,0.60
1,2,attack,-0.05,0.70
1,3,wall_collision,-0.05,0.73
1,0,attack,-0.05,0.83
1,3,wall_collision,-0.05,0.87
1,3,wall_collision,-0.05,1.00
1,1,wall_collision,-0.05,1.67
1,3,wall_collision,-0.05,1.80
1,3,wall_collision,-0.05,1.93
1,3,attack,-0.05,1.97
1,3,wall_collision,-0.05,2.07
1,3,wall_collision,-0.05,2.20
1,2,attack,-0.05,2.30
1,3,wall_collision,-0.05,2.33
1,0,attack,-0.05,2.38
1,3,wall_collision,-0.05,2.47
1,3,wall_collision,-0.05,2.60
1,3,wall_collision,-0.05,2.73
1,1,wall_collision,-0.05,2.87
1,1,attack,-0.05,3.13
1,3,attack,-0.05,3.75
1,2,wall_collision,-0.05,3.93
1,1,wall_collision,-0.05,4.47
1,0,attack,-0.05,4.58
1,1,wall_collision,-0.05,4.60
1,2,wall_collision,-0.05,4.60
1,2,wall_collision,-0.05,4.73
1,1,wall_collision,-0.05,4.87
1,2,wall_collision,-0.05,4.87
1,1,attack,-0.05,5.12
1,2,wall_collision,-0.05,5.27
1,3,attack,-0.05,5.32
1,2,wall_collision,-0.05,5.40
1,2,wall_collision,-0.05,5.67
1,2,wall_collision,-0.05,6.33
1,0,attack,-0.05,6.57
1,2,wall_collision,-0.05,6.73
1,3,attack,-0.05,7.10
1,2,attack,-0.05,7.48
1,1,attack,-0.05,7.90
1,3,wall_collision,-0.05,8.87
1,3,wall_collision,-0.05,9.00
1,3,attack,-0.05,9.00
1,3,wall_collision,-0.05,9.13
1,0,attack,-0.05,9.23
1,3,wall_collision,-0.05,9.27
1,3,wall_collision,-0.05,9.40
1,1,attack,-0.05,9.50
1,3,wall_collision,-0.05,9.53
1,3,wall_collision,-0.05,9.80
1,2,attack,-0.05,9.92
1,3,attack,-0.05,10.60
1,2,collect_ball_A,10.0,11.20
1,0,attack,-0.05,11.25
1,2,attack,-0.05,11.47
1,3,wall_collision,-0.05,11.53
1,1,wall_collision,-0.05,11.80
1,3,wall_collision,-0.05,11.80
1,1,attack,-0.05,11.80
1,0,collect_ball_A,10.0,11.83
