episode_id,player_id,source,value,game_time
1,2,attack,-0.05,0.28
1,3,attack,-0.05,0.28
1,0,wall_collision,-0.5,0.33
1,0,wall_collision,-0.5,0.47
1,0,wall_collision,-0.5,0.60
1,1,attack,-0.05,0.70
1,0,attack,-0.05,0.83
1,3,wall_collision,-0.5,1.00
1,3,wall_collision,-0.5,1.13
1,3,wall_collision,-0.5,1.27
1,0,wall_collision,-0.5,1.40
1,3,wall_collision,-0.5,1.40
1,0,wall_collision,-0.5,1.53
1,1,wall_collision,-0.5,1.53
1,2,wall_collision,-0.5,1.93
1,1,collect_ball_A,10.0,2.03
1,2,wall_collision,-0.5,2.07
1,3,wall_collision,-0.5,2.07
1,2,wall_collision,-0.5,2.20
1,2,attack,-0.05,2.22
1,2,wall_collision,-0.5,2.33
1,1,attack,-0.05,2.43
1,2,wall_collision,-0.5,2.47
1,2,wall_collision,-0.5,2.60
1,2,wall_collision,-0.5,2.73
1,3,wall_collision,-0.5,3.13
1,0,attack,-0.05,3.25
1,3,wall_collision,-0.5,3.27
1,2,wall_collision,-0.5,3.53
1,2,wall_collision,-0.5,3.67
1,2,wall_collision,-0.5,3.80
1,2,wall_collision,-0.5,3.93
1,2,wall_collision,-0.5,4.07
1,2,wall_collision,-0.5,4.20
1,1,attack,-0.05,4.28
1,3,wall_collision,-0.5,4.47
1,2,wall_collision,-0.5,4.60
1,3,wall_collision,-0.5,4.60
1,2,attack,-0.05,4.70
1,2,wall_collision,-0.5,4.73
1,3,wall_collision,-0.5,4.73
1,2,wall_collision,-0.5,4.87
1,2,wall_collision,-0.5,5.00
1,0,attack,-0.05,5.10
1,3,attack,-0.05,5.10
1,2,wall_collision,-0.5,5.13
1,2,wall_collision,-0.5,5.27
1,1,wall_collision,-0.5,5.53
1,2,wall_collision,-0.5,5.53
1,1,wall_collision,-0.5,5.93
1,1,wall_collision,-0.5,6.07
1,1,attack,-0.05,6.07
1,1,wall_collision,-0.5,6.20
1,2,attack,-0.05,6.28
1,1,wall_collision,-0.5,6.33
1,3,wall_collision,-0.5,6.33
1,1,wall_collision,-0.5,6.47
1,3,wall_collision,-0.5,6.47
1,1,wall_collision,-0.5,6.60
1,1,wall_collision,-0.5,6.73
1,1,wall_collision,-0.5,6.87
1,0,attack,-0.05,6.97
1,0,wall_collision,-0.5,7.00
1,1,wall_collision,-0.5,7.00
1,2,wall_collision,-0.5,7.00
1,0,wall_collision,-0.5,7.13
1,1,wall_collision,-0.5,7.13
1,2,wall_collision,-0.5,7.13
1,3,attack,-0.05,7.25
1,0,wall_collision,-0.5,7.27
1,1,wall_collision,-0.5,7.27
1,2,wall_collision,-0.5,7.27
1,0,wall_collision,-0.5,7.40
1,2,wall_collision,-0.5,7.93
1,2,wall_collision,-0.5,8.07
1,1,attack,-0.05,8.07
1,0,attack,-0.05,8.83
1,1,wall_collision,-0.5,8.87
1,1,wall_collision,-0.5,9.00
1,2,wall_collision,-0.5,9.00
1,3,attack,-0.05,9.25
1,3,wall_collision,-0.5,9.27
1,2,wall_collision,-0.5,9.40
1,3,wall_collision,-0.5,9.40
1,3,wall_collision,-0.5,9.53
1,1,attack,-0.05,9.58
1,3,wall_collision,-0.5,9.67
1,3,wall_collision,-0.5,9.80
1,0,wall_collision,-0.5,9.93
1,2,attack,-0.05,10.20
1,3,wall_collision,-0.5,10.73
1,0,attack,-0.05,10.82
1,2,wall_collision,-0.5,11.00
1,1,attack,-0.05,11.10
1,3,attack,-0.05,11.10
1,0,collect_ball_A,10.0,11.57
1,2,attack,-0.05,11.80
1,0,collect_ball_A,10.0,12.03
1,0,attack,-0.05,12.57
1,3,wall_collision,-0.5,12.60
1,3,attack,-0.05,12.70
1,3,wall_collision,-0.5,12.73
1,3,wall_collision,-0.5,12.87
1,3,wall_collision,-0.5,13.00
1,3,wall_collision,-0.5,13.13
1,3,wall_collision,-0.5,13.27
1,3,wall_collision,-0.5,13.67
1,3,wall_collision,-0.5,13.93
1,1,attack,-0.05,13.95
1,2,collect_ball_A,10.0,13.98
1,0,attack,-0.05,14.08
1,3,attack,-0.05,14.70
1,1,attack,-0.05,15.53
1,2,wall_collision,-0.5,16.20
1,2,wall_collision,-0.5,16.33
1,0,attack,-0.05,16.42
1,3,attack,-0.05,16.42
1,0,wall_collision,-0.5,17.27
1,1,wall_collision,-0.5,17.40
1,3,wall_collision,-0.5,17.93
1,0,attack,-0.05,18.00
1,3,attack,-0.05,18.00
1,3,wall_collision,-0.5,18.07
1,2,attack,-0.05,18.07
1,3,wall_collision,-0.5,18.20
1,1,attack,-0.05,18.20
1,3,wall_collision,-0.5,18.33
1,3,wall_collision,-0.5,18.47
