episode_id,player_id,source,value,game_time
1,3,attack,-0.05,0.28
1,2,attack,-0.05,0.42
1,1,attack,-0.05,0.55
1,0,attack,-0.05,0.85
1,3,attack,-0.05,2.17
1,1,attack,-0.05,3.10
1,0,attack,-0.05,3.22
1,2,attack,-0.05,3.48
1,3,collect_ball_A,10.0,3.62
1,3,attack,-0.05,4.28
1,0,attack,-0.05,4.82
1,3,collect_ball_A,10.0,5.08
1,2,attack,-0.05,5.35
1,1,attack,-0.05,5.62
1,1,attack,-0.05,7.20
1,0,attack,-0.05,7.37
1,2,attack,-0.05,7.37
1,3,attack,-0.05,8.15
1,1,attack,-0.05,9.08
1,2,attack,-0.05,9.08
1,0,attack,-0.05,9.88
1,1,attack,-0.05,10.72
1,3,attack,-0.05,10.72
1,0,collect_ball_A,10.0,11.03
1,2,attack,-0.05,11.25
1,0,attack,-0.05,12.83
1,1,attack,-0.05,12.98
1,2,attack,-0.05,12.98
1,3,attack,-0.05,13.22
1,2,collect_ball_A,10.0,14.05
1,2,collect_ball_A,10.0,14.28
1,3,collect_ball_A,10.0,14.48
1,1,attack,-0.05,14.57
1,2,attack,-0.05,15.12
1,2,collect_ball_A,10.0,15.12
1,3,attack,-0.05,15.23
1,1,collect_ball_A,10.0,15.38
1,0,attack,-0.05,15.88
1,1,attack,-0.05,16.28
1,1,collect_ball_A,10.0,16.28
1,2,attack,-0.05,16.70
1,3,attack,-0.05,16.70
1,0,collect_ball_A,10.0,17.43
1,0,attack,-0.05,17.50
1,2,attack,-0.05,18.72
1,3,attack,-0.05,18.97
1,0,attack,-0.05,19.48
1,1,attack,-0.05,20.28
1,2,attack,-0.05,20.28
1,3,attack,-0.05,20.52
1,0,attack,-0.05,21.05
1,0,collect_ball_A,10.0,21.93
1,3,attack,-0.05,22.15
1,0,attack,-0.05,23.13
1,1,attack,-0.05,23.13
1,2,attack,-0.05,23.88
1,3,attack,-0.05,24.28
1,0,attack,-0.05,24.82
1,1,attack,-0.05,25.13
1,2,attack,-0.05,25.77
1,1,collect_ball_A,10.0,26.33
1,3,attack,-0.05,26.55
1,1,attack,-0.05,27.35
1,0,attack,-0.05,27.63
1,2,attack,-0.05,28.82
1,0,attack,-0.05,30.03
1,1,attack,-0.05,30.03
1,3,attack,-0.05,30.17
1,2,attack,-0.05,30.42
1,1,attack,-0.05,31.63
1,0,attack,-0.05,31.90
1,2,attack,-0.05,32.17
2,0,attack,-0.05,33.50
2,2,collect_ball_A,10.0,33.98
2,2,attack,-0.05,34.32
2,0,collect_ball_A,10.0,34.45
2,1,collect_ball_A,10.0,34.53
2,3,attack,-0.05,34.58
2,0,collect_ball_A,10.0,34.97
2,0,attack,-0.05,35.07
2,1,attack,-0.05,35.62
2,3,attack,-0.05,36.43
2,2,attack,-0.05,36.68
2,0,attack,-0.05,36.82
2,1,attack,-0.05,37.88
2,2,attack,-0.05,38.42
2,1,collect_ball_A,10.0,38.95
2,3,collect_ball_A,10.0,39.05
2,0,collect_ball_A,10.0,39.18
2,0,attack,-0.05,39.48
2,1,attack,-0.05,39.48
2,3,attack,-0.05,40.43
2,2,attack,-0.05,40.58
2,0,attack,-0.05,40.97
2,2,attack,-0.05,42.12
2,3,attack,-0.05,42.57
2,0,attack,-0.05,43.35
2,1,attack,-0.05,43.50
2,2,attack,-0.05,43.73
2,1,collect_ball_A,10.0,44.37
