episode_id,player_id,source,value,game_time
1,1,attack,-0.05,0.30
1,0,attack,-0.05,0.43
1,2,attack,-0.05,0.43
1,3,attack,-0.05,0.43
1,3,attack,-0.05,2.97
1,0,attack,-0.05,3.10
1,1,attack,-0.05,3.22
1,2,attack,-0.05,3.22
1,3,attack,-0.05,4.55
1,1,collect_ball_A,10.0,5.15
1,0,attack,-0.05,5.25
1,2,attack,-0.05,5.65
1,1,attack,-0.05,5.92
1,0,attack,-0.05,6.85
1,3,attack,-0.05,7.12
1,2,attack,-0.05,7.77
1,1,attack,-0.05,7.90
1,3,attack,-0.05,9.67
1,0,attack,-0.05,9.77
1,2,attack,-0.05,10.03
1,1,attack,-0.05,11.00
1,0,attack,-0.05,11.53
1,1,attack,-0.05,12.72
1,3,attack,-0.05,13.25
1,0,attack,-0.05,15.37
1,1,attack,-0.05,16.42
1,2,attack,-0.05,16.55
1,0,attack,-0.05,16.85
1,3,attack,-0.05,17.37
1,1,attack,-0.05,17.93
1,2,attack,-0.05,18.55
1,0,attack,-0.05,19.08
1,0,collect_ball_A,10.0,19.85
1,2,attack,-0.05,20.15
1,0,attack,-0.05,21.35
1,3,attack,-0.05,21.48
1,1,attack,-0.05,22.02
1,2,collect_ball_A,10.0,22.02
1,2,attack,-0.05,22.55
1,0,attack,-0.05,23.08
1,3,attack,-0.05,23.75
1,1,attack,-0.05,23.92
1,2,collect_ball_A,10.0,24.72
1,2,attack,-0.05,24.95
1,1,attack,-0.05,26.02
1,3,attack,-0.05,26.02
1,0,attack,-0.05,26.55
1,2,attack,-0.05,26.55
1,1,attack,-0.05,27.88
1,3,attack,-0.05,27.88
1,2,attack,-0.05,28.28
1,0,attack,-0.05,28.58
1,2,attack,-0.05,29.83
1,3,collect_ball_A,10.0,30.28
1,0,attack,-0.05,30.72
1,1,attack,-0.05,30.72
1,2,attack,-0.05,31.35
1,0,collect_ball_A,10.0,31.95
1,0,attack,-0.05,32.28
1,3,attack,-0.05,33.22
2,3,collect_ball_A,10.0,33.50
2,1,attack,-0.05,33.75
2,0,attack,-0.05,34.15
2,2,attack,-0.05,34.68
2,0,attack,-0.05,35.75
