episode_id,player_0_ball_reward,player_1_ball_reward,player_2_ball_reward,player_3_ball_reward,total_ball_reward
1,32.0,22.0,20.0,18.0,92.0
2,36.0,28.0,24.0,16.0,104.0
3,39.0,28.0,30.0,29.0,126.0
4,29.0,26.0,30.0,26.0,111.0
5,33.0,30.0,30.0,30.0,123.0
6,30.0,30.0,30.0,40.0,130.0
7,30.0,30.0,30.0,36.0,126.0
8,30.0,30.0,26.0,21.0,107.0
9,30.0,30.0,43.0,30.0,133.0
10,30.0,30.0,30.0,57.0,147.0
11,30.0,30.0,30.0,57.0,147.0
12,42.0,30.0,30.0,54.0,156.0
13,51.0,30.0,30.0,48.0,159.0
14,41.0,28.0,30.0,66.0,165.0
15,39.0,30.0,36.0,33.0,138.0
16,54.0,30.0,36.0,48.0,168.0
17,45.0,30.0,30.0,63.0,168.0
18,60.0,30.0,42.0,57.0,189.0
19,48.0,30.0,36.0,63.0,177.0
20,54.0,45.0,54.0,69.0,222.0
21,36.0,54.0,46.0,72.0,208.0
22,42.0,42.0,26.0,84.0,194.0
23,42.0,57.0,48.0,63.0,210.0
24,57.0,33.0,63.0,66.0,219.0
25,57.0,45.0,57.0,78.0,237.0
26,59.0,31.0,75.0,63.0,228.0
27,42.0,54.0,31.0,72.0,199.0
28,57.0,48.0,30.0,36.0,171.0
29,54.0,30.0,42.0,51.0,177.0
30,93.0,30.0,30.0,39.0,192.0
31,69.0,30.0,30.0,78.0,207.0
32,63.0,30.0,39.0,36.0,168.0
33,63.0,30.0,39.0,36.0,168.0
34,57.0,30.0,39.0,45.0,171.0
35,81.0,30.0,36.0,45.0,192.0
36,72.0,30.0,28.0,68.0,198.0
37,54.0,30.0,30.0,69.0,183.0
38,42.0,66.0,28.0,54.0,190.0
39,48.0,30.0,42.0,87.0,207.0
40,37.0,51.0,33.0,54.0,175.0
41,42.0,42.0,57.0,72.0,213.0
42,59.0,52.0,36.0,60.0,207.0
43,69.0,36.0,30.0,42.0,177.0
44,69.0,51.0,39.0,69.0,228.0
45,51.0,48.0,72.0,63.0,234.0
46,57.0,48.0,36.0,75.0,216.0
47,60.0,35.0,28.0,41.0,164.0
48,45.0,39.0,36.0,51.0,171.0
49,43.0,54.0,33.0,57.0,187.0
50,60.0,36.0,31.0,51.0,178.0
51,51.0,57.0,33.0,63.0,204.0
52,60.0,63.0,28.0,51.0,202.0
53,74.0,57.0,28.0,63.0,222.0
54,34.0,69.0,30.0,78.0,211.0
55,75.0,69.0,30.0,30.0,204.0
56,54.0,57.0,30.0,42.0,183.0
57,72.0,66.0,30.0,26.0,194.0
58,84.0,57.0,30.0,42.0,213.0
59,78.0,51.0,30.0,37.0,196.0
60,93.0,63.0,30.0,36.0,222.0
