episode_id,player_id,source,value,game_time
1,0,attack,-0.05,0.28
1,1,wall_collision,-0.5,0.33
1,1,attack,-0.05,0.42
1,1,wall_collision,-0.5,0.47
1,2,wall_collision,-0.5,0.47
1,3,wall_collision,-0.5,0.47
1,1,wall_collision,-0.5,0.60
1,2,wall_collision,-0.5,0.60
1,3,wall_collision,-0.5,0.60
1,1,wall_collision,-0.5,0.73
1,2,wall_collision,-0.5,0.73
1,1,wall_collision,-0.5,0.87
1,3,attack,-0.05,0.95
1,1,wall_collision,-0.5,1.00
1,2,attack,-0.05,1.22
1,2,collect_ball_A,10.0,1.22
1,0,wall_collision,-0.5,1.40
1,0,wall_collision,-0.5,1.53
1,1,wall_collision,-0.5,1.53
1,1,wall_collision,-0.5,1.67
1,3,wall_collision,-0.5,1.67
1,3,wall_collision,-0.5,1.80
1,0,wall_collision,-0.5,2.07
1,2,wall_collision,-0.5,2.07
1,1,wall_collision,-0.5,2.20
1,2,wall_collision,-0.5,2.20
1,0,wall_collision,-0.5,2.33
1,1,wall_collision,-0.5,2.33
1,1,wall_collision,-0.5,2.47
1,1,attack,-0.05,2.55
1,1,wall_collision,-0.5,2.60
1,1,wall_collision,-0.5,2.73
1,3,attack,-0.05,2.82
1,1,wall_collision,-0.5,2.87
1,2,attack,-0.05,2.95
1,1,wall_collision,-0.5,3.00
1,0,wall_collision,-0.5,3.13
1,1,wall_collision,-0.5,3.13
1,0,wall_collision,-0.5,3.27
1,1,wall_collision,-0.5,3.27
1,3,wall_collision,-0.5,3.53
1,1,collect_ball_A,10.0,4.05
1,0,attack,-0.05,4.15
1,2,wall_collision,-0.5,4.33
1,2,wall_collision,-0.5,4.47
1,1,attack,-0.05,4.55
1,2,wall_collision,-0.5,4.60
1,2,wall_collision,-0.5,4.73
1,2,attack,-0.05,4.82
1,3,attack,-0.05,4.82
1,2,wall_collision,-0.5,4.87
1,2,wall_collision,-0.5,5.00
1,2,wall_collision,-0.5,5.13
1,2,wall_collision,-0.5,5.27
1,2,wall_collision,-0.5,5.40
1,2,wall_collision,-0.5,5.53
1,1,wall_collision,-0.5,6.07
1,2,attack,-0.05,6.42
1,0,collect_ball_A,10.0,6.53
1,1,wall_collision,-0.5,6.73
1,1,wall_collision,-0.5,6.87
1,0,attack,-0.05,6.95
1,1,wall_collision,-0.5,7.00
1,3,wall_collision,-0.5,7.00
1,1,attack,-0.05,7.08
1,3,attack,-0.05,7.08
1,1,wall_collision,-0.5,7.13
1,3,wall_collision,-0.5,7.13
1,1,wall_collision,-0.5,7.27
1,3,wall_collision,-0.5,7.27
1,1,wall_collision,-0.5,7.40
1,3,wall_collision,-0.5,7.40
1,1,wall_collision,-0.5,7.53
1,3,wall_collision,-0.5,7.53
1,1,wall_collision,-0.5,7.67
1,3,wall_collision,-0.5,7.67
1,3,wall_collision,-0.5,7.93
1,2,collect_ball_A,10.0,7.97
1,3,wall_collision,-0.5,8.07
1,3,wall_collision,-0.5,8.20
1,0,wall_collision,-0.5,8.60
1,2,attack,-0.05,8.68
1,0,wall_collision,-0.5,8.87
1,3,wall_collision,-0.5,8.87
1,0,attack,-0.05,9.08
1,3,attack,-0.05,9.08
1,1,attack,-0.05,9.22
1,3,wall_collision,-0.5,10.20
1,2,attack,-0.05,10.42
1,3,wall_collision,-0.5,11.13
1,0,collect_ball_A,10.0,11.30
1,0,collect_ball_A,10.0,11.32
1,1,attack,-0.05,11.48
1,3,attack,-0.05,11.48
1,2,attack,-0.05,12.02
