episode_id,player_id,source,value,game_time
1,0,attack,-0.05,0.42
1,3,attack,-0.05,0.55
1,2,wall_collision,-5.0,0.60
1,1,wall_collision,-5.0,0.73
1,2,wall_collision,-5.0,1.27
1,3,wall_collision,-5.0,1.27
1,1,attack,-0.05,1.27
1,2,attack,-0.05,1.35
1,2,wall_collision,-5.0,1.40
1,3,wall_collision,-5.0,1.40
1,2,wall_collision,-5.0,1.53
1,3,wall_collision,-5.0,1.53
1,2,wall_collision,-5.0,1.67
1,2,wall_collision,-5.0,1.80
1,2,wall_collision,-5.0,1.93
1,0,collect_ball_A,10.0,2.03
1,2,wall_collision,-5.0,2.20
1,3,wall_collision,-5.0,2.20
1,1,wall_collision,-5.0,2.33
1,2,wall_collision,-5.0,2.33
1,3,attack,-0.05,2.43
1,1,wall_collision,-5.0,2.47
1,0,collect_ball_A,10.0,2.47
1,0,collect_ball_A,10.0,2.53
1,0,attack,-0.05,2.57
1,1,wall_collision,-5.0,2.60
1,2,wall_collision,-5.0,2.60
1,1,wall_collision,-5.0,2.87
1,1,wall_collision,-5.0,3.00
1,2,attack,-0.05,3.38
1,3,wall_collision,-5.0,3.40
1,1,wall_collision,-5.0,3.53
1,1,wall_collision,-5.0,3.80
1,3,attack,-0.05,4.30
1,1,attack,-0.05,5.37
1,2,attack,-0.05,5.50
1,3,attack,-0.05,5.90
1,0,wall_collision,-5.0,6.47
1,0,wall_collision,-5.0,6.60
1,1,wall_collision,-5.0,6.73
1,1,attack,-0.05,6.97
1,2,attack,-0.05,7.10
1,2,collect_ball_A,10.0,7.12
1,0,wall_collision,-5.0,7.13
1,0,wall_collision,-5.0,7.27
1,1,wall_collision,-5.0,7.67
1,3,attack,-0.05,7.77
1,1,wall_collision,-5.0,7.80
1,0,attack,-0.05,8.03
1,2,wall_collision,-5.0,8.73
1,2,attack,-0.05,9.08
1,1,wall_collision,-5.0,9.27
1,3,attack,-0.05,9.35
1,0,wall_collision,-5.0,9.40
1,1,wall_collision,-5.0,9.53
1,0,attack,-0.05,9.75
1,1,attack,-0.05,10.02
1,3,attack,-0.05,11.22
1,0,attack,-0.05,11.62
1,3,wall_collision,-5.0,12.33
1,3,wall_collision,-5.0,12.47
1,3,wall_collision,-5.0,12.73
1,3,wall_collision,-5.0,12.87
1,0,attack,-0.05,13.22
1,3,wall_collision,-5.0,13.27
1,2,attack,-0.05,13.48
1,3,attack,-0.05,14.05
1,1,attack,-0.05,14.58
1,2,attack,-0.05,15.00
1,0,attack,-0.05,15.75
1,1,attack,-0.05,16.42
1,3,collect_ball_A,10.0,16.58
1,2,wall_collision,-5.0,17.13
1,2,wall_collision,-5.0,17.27
1,2,wall_collision,-5.0,17.40
1,0,attack,-0.05,17.48
1,2,attack,-0.05,17.48
1,2,wall_collision,-5.0,17.53
1,2,wall_collision,-5.0,17.67
1,2,wall_collision,-5.0,17.80
1,2,wall_collision,-5.0,17.93
1,2,wall_collision,-5.0,18.07
1,1,attack,-0.05,18.32
1,3,attack,-0.05,18.58
1,1,attack,-0.05,20.18
1,0,attack,-0.05,20.32
1,2,attack,-0.05,20.68
1,1,collect_ball_A,10.0,20.95
1,1,collect_ball_A,10.0,20.95
1,3,attack,-0.05,22.02
1,1,attack,-0.05,22.47
1,0,attack,-0.05,22.55
1,2,attack,-0.05,22.83
1,0,attack,-0.05,24.15
1,3,attack,-0.05,24.15
1,1,attack,-0.05,24.58
