episode_id,player_0_ball_score,player_0_wall_count,player_1_ball_score,player_1_wall_count,player_2_ball_score,player_2_wall_count,player_3_ball_score,player_3_wall_count,total_ball_score,total_wall_count
1,23.0,19.6,27.0,23.4,20.0,20.4,18.0,21.8,88.0,85.2
2,33.0,5.0,26.0,7.0,30.0,3.6,28.0,16.0,117.0,31.6
3,57.0,0.2,30.0,9.0,30.0,6.8,29.0,18.6,146.0,34.6
4,36.0,0.6,30.0,5.2,30.0,16.4,48.0,10.2,144.0,32.4
5,60.0,14.4,30.0,7.8,33.0,5.4,42.0,8.8,165.0,36.4
6,69.0,7.8,51.0,8.4,39.0,2.0,32.0,15.6,191.0,33.8
7,75.0,8.4,63.0,20.0,36.0,5.6,61.0,24.0,235.0,58.0
8,72.0,8.0,45.0,17.4,32.0,3.4,57.0,22.8,206.0,51.6
9,48.0,3.4,63.0,9.8,35.0,3.2,66.0,16.2,212.0,32.6
10,36.0,11.0,60.0,16.2,39.0,6.0,69.0,27.2,204.0,60.4
11,54.0,15.6,75.0,5.0,39.0,8.2,45.0,28.6,213.0,57.4
12,78.0,12.0,60.0,13.2,33.0,6.8,57.0,23.6,228.0,55.6
13,54.0,9.2,54.0,8.8,45.0,17.6,99.0,12.6,252.0,48.2
14,66.0,22.2,57.0,18.0,36.0,13.6,78.0,36.0,237.0,89.8
15,69.0,9.4,59.0,14.2,58.0,9.4,60.0,7.4,246.0,40.4
16,93.0,16.6,57.0,10.2,52.0,24.6,49.0,43.0,251.0,94.4
17,84.0,31.2,60.0,14.0,32.0,12.0,69.0,35.8,245.0,93.0
18,79.0,23.4,60.0,25.4,32.0,9.4,45.0,21.4,216.0,79.6
19,69.0,19.0,75.0,28.6,45.0,23.6,66.0,34.8,255.0,106.0
20,95.0,11.0,61.0,12.6,42.0,23.2,63.0,26.0,261.0,72.8
21,57.0,20.4,60.0,30.8,57.0,18.2,66.0,24.2,240.0,93.6
22,48.0,13.0,81.0,9.8,63.0,12.0,78.0,19.2,270.0,54.0
23,72.0,15.0,45.0,4.2,39.0,6.0,84.0,18.8,240.0,44.0
24,75.0,22.4,39.0,10.4,69.0,25.8,75.0,7.4,258.0,66.0
25,66.0,30.0,84.0,25.6,66.0,30.0,57.0,31.4,273.0,117.0
26,75.0,12.8,75.0,5.8,75.0,13.6,64.0,15.8,289.0,48.0
27,75.0,22.2,63.0,9.6,57.0,16.6,90.0,15.0,285.0,63.4
28,57.0,31.8,63.0,14.4,69.0,9.4,70.0,97.6,259.0,153.2
29,51.0,8.6,78.0,4.6,81.0,14.4,66.0,19.2,276.0,46.8
30,60.0,14.0,45.0,11.8,78.0,16.4,93.0,21.6,276.0,63.8
31,57.0,16.8,72.0,12.8,81.0,11.0,72.0,61.0,282.0,101.6
32,60.0,12.0,99.0,13.2,66.0,20.8,62.0,79.8,287.0,125.8
33,84.0,8.2,99.0,12.2,49.0,15.6,69.0,17.6,301.0,53.6
34,48.0,3.0,78.0,28.4,75.0,32.0,39.0,24.2,240.0,87.6
35,68.0,8.8,62.0,8.8,62.0,6.2,64.0,27.0,256.0,50.800000000000004
36,65.0,4.4,58.0,3.4,53.0,17.6,84.0,21.0,260.0,46.4
37,73.0,16.4,75.0,15.8,79.0,4.6,51.0,34.8,278.0,71.6
38,49.0,20.8,79.0,16.8,54.0,24.0,75.0,18.4,257.0,80.0
39,56.0,15.8,87.0,23.8,58.0,20.4,50.0,18.8,251.0,78.8
