penalty,penalty_val,episode,total_score_mean,total_score_sem,wall_count_mean,wall_count_sem,ball_score_mean,ball_score_sem,p0_score_mean,p0_score_sem,p1_score_mean,p1_score_sem,p2_score_mean,p2_score_sem,p3_score_mean,p3_score_sem
0.05,0.05,1,91.16999999999999,4.5927900017309735,106.0,11.80847153530041,94.0,4.560701700396551,23.32,2.184197793241262,29.29,0.026076809620810965,17.25,4.35896776771749,21.309999999999995,3.3574216297629342
0.05,0.05,2,121.34,10.94081715412519,50.4,6.744479223779995,112.0,4.381780460041329,37.43,9.536672375624528,29.360000000000003,3.7257321428143486,29.25,0.028284271247461797,25.299999999999997,2.172694180044674
0.05,0.05,3,128.01,6.1386057048812,51.6,11.007633714836263,120.0,0.0,39.660000000000004,6.132004566208345,29.48,0.0334664010613635,29.3,0.05656854249492386,29.57,0.03346640106136282
0.05,0.05,4,150.01,13.198919652759464,42.6,10.340599595768127,118.0,1.7888543819998317,47.699999999999996,10.154890447464215,43.489999999999995,7.697926993678231,29.369999999999997,0.05403702434442532,29.45,0.03464101615137804
0.05,0.05,5,174.94,15.983049771554864,33.0,2.85657137141714,120.0,0.0,81.53999999999999,13.892036567760682,30.49,0.8746885159872626,29.409999999999997,0.01673320053068124,33.5,2.5734412758017235
0.05,0.05,6,203.29000000000002,7.4647625548305285,61.0,8.138795979750322,118.0,1.7888543819998317,58.629999999999995,12.891862549686136,84.51,10.252135387322975,29.52,0.02280350850198302,30.630000000000003,0.8990661822135226
0.05,0.05,7,249.06,40.40128067277075,112.0,10.840664186294122,118.0,1.7888543819998317,91.55,35.29082883696556,81.46,29.93051753645432,40.46999999999999,9.823060622840519,35.58,6.808062866924776
0.05,0.05,8,230.02999999999997,10.812618554263349,87.0,8.31384387633061,112.0,3.346640106136302,75.45,14.1430194795878,81.44000000000001,17.31619126713493,48.510000000000005,8.103695453310175,24.63,5.284024981015892
0.05,0.05,9,310.12,48.38484597474709,99.6,11.13049864112116,116.0,2.1908902300206643,75.47,7.421086173869697,91.55999999999999,23.961099307001753,107.46999999999998,31.136482139124194,35.62,6.059811878268169
0.05,0.05,10,251.22999999999996,28.03737362878342,96.6,14.57010638259035,116.0,2.1908902300206643,106.35,23.042586660355646,34.67,12.399230621292595,47.68,12.193741017423651,62.529999999999994,26.137305140354464
0.05,0.05,11,314.2,45.24494446896802,154.2,22.75504339701421,118.0,1.7888543819998317,120.41000000000001,28.928834750124313,34.67999999999999,5.437381722851541,73.49,13.137948089408786,85.61999999999999,30.881718216446437
0.05,0.05,12,292.3,33.564448453683845,125.4,21.638114520447477,118.0,1.7888543819998317,91.47999999999999,27.00810100692013,40.73,20.07280548403735,79.42999999999999,6.1273093605594955,80.66,27.495262864719077
0.05,0.05,13,253.63999999999996,36.03075741640744,152.2,22.537790486203384,116.0,2.1908902300206643,77.63000000000001,17.907845208176216,46.8,17.790126475098486,75.63,15.189269896871275,53.58,18.3607276544259
0.05,0.05,14,270.53999999999996,32.98749884425917,118.4,15.402856877865224,118.0,1.7888543819998317,106.61000000000001,26.61456518525148,82.62,14.29682901905174,49.69,15.161856086904399,31.619999999999997,16.513301305311423
0.05,0.05,15,324.18,27.945048219675694,138.8,24.702064691033417,120.0,0.0,82.50999999999999,18.615887838080678,83.57000000000001,14.902091128428923,72.63,22.484962085803037,85.47,5.164796220568631
0.05,0.05,16,246.59,24.953033482925477,134.8,15.53679503630012,118.0,1.7888543819998317,59.58999999999999,8.854935347025409,44.73,9.474646167535756,82.5,19.70352252771062,59.77,20.144620125482632
0.05,0.05,17,288.93,22.15823819711306,118.8,30.915885884121128,120.0,0.0,104.67,20.88781750207522,76.69,18.326791317631134,50.78,11.939485751069851,56.79,12.316341989405782
0.05,0.05,18,271.73,11.956618250993882,169.0,46.63732410848633,118.0,1.7888543819998317,105.72999999999999,20.19394265615311,93.63000000000001,10.772015595978312,22.579999999999995,13.662617611570631,49.79,10.205424048024655
0.05,0.05,19,286.05,32.21603637941825,130.2,25.673955674963683,118.0,1.7888543819998317,91.69000000000001,16.51948788552478,65.78999999999999,7.665812416176122,72.71000000000001,20.14439078254788,55.86,14.605542783477782
0.05,0.05,20,292.85,31.621929099914183,207.2,45.114432280590655,118.0,1.7888543819998317,60.769999999999996,14.928969153963711,86.74,10.995020691203813,99.60999999999999,27.56959702280757,45.73,8.118726501120726
0.05,0.05,21,304.65999999999997,26.216194994697457,196.2,53.42463851070964,120.0,0.0,70.6,10.706175787833859,93.65,19.31685792255045,67.73999999999998,19.22691030821125,72.66999999999999,13.7810493069287
0.05,0.05,22,295.87,17.351026482603267,103.2,29.957837038077365,120.0,0.0,55.73,10.250479013197385,78.69,21.948108802354703,127.64000000000001,20.109626550485714,33.81,9.508169119236364
0.05,0.05,23,242.89000000000001,40.48692974281947,156.0,34.936513850125344,120.0,0.0,33.73,29.385011825759065,92.65,31.491627458738936,76.7,21.07324844441407,39.809999999999995,13.163748706200675
0.05,0.05,24,245.29000000000002,5.703234170187996,170.0,31.877264625434847,120.0,0.0,81.85,13.906271966274785,60.82000000000001,12.415865656489682,43.82,10.4138619157352,58.8,14.499055141629057
0.05,0.05,25,246.82,9.667270555849772,138.8,26.388482336049563,120.0,0.0,64.75999999999999,9.471128760607153,48.730000000000004,9.586256829440778,76.66999999999999,9.070331857214487,56.660000000000004,10.910393210146003
0.05,0.05,26,332.68,20.88333594040952,175.6,55.2533075933016,120.0,0.0,76.72,13.285553055857326,62.760000000000005,3.0478648263989663,110.55,26.694962071522035,82.65,10.83630933482429
0.05,0.05,27,289.2,21.51235458986301,117.2,26.77969379959375,120.0,0.0,90.78,12.187260561750536,57.92999999999999,8.317723246177406,64.71000000000001,18.55808934130882,75.78,11.265439183627063
0.05,0.05,28,274.2,35.40343486160629,129.6,19.092616373876055,120.0,0.0,78.78999999999999,8.889166440111241,70.78999999999999,22.075934408309877,63.77,6.6507533407877935,60.85,25.659364762207186
0.05,0.05,29,245.99,15.538052645038885,173.8,48.333342528734754,116.0,3.5777087639996634,62.65999999999999,15.01693310899399,57.7,5.0260720249514925,51.779999999999994,6.727638515853836,73.85,18.518731058039588
0.05,0.05,30,295.15,10.9383088272365,105.2,15.477467493101058,120.0,0.0,78.73,14.02187291341638,62.82000000000001,8.412913882835127,71.83,8.248764756010441,81.77000000000001,8.659360253506028
0.05,0.05,31,238.07,28.46691272337062,112.2,22.05701702406742,120.0,0.0,94.68999999999998,15.649366760351677,63.760000000000005,7.097117724823227,33.75,18.36740046930975,45.870000000000005,5.5348821125657235
0.05,0.05,32,220.20999999999998,19.047763123264627,194.0,46.983401324297496,120.0,0.0,66.77,10.080918608936388,56.81999999999999,12.143505260014505,56.739999999999995,8.698809113895994,39.879999999999995,8.385828521976823
0.05,0.05,33,300.96,23.950868042724462,88.0,25.51391777050322,120.0,0.0,89.66,5.075537409969511,68.72999999999999,17.8020762834002,76.72,13.921448200528564,65.85,13.01854830616686
0.05,0.05,34,216.05,21.45668660348098,164.0,40.29094191006212,116.0,2.1908902300206643,41.61999999999999,21.100936472109478,54.779999999999994,13.985196459113471,58.81,9.180853990778852,60.839999999999996,11.210195359582274
0.05,0.05,35,248.23000000000002,18.909207281110437,146.2,47.270625128085626,116.0,3.5777087639996634,87.71000000000001,5.952266795095796,43.790000000000006,10.137853816267032,59.84000000000001,18.07546071335389,56.89,17.23278503318602
0.05,0.05,36,253.2,21.57350226551081,120.0,26.440877443836843,120.0,0.0,53.69,16.97576154403684,70.85,14.516948715208716,74.85,10.952670907134934,53.81,8.762937863524996
0.05,0.05,37,271.34000000000003,6.404239221016029,179.8,47.14522245148494,114.0,3.5777087639996634,99.82000000000001,9.674736172113429,67.83000000000001,5.2253918513351705,70.80999999999999,7.430806147384009,32.879999999999995,9.05914565508249
0.05,0.05,38,217.6,21.481773669788065,157.2,23.09008445198934,120.0,0.0,97.82000000000001,13.390194920164529,46.86,10.573271962831564,59.970000000000006,5.102971683244969,12.95,15.256487144818104
0.05,0.05,39,282.6,15.762265065656013,199.6,40.690637743834884,118.0,1.7888543819998317,103.88,17.375089064519926,57.85,13.17354166501932,65.92999999999999,12.222484199212532,54.94000000000001,18.39459920737606
0.05,0.05,40,217.45999999999998,28.875475407341778,179.8,30.19854301121165,118.0,1.7888543819998317,44.83,17.417259256266465,74.84,15.501654105288251,46.879999999999995,17.937048809656506,50.91,11.922956009312456
0.05,0.05,41,285.43,21.264409702599313,167.6,57.86992310345677,118.0,1.7888543819998317,75.79999999999998,7.140098038542608,95.77000000000001,11.57903795658344,50.94,12.272109843054697,62.92,13.654922921789048
0.05,0.05,42,284.17999999999995,15.544964457984456,145.0,21.486740097092436,120.0,0.0,82.82000000000002,15.714213947888073,68.80999999999999,14.024481452089416,82.78000000000002,22.73471618472507,49.769999999999996,19.26041328736224
0.05,0.05,43,263.39,26.32866270815896,170.2,29.88029450992744,114.0,3.5777087639996634,84.91,15.374019643541502,66.76,13.92105168440948,81.86,18.455716729512293,29.860000000000003,9.052153334980579
0.05,0.05,44,264.43999999999994,25.49416952952184,254.8,46.71222538051468,118.0,1.7888543819998317,56.83,8.512233549427553,76.82,15.303853109593021,78.88,21.452107588766193,51.910000000000004,8.286958428760217
