episode_id,player_0_ball,player_0_total,player_0_wall,player_1_ball,player_1_total,player_1_wall,player_2_ball,player_2_total,player_2_wall,player_3_ball,player_3_total,player_3_wall,all_ball,all_total,all_wall
1,18.0000,10.1100,14.4000,26.0000,17.9700,14.6000,16.0000,6.6200,17.2000,18.0000,5.2900,24.0000,78.0000,39.9900,70.2000
2,36.0000,27.7100,5.6000,37.0000,33.7000,7.4000,29.0000,27.5900,1.4000,30.0000,20.3400,18.0000,132.0000,109.3400,32.4000
3,45.0000,43.1600,2.6000,38.0000,31.3700,2.0000,28.0000,24.1900,2.4000,48.0000,46.0600,14.6000,159.0000,144.7800,21.6000
4,40.0000,35.5000,5.8000,31.0000,21.6300,5.8000,30.0000,25.7400,7.6000,33.0000,23.1800,18.6000,134.0000,106.0500,37.8000
5,39.0000,38.6300,0.0000,31.0000,21.6600,1.8000,30.0000,29.3000,0.6000,54.0000,35.5700,24.0000,154.0000,125.1600,26.4000
6,54.0000,80.3800,2.8000,33.0000,31.0800,3.4000,30.0000,27.1700,5.0000,48.0000,28.8600,23.4000,165.0000,167.4900,34.6000
7,78.0000,89.0600,1.4000,30.0000,27.9200,3.8000,30.0000,28.7300,2.0000,48.0000,51.4000,16.6000,186.0000,197.1100,23.8000
8,72.0000,92.5900,2.2000,30.0000,29.5500,0.6000,30.0000,29.0100,1.6000,60.0000,50.0800,11.0000,192.0000,201.2300,15.4000
9,66.0000,64.0100,13.2000,36.0000,32.3900,6.8000,39.0000,31.6700,10.0000,61.0000,42.8300,29.6000,202.0000,170.9000,59.6000
10,51.0000,77.6700,9.8000,54.0000,80.4300,10.6000,30.0000,29.9000,1.8000,72.0000,54.7100,14.0000,207.0000,242.7100,36.2000
11,72.0000,62.8000,1.8000,34.0000,30.4400,2.8000,42.0000,49.8200,6.0000,32.0000,19.0900,25.6000,180.0000,162.1500,36.2000
12,33.0000,34.4200,14.8000,102.0000,74.9100,3.4000,75.0000,53.0700,21.2000,39.0000,16.7300,18.0000,249.0000,179.1300,57.4000
13,72.0000,108.7300,21.8000,58.0000,35.4800,16.6000,54.0000,56.6700,2.4000,63.0000,26.4000,40.6000,247.0000,227.2800,81.4000
14,87.0000,122.2500,10.8000,45.0000,54.8600,13.8000,60.0000,53.8400,8.0000,69.0000,47.1400,25.2000,261.0000,278.0900,57.8000
15,75.0000,88.9300,11.4000,66.0000,68.2900,9.0000,97.0000,85.5800,8.4000,60.0000,18.2800,24.8000,298.0000,261.0800,53.6000
16,57.0000,48.5400,0.6000,45.0000,66.7000,6.2000,69.0000,92.3500,12.8000,81.0000,41.0600,9.2000,252.0000,248.6500,28.8000
17,66.0000,66.5900,10.2000,59.0000,89.2700,7.0000,57.0000,36.4800,32.8000,75.0000,24.9300,27.6000,257.0000,217.2700,77.6000
18,87.0000,78.6800,8.2000,49.0000,34.9600,1.8000,63.0000,50.5000,28.6000,81.0000,64.2500,33.0000,280.0000,228.3900,71.6000
19,99.0000,110.3300,6.8000,59.0000,41.8400,4.0000,69.0000,103.0800,3.6000,72.0000,36.6300,8.2000,299.0000,291.8800,22.6000
20,63.0000,67.8800,7.8000,80.0000,63.5700,8.4000,36.0000,30.6300,2.6000,84.0000,80.1000,27.4000,263.0000,242.1800,46.2000
21,84.0000,65.8200,26.0000,62.0000,60.3300,11.0000,42.0000,26.7500,8.2000,72.0000,50.3300,35.0000,260.0000,203.2300,80.2000
22,66.0000,73.6400,6.4000,74.0000,57.3300,11.0000,72.0000,54.5500,22.6000,51.0000,72.4800,10.6000,263.0000,258.0000,50.6000
23,96.0000,73.3600,16.8000,60.0000,67.8200,10.0000,54.0000,42.9500,21.8000,84.0000,73.1100,7.4000,294.0000,257.2400,56.0000
24,90.0000,93.2500,8.8000,69.0000,63.5500,12.2000,75.0000,50.8800,13.8000,72.0000,80.2400,8.8000,306.0000,287.9200,43.6000
25,108.0000,121.9700,17.6000,93.0000,95.3100,13.0000,69.0000,70.7100,14.2000,75.0000,49.6300,16.2000,345.0000,337.6200,61.0000
26,69.0000,84.3800,18.6000,84.0000,84.5500,8.2000,78.0000,68.7900,2.0000,114.0000,120.8700,19.6000,345.0000,358.5900,48.4000
27,48.0000,48.9500,19.6000,75.0000,79.9900,9.4000,66.0000,43.7200,44.0000,25.0000,37.4900,14.6000,214.0000,210.1500,87.6000
28,63.0000,96.3200,0.8000,90.0000,54.7300,18.0000,90.0000,94.2500,15.0000,46.0000,3.7100,50.2000,289.0000,249.0100,84.0000
29,126.0000,92.9700,27.6000,54.0000,35.1500,11.4000,54.0000,32.6500,22.4000,64.0000,39.2400,33.0000,298.0000,200.0100,94.4000
