episode_id,player_id,source,value,game_time
1,1,wall_collision,-0.5,0.35
1,2,wall_collision,-0.5,0.35
1,0,attack,-0.05,0.47
1,1,wall_collision,-0.5,0.48
1,2,wall_collision,-0.5,0.48
1,1,wall_collision,-0.5,0.62
1,2,wall_collision,-0.5,0.62
1,1,wall_collision,-0.5,0.75
1,2,wall_collision,-0.5,0.88
1,3,attack,-0.05,0.98
1,1,wall_collision,-0.5,1.02
1,2,wall_collision,-0.5,1.02
1,0,wall_collision,-0.5,1.15
1,1,wall_collision,-0.5,1.15
1,2,wall_collision,-0.5,1.15
1,2,attack,-0.05,1.37
1,1,wall_collision,-0.5,1.42
1,1,attack,-0.05,1.50
1,1,wall_collision,-0.5,1.55
1,1,wall_collision,-0.5,1.68
1,1,wall_collision,-0.5,1.82
1,0,collect_ball_A,10.0,1.90
1,1,wall_collision,-0.5,1.95
1,1,wall_collision,-0.5,2.08
1,1,wall_collision,-0.5,2.22
1,1,wall_collision,-0.5,2.35
1,1,wall_collision,-0.5,2.48
1,1,wall_collision,-0.5,2.62
1,2,wall_collision,-0.5,2.75
1,0,attack,-0.05,2.82
1,1,wall_collision,-0.5,3.02
1,3,wall_collision,-0.5,3.02
1,1,wall_collision,-0.5,3.15
1,1,attack,-0.05,3.22
1,1,wall_collision,-0.5,3.28
1,3,wall_collision,-0.5,3.28
1,1,wall_collision,-0.5,3.42
1,2,wall_collision,-0.5,3.42
1,3,wall_collision,-0.5,3.42
1,1,wall_collision,-0.5,3.55
1,2,wall_collision,-0.5,3.55
1,3,wall_collision,-0.5,3.55
1,1,wall_collision,-0.5,3.68
1,1,wall_collision,-0.5,3.82
1,1,wall_collision,-0.5,3.95
1,0,attack,-0.05,4.43
1,2,attack,-0.05,4.43
1,3,collect_ball_A,10.0,4.50
1,1,attack,-0.05,4.82
1,0,wall_collision,-0.5,5.15
1,3,attack,-0.05,5.38
1,3,wall_collision,-0.5,5.42
1,3,wall_collision,-0.5,5.55
1,1,collect_ball_A,10.0,5.67
1,3,wall_collision,-0.5,5.68
1,3,wall_collision,-0.5,5.82
1,3,wall_collision,-0.5,5.95
1,2,attack,-0.05,5.97
1,1,attack,-0.05,6.30
1,0,collect_ball_A,10.0,6.55
1,2,collect_ball_A,10.0,6.80
1,1,collect_ball_A,10.0,6.98
1,3,wall_collision,-0.5,7.02
1,3,wall_collision,-0.5,7.15
1,2,collect_ball_A,10.0,7.37
1,0,wall_collision,-0.5,7.42
1,0,wall_collision,-0.5,7.55
1,2,attack,-0.05,7.63
1,3,attack,-0.05,7.63
1,3,wall_collision,-0.5,7.68
1,0,attack,-0.05,7.80
1,3,wall_collision,-0.5,7.82
1,3,wall_collision,-0.5,7.95
1,3,wall_collision,-0.5,8.08
1,1,attack,-0.05,8.15
1,3,wall_collision,-0.5,8.22
1,3,wall_collision,-0.5,8.35
1,3,collect_ball_A,10.0,9.25
1,2,attack,-0.05,9.35
1,0,attack,-0.05,9.92
1,1,attack,-0.05,10.58
1,2,attack,-0.05,11.10
1,3,attack,-0.05,12.28
1,1,attack,-0.05,12.42
1,0,attack,-0.05,12.55
1,2,collect_ball_A,10.0,12.65
1,2,attack,-0.05,13.52
1,3,attack,-0.05,13.75
1,0,attack,-0.05,14.15
1,1,attack,-0.05,14.97
1,3,wall_collision,-0.5,15.15
1,2,attack,-0.05,15.77
1,3,attack,-0.05,15.77
1,2,wall_collision,-0.5,16.62
1,3,collect_ball_A,10.0,16.95
1,2,attack,-0.05,17.37
1,3,attack,-0.05,17.37
1,0,attack,-0.05,17.50
1,1,attack,-0.05,17.50
1,1,collect_ball_A,10.0,18.72
1,0,attack,-0.05,18.97
1,1,attack,-0.05,19.23
1,2,attack,-0.05,20.20
1,3,attack,-0.05,20.20
1,0,attack,-0.05,20.68
1,1,attack,-0.05,21.63
1,2,attack,-0.05,22.02
1,3,attack,-0.05,22.02
