episode_id,player_id,source,value,game_time
1,3,attack,-0.05,0.28
1,0,wall_collision,-0.5,0.48
1,1,wall_collision,-0.5,0.48
1,1,wall_collision,-0.5,0.62
1,2,wall_collision,-0.5,0.88
1,0,attack,-0.05,0.95
1,1,wall_collision,-0.5,1.02
1,3,wall_collision,-0.5,1.02
1,1,wall_collision,-0.5,1.15
1,1,wall_collision,-0.5,1.28
1,2,wall_collision,-0.5,1.28
1,3,wall_collision,-0.5,1.42
1,3,wall_collision,-0.5,1.55
1,0,wall_collision,-0.5,1.68
1,0,wall_collision,-0.5,1.82
1,2,attack,-0.05,1.90
1,3,wall_collision,-0.5,2.08
1,3,attack,-0.05,2.42
1,0,wall_collision,-0.5,2.48
1,1,collect_ball_A,10.0,2.68
1,0,wall_collision,-0.5,2.75
1,3,wall_collision,-0.5,3.42
1,2,wall_collision,-0.5,3.68
1,2,attack,-0.05,3.77
1,2,wall_collision,-0.5,3.82
1,2,wall_collision,-0.5,3.95
1,2,wall_collision,-0.5,4.08
1,2,wall_collision,-0.5,4.22
1,1,attack,-0.05,4.28
1,2,wall_collision,-0.5,4.35
1,2,wall_collision,-0.5,4.48
1,2,wall_collision,-0.5,4.62
1,3,wall_collision,-0.5,4.62
1,2,wall_collision,-0.5,4.75
1,2,wall_collision,-0.5,4.88
1,0,attack,-0.05,4.97
1,2,wall_collision,-0.5,5.02
1,3,attack,-0.05,5.10
1,2,wall_collision,-0.5,5.42
1,0,wall_collision,-0.5,5.68
1,2,wall_collision,-0.5,5.68
1,2,collect_ball_A,10.0,5.80
1,3,wall_collision,-0.5,5.82
1,3,wall_collision,-0.5,5.95
1,1,attack,-0.05,6.30
1,2,collect_ball_A,10.0,6.33
1,2,attack,-0.05,6.43
1,3,collect_ball_A,10.0,6.78
1,0,attack,-0.05,6.83
1,0,wall_collision,-0.5,6.88
1,0,wall_collision,-0.5,7.02
1,3,attack,-0.05,7.10
1,0,wall_collision,-0.5,7.15
1,0,wall_collision,-0.5,7.28
1,0,wall_collision,-0.5,7.42
1,0,wall_collision,-0.5,7.55
1,0,wall_collision,-0.5,7.68
1,1,attack,-0.05,7.78
1,0,wall_collision,-0.5,7.82
1,2,attack,-0.05,8.00
1,0,attack,-0.05,8.42
1,3,wall_collision,-0.5,8.48
1,0,wall_collision,-0.5,9.28
1,0,wall_collision,-0.5,9.42
1,3,attack,-0.05,9.75
1,2,attack,-0.05,9.88
1,1,attack,-0.05,10.15
1,0,attack,-0.05,10.28
1,3,wall_collision,-0.5,10.75
1,3,attack,-0.05,11.62
1,0,attack,-0.05,11.88
1,1,attack,-0.05,12.32
1,2,attack,-0.05,12.72
1,3,attack,-0.05,13.63
1,2,attack,-0.05,14.28
1,1,attack,-0.05,14.42
1,3,wall_collision,-0.5,15.02
1,0,attack,-0.05,15.10
1,3,attack,-0.05,15.50
1,2,attack,-0.05,15.88
1,1,collect_ball_A,10.0,16.00
1,1,attack,-0.05,16.43
1,1,attack,-0.05,18.02
1,3,attack,-0.05,18.18
1,2,attack,-0.05,18.28
1,0,collect_ball_A,10.0,18.83
1,3,wall_collision,-0.5,19.02
1,3,wall_collision,-0.5,19.15
1,3,wall_collision,-0.5,19.28
1,3,wall_collision,-0.5,19.42
1,0,attack,-0.05,19.88
1,2,attack,-0.05,19.88
1,3,attack,-0.05,20.17
1,1,attack,-0.05,20.82
1,0,attack,-0.05,21.52
1,2,attack,-0.05,21.52
1,1,attack,-0.05,22.43
1,2,attack,-0.05,22.95
1,0,wall_collision,-0.5,23.42
1,3,attack,-0.05,23.48
1,0,wall_collision,-0.5,23.82
1,2,attack,-0.05,24.83
1,1,attack,-0.05,24.97
1,3,attack,-0.05,24.97
1,0,attack,-0.05,26.02
1,2,attack,-0.05,26.58
1,3,attack,-0.05,26.98
1,0,attack,-0.05,27.47
1,1,attack,-0.05,28.02
1,0,attack,-0.05,29.25
1,1,attack,-0.05,29.50
1,2,attack,-0.05,29.50
1,3,attack,-0.05,30.20
1,0,wall_collision,-0.5,30.75
1,0,attack,-0.05,30.82
1,0,wall_collision,-0.5,30.88
1,0,wall_collision,-0.5,31.02
1,0,wall_collision,-0.5,31.15
1,0,wall_collision,-0.5,31.28
1,2,attack,-0.05,31.90
1,3,attack,-0.05,32.17
1,2,collect_ball_A,10.0,32.65
1,0,attack,-0.05,33.08
2,1,wall_collision,-0.5,33.78
2,3,wall_collision,-0.5,33.78
2,0,attack,-0.05,33.90
2,1,attack,-0.05,34.03
2,3,wall_collision,-0.5,34.18
2,2,wall_collision,-0.5,34.45
2,0,wall_collision,-0.5,35.12
2,2,attack,-0.05,35.22
2,0,collect_ball_A,10.0,35.97
2,1,attack,-0.05,36.05
2,0,attack,-0.05,36.18
2,3,attack,-0.05,36.70
2,2,attack,-0.05,36.82
2,1,collect_ball_A,10.0,37.15
2,1,attack,-0.05,38.07
2,2,attack,-0.05,38.45
2,3,attack,-0.05,38.58
2,0,attack,-0.05,39.10
2,3,collect_ball_A,10.0,39.53
2,2,wall_collision,-0.5,39.65
2,0,collect_ball_A,10.0,39.67
2,0,attack,-0.05,40.57
2,2,attack,-0.05,40.57
2,1,attack,-0.05,40.68
2,3,attack,-0.05,42.15
2,2,attack,-0.05,42.28
2,1,attack,-0.05,42.87
2,3,collect_ball_A,10.0,43.60
2,0,attack,-0.05,44.18
2,2,attack,-0.05,44.28
2,1,attack,-0.05,45.12
2,2,attack,-0.05,45.78
2,0,attack,-0.05,46.17
2,3,attack,-0.05,46.17
2,2,attack,-0.05,47.63
2,3,attack,-0.05,48.02
2,1,attack,-0.05,48.55
2,3,wall_collision,-0.5,48.85
2,3,wall_collision,-0.5,48.98
2,3,wall_collision,-0.5,49.12
2,2,collect_ball_A,10.0,49.32
2,0,attack,-0.05,49.38
2,2,attack,-0.05,50.07
2,3,wall_collision,-0.5,50.18
2,3,attack,-0.05,50.55
2,1,attack,-0.05,51.35
2,2,collect_ball_A,10.0,51.92
2,3,wall_collision,-0.5,52.05
2,3,collect_ball_A,10.0,52.60
2,3,wall_collision,-0.5,52.98
2,3,wall_collision,-0.5,53.12
2,0,collect_ball_B,15.0,53.17
2,2,attack,-0.05,54.05
2,0,attack,-0.05,54.30
2,1,wall_collision,-0.5,54.85
2,1,wall_collision,-0.5,54.98
2,1,wall_collision,-0.5,55.65
2,3,attack,-0.05,55.65
2,1,attack,-0.05,55.77
2,1,wall_collision,-0.5,55.78
2,1,wall_collision,-0.5,55.92
2,0,attack,-0.05,56.02
2,1,wall_collision,-0.5,56.05
2,1,wall_collision,-0.5,56.18
2,1,wall_collision,-0.5,56.32
