episode_id,player_id,source,value,game_time
1,1,attack,-0.05,0.28
1,2,attack,-0.05,0.42
1,3,attack,-0.05,1.48
1,0,attack,-0.05,1.75
1,2,attack,-0.05,2.02
1,1,attack,-0.05,2.95
1,3,attack,-0.05,3.48
1,0,collect_ball_A,10.0,3.53
1,0,collect_ball_A,10.0,4.32
1,1,attack,-0.05,4.55
1,0,attack,-0.05,4.68
1,3,attack,-0.05,5.12
1,2,attack,-0.05,5.77
1,1,attack,-0.05,6.17
1,0,attack,-0.05,6.30
1,3,attack,-0.05,7.35
1,2,attack,-0.05,7.62
1,1,attack,-0.05,8.15
1,0,collect_ball_A,10.0,8.47
1,0,attack,-0.05,9.23
1,2,attack,-0.05,9.37
1,1,attack,-0.05,9.73
1,3,attack,-0.05,9.88
1,0,attack,-0.05,10.68
1,2,attack,-0.05,11.00
1,1,collect_ball_A,10.0,11.20
1,1,attack,-0.05,11.35
1,3,attack,-0.05,11.62
1,2,attack,-0.05,12.70
1,0,attack,-0.05,12.83
1,1,attack,-0.05,14.03
1,3,attack,-0.05,14.45
1,0,attack,-0.05,14.57
1,2,attack,-0.05,15.10
1,1,attack,-0.05,16.05
1,2,attack,-0.05,16.57
1,3,attack,-0.05,16.70
1,0,attack,-0.05,16.83
1,1,attack,-0.05,18.28
1,3,attack,-0.05,18.57
1,2,collect_ball_A,10.0,18.62
1,0,collect_ball_B,15.0,18.62
1,2,attack,-0.05,18.68
1,0,attack,-0.05,18.95
1,3,collect_ball_A,10.0,19.63
1,1,attack,-0.05,20.05
1,3,attack,-0.05,20.15
1,0,attack,-0.05,20.43
1,2,attack,-0.05,20.57
1,1,attack,-0.05,21.75
1,2,attack,-0.05,22.15
1,0,attack,-0.05,23.08
1,3,attack,-0.05,23.08
1,2,collect_ball_A,10.0,23.25
1,1,attack,-0.05,23.48
1,2,collect_ball_A,10.0,23.68
1,2,attack,-0.05,24.15
1,0,attack,-0.05,24.68
1,3,attack,-0.05,24.95
1,1,attack,-0.05,25.08
1,2,attack,-0.05,25.75
1,3,attack,-0.05,26.55
1,1,attack,-0.05,26.95
1,2,attack,-0.05,27.35
1,0,attack,-0.05,27.48
1,3,collect_ball_A,10.0,27.75
1,3,attack,-0.05,28.02
1,1,attack,-0.05,28.70
1,1,collect_ball_A,10.0,29.45
1,2,attack,-0.05,29.50
1,0,bear_damage,-10.0,29.63
1,0,attack,-0.05,30.03
1,1,attack,-0.05,30.30
1,3,attack,-0.05,30.30
1,2,attack,-0.05,31.07
1,0,collect_ball_B,15.0,31.60
1,0,attack,-0.05,31.75
1,1,collect_ball_A,10.0,31.98
1,1,attack,-0.05,32.85
1,2,attack,-0.05,33.12
1,3,attack,-0.05,33.12
2,1,attack,-0.05,33.68
