episode_id,player_0,player_1,player_2,player_3,total_avg
1,27.0,25.0,24.0,15.0,91.0
2,54.0,30.0,30.0,45.0,159.0
3,37.5,30.0,31.5,54.0,153.0
4,37.5,31.5,55.5,56.5,181.0
5,51.0,40.5,57.0,45.0,193.5
6,49.5,55.5,58.5,54.0,217.5
7,61.5,57.0,51.0,54.0,223.5
8,66.0,64.0,52.5,52.5,235.0
9,64.5,69.0,57.0,54.0,244.5
10,61.5,52.5,66.0,67.5,247.5
11,75.0,73.5,58.5,70.5,277.5
12,72.0,75.0,71.5,72.0,290.5
13,60.0,69.0,57.0,75.0,261.0
14,52.5,78.0,75.0,67.5,273.0
15,63.0,64.5,63.0,66.0,256.5
16,72.0,73.5,58.5,51.0,255.0
17,68.0,62.5,69.0,76.5,276.0
18,58.5,49.5,76.5,61.5,246.0
19,55.5,58.5,79.5,64.5,258.0
20,60.0,55.5,58.5,58.5,232.5
21,63.0,46.5,85.5,69.0,264.0
22,70.5,72.0,79.5,66.0,288.0
23,73.5,76.5,78.0,46.5,274.5
24,78.0,69.0,66.0,79.5,292.5
25,78.0,64.5,88.5,66.0,297.0
26,76.5,72.0,85.5,69.0,303.0
27,75.0,64.5,78.0,69.0,286.5
28,100.5,88.5,72.0,52.5,313.5
29,79.5,82.0,81.5,82.5,325.5
30,94.5,72.0,76.5,79.5,322.5
31,87.0,70.5,76.5,66.0,300.0
32,88.5,73.5,67.5,75.0,304.5
33,81.0,84.0,66.0,84.0,315.0
34,70.5,84.0,91.5,67.5,313.5
35,90.0,84.0,75.0,84.0,333.0
36,70.0,99.0,69.0,85.5,323.5
37,91.5,82.5,64.5,78.0,316.5
38,68.5,72.0,70.5,76.5,287.5
39,69.0,78.0,78.0,75.0,300.0
40,81.0,52.5,85.5,100.5,319.5
41,72.5,60.0,78.0,78.0,288.5
42,80.5,74.0,87.0,78.0,319.5
43,75.0,81.0,91.5,76.5,324.0
44,73.5,70.5,73.5,78.0,295.5
45,76.5,87.0,70.5,84.0,318.0
46,74.5,76.5,69.0,78.0,298.0
47,88.5,70.5,81.0,85.5,325.5
48,87.0,70.5,94.5,84.0,336.0
49,100.5,75.0,87.0,93.0,355.5
50,109.5,76.5,75.0,88.5,349.5
51,88.5,78.0,94.5,81.0,342.0
52,102.0,88.5,72.0,81.0,343.5
53,103.5,72.0,81.0,70.5,327.0
54,79.5,97.5,102.0,67.5,346.5
55,85.5,103.5,81.0,78.0,348.0
56,91.5,88.5,87.0,78.0,345.0
57,90.0,69.0,108.0,84.0,351.0
58,94.5,79.5,81.0,78.0,333.0
59,96.0,90.0,90.0,72.0,348.0
60,100.5,82.5,79.5,79.5,342.0
61,99.0,85.5,87.0,82.5,354.0
62,86.5,98.0,97.5,87.0,369.0
63,115.5,88.5,103.5,78.0,385.5
64,78.0,99.0,100.5,87.0,364.5
65,111.0,96.0,84.0,82.5,373.5
66,105.0,94.5,82.5,87.0,369.0
67,99.0,108.0,93.0,82.5,382.5
68,114.0,78.0,96.0,78.0,366.0
69,118.5,85.5,103.5,93.0,400.5
70,100.5,94.5,70.5,108.0,373.5
71,97.5,118.5,94.5,79.5,390.0
72,93.0,108.0,87.0,96.0,384.0
73,109.5,84.0,91.5,100.5,385.5
74,115.5,102.0,90.0,91.5,399.0
75,87.0,91.5,103.5,100.5,382.5
76,118.5,85.5,105.0,97.5,406.5
77,88.5,102.0,114.0,85.5,390.0
78,109.5,90.0,103.5,97.5,400.5
79,96.0,106.5,85.5,99.0,387.0
80,55.5,69.0,66.0,64.5,255.0
