episode_id,player_0_ball_avg,player_1_ball_avg,player_2_ball_avg,player_3_ball_avg,total_ball_avg_reward
1,22.5,17.5,20.0,25.0,85.0
2,23.75,28.75,13.75,17.5,83.75
3,16.25,48.75,23.75,22.5,111.25
4,31.25,21.25,42.5,28.75,123.75
5,28.75,20.0,21.25,53.75,123.75
6,5.0,22.5,36.25,33.75,97.5
7,36.25,21.25,30.0,35.0,122.5
8,32.5,16.25,23.75,15.0,87.5
9,28.75,16.25,32.5,28.75,106.25
10,22.5,22.5,17.5,30.0,92.5
11,18.75,20.0,30.0,31.25,100.0
12,22.5,26.25,13.75,20.0,82.5
13,11.25,22.5,30.0,17.5,81.25
14,18.75,22.5,22.5,18.75,82.5
15,26.25,23.75,23.75,11.25,85.0
16,46.25,7.5,18.75,13.75,86.25
17,35.0,23.75,22.5,25.0,106.25
18,38.75,20.0,43.75,31.25,133.75
19,35.0,37.5,23.75,16.25,112.5
20,28.75,26.25,18.75,25.0,98.75
21,21.25,40.0,21.25,8.75,91.25
22,31.25,26.25,45.0,23.75,126.25
23,28.75,27.5,35.0,26.25,117.5
24,41.25,17.5,22.5,17.5,98.75
25,28.75,40.0,31.25,22.5,122.5
26,23.75,25.0,23.75,17.5,90.0
27,45.0,26.25,26.25,12.5,110.0
28,57.5,37.5,36.25,17.5,148.75
29,38.75,32.5,16.25,8.75,96.25
30,40.0,33.75,26.25,30.0,130.0
31,26.25,28.75,18.75,25.0,98.75
32,37.5,27.5,40.0,23.75,128.75
33,51.25,31.25,27.5,17.5,127.5
34,27.5,31.25,26.25,20.0,105.0
35,41.25,48.75,27.5,12.5,130.0
36,40.0,31.25,28.75,21.25,121.25
37,28.75,31.25,31.25,32.5,123.75
38,27.5,40.0,28.75,21.25,117.5
39,56.25,27.5,23.75,31.25,138.75
40,22.5,12.5,30.0,42.5,107.5
41,28.75,13.75,18.75,17.5,78.75
42,15.0,25.0,20.0,30.0,90.0
43,26.25,23.75,30.0,20.0,100.0
44,23.75,10.0,33.75,27.5,95.0
45,26.25,30.0,20.0,45.0,121.25
46,20.0,22.5,16.25,22.5,81.25
47,43.75,13.75,25.0,30.0,112.5
48,33.75,30.0,17.5,27.5,108.75
49,35.0,8.75,31.25,25.0,100.0
50,36.25,17.5,43.75,21.25,118.75
51,33.75,35.0,21.25,38.75,128.75
52,41.25,26.25,28.75,15.0,111.25
53,42.5,13.75,30.0,25.0,111.25
54,36.25,21.25,28.75,30.0,116.25
55,21.25,18.75,26.25,33.75,100.0
56,27.5,11.25,36.25,41.25,116.25
57,40.0,11.25,33.75,32.5,117.5
58,56.25,16.25,32.5,25.0,130.0
59,26.25,22.5,42.5,36.25,127.5
60,28.75,16.25,36.25,26.25,107.5
61,33.75,33.75,21.25,35.0,123.75
62,43.75,22.5,46.25,46.25,158.75
63,33.75,28.75,12.5,26.25,101.25
64,36.25,27.5,23.75,18.75,106.25
65,51.25,27.5,20.0,25.0,123.75
66,26.25,30.0,25.0,33.75,115.0
67,26.25,8.75,36.25,22.5,93.75
68,20.0,13.75,21.25,33.75,88.75
69,28.75,18.75,17.5,26.25,91.25
70,22.5,16.25,27.5,30.0,96.25
71,27.5,12.5,33.75,21.25,95.0
72,20.0,28.75,21.25,28.75,98.75
73,36.25,26.25,8.75,33.75,105.0
74,36.25,23.75,18.75,32.5,111.25
75,56.25,23.75,28.75,40.0,148.75
76,46.25,25.0,10.0,40.0,121.25
77,53.75,27.5,18.75,38.75,138.75
78,36.25,22.5,31.25,28.75,118.75
79,48.75,18.75,37.5,48.75,153.75
80,40.0,16.25,21.25,21.25,98.75
81,32.5,22.5,20.0,33.75,108.75
82,40.0,7.5,10.0,30.0,87.5
83,28.75,28.75,16.25,16.25,90.0
84,28.75,25.0,16.25,8.75,78.75
85,41.25,32.5,3.75,15.0,92.5
86,17.5,25.0,8.75,17.5,68.75
87,32.5,33.75,18.75,7.5,92.5
88,40.0,23.75,30.0,27.5,121.25
89,40.0,37.5,26.25,26.25,130.0
90,23.75,25.0,28.75,31.25,108.75
91,42.5,22.5,37.5,23.75,126.25
92,21.25,27.5,26.25,42.5,117.5
93,50.0,28.75,31.25,42.5,152.5
94,41.25,16.25,22.5,27.5,107.5
95,38.75,20.0,28.75,37.5,125.0
96,26.25,20.0,27.5,32.5,106.25
97,27.5,35.0,26.25,51.25,140.0
98,32.5,30.0,41.25,41.25,145.0
99,40.0,28.75,31.25,26.25,126.25
100,26.25,17.5,25.0,31.25,100.0
101,52.5,10.0,23.75,37.5,123.75
102,28.75,17.5,16.25,31.25,93.75
103,38.75,23.75,45.0,21.25,128.75
104,23.75,17.5,40.0,21.25,102.5
105,26.25,25.0,17.5,40.0,108.75
106,26.25,17.5,37.5,30.0,111.25
107,57.5,22.5,15.0,35.0,130.0
108,32.5,25.0,40.0,28.75,126.25
109,58.75,12.5,7.5,50.0,128.75
110,33.75,18.75,26.25,30.0,108.75
111,45.0,23.75,17.5,21.25,107.5
112,22.5,23.75,28.75,32.5,107.5
113,33.75,17.5,26.25,33.75,111.25
114,20.0,17.5,21.25,25.0,83.75
115,38.75,28.75,18.75,32.5,118.75
116,31.25,17.5,26.25,30.0,105.0
117,30.0,16.25,27.5,13.75,87.5
118,31.25,26.25,25.0,40.0,122.5
119,42.5,20.0,18.75,33.75,115.0
120,31.25,27.5,30.0,22.5,111.25
121,16.25,17.5,43.75,31.25,108.75
122,26.25,27.5,28.75,20.0,102.5
123,36.25,37.5,50.0,20.0,143.75
124,70.0,25.0,33.75,31.25,160.0
125,28.75,33.75,32.5,22.5,117.5
126,27.5,38.75,18.75,36.25,121.25
127,26.25,10.0,37.5,21.25,95.0
128,32.5,21.25,22.5,15.0,91.25
129,21.25,36.25,27.5,41.25,126.25
130,41.25,31.25,35.0,36.25,143.75
131,47.5,12.5,26.25,17.5,103.75
132,46.25,17.5,33.75,41.25,138.75
133,42.5,16.25,45.0,18.75,122.5
134,27.5,31.25,27.5,46.25,132.5
135,32.5,17.5,27.5,42.5,120.0
136,33.75,40.0,30.0,30.0,133.75
137,33.75,32.5,28.75,51.25,146.25
138,17.5,15.0,26.25,38.75,97.5
139,20.0,35.0,26.25,28.75,110.0
140,27.5,25.0,23.75,38.75,115.0
141,28.75,22.5,42.5,35.0,128.75
142,31.25,28.75,18.75,35.0,113.75
143,20.0,23.75,21.25,27.5,92.5
144,40.0,18.75,30.0,57.5,146.25
145,37.5,17.5,26.25,33.75,115.0
146,26.25,33.75,43.75,32.5,136.25
147,46.25,16.25,33.75,31.25,127.5
148,38.75,38.75,45.0,31.25,153.75
149,36.25,21.25,30.0,27.5,115.0
150,36.25,52.5,18.75,32.5,140.0
151,40.0,33.75,15.0,23.75,112.5
152,33.75,46.25,15.0,23.75,118.75
153,12.5,11.25,17.5,10.0,51.25
154,36.25,32.5,5.0,16.25,90.0
155,30.0,15.0,15.0,15.0,75.0
156,26.25,36.25,25.0,22.5,110.0
157,41.25,40.0,30.0,25.0,136.25
158,57.5,27.5,22.5,27.5,135.0
159,17.5,48.75,28.75,36.25,131.25
160,26.25,35.0,31.25,28.75,121.25
161,26.25,41.25,21.25,7.5,96.25
162,28.75,26.25,20.0,22.5,97.5
163,30.0,23.75,35.0,27.5,116.25
164,30.0,31.25,33.75,43.75,138.75
165,52.5,37.5,28.75,46.25,165.0
166,23.75,25.0,36.25,38.75,123.75
167,17.5,20.0,32.5,37.5,107.5
168,42.5,32.5,28.75,27.5,131.25
169,40.0,25.0,32.5,33.75,131.25
170,27.5,18.75,47.5,37.5,131.25
171,52.5,31.25,21.25,28.75,133.75
172,18.75,20.0,40.0,33.75,112.5
173,15.0,27.5,38.75,33.75,115.0
174,23.75,26.25,40.0,38.75,128.75
175,40.0,27.5,28.75,26.25,122.5
176,20.0,31.25,36.25,38.75,126.25
177,13.75,42.5,31.25,28.75,116.25
178,26.25,28.75,50.0,27.5,132.5
179,32.5,27.5,27.5,43.75,131.25
180,42.5,31.25,26.25,40.0,140.0
181,33.75,35.0,31.25,42.5,142.5
182,40.0,22.5,31.25,23.75,117.5
183,33.75,40.0,35.0,30.0,138.75
184,32.5,37.5,26.25,33.75,130.0
185,27.5,30.0,27.5,52.5,137.5
186,26.25,20.0,35.0,47.5,128.75
187,30.0,26.25,41.25,35.0,132.5
188,26.25,31.25,38.75,17.5,113.75
189,25.0,45.0,20.0,43.75,133.75
190,30.0,36.25,25.0,16.25,107.5
191,30.0,32.5,27.5,28.75,118.75
192,35.0,40.0,27.5,32.5,135.0
193,37.5,42.5,31.25,23.75,135.0
194,18.75,22.5,26.25,32.5,100.0
195,20.0,30.0,31.25,21.25,102.5
196,28.75,26.25,45.0,27.5,127.5
197,37.5,25.0,31.25,16.25,110.0
198,30.0,35.0,31.25,40.0,136.25
199,18.75,42.5,40.0,17.5,118.75
200,13.75,27.5,31.25,35.0,107.5
201,37.5,43.75,32.5,21.25,135.0
202,20.0,26.25,46.25,33.75,126.25
203,35.0,26.25,42.5,35.0,138.75
204,16.25,36.25,17.5,38.75,108.75
205,30.0,25.0,33.75,35.0,123.75
206,23.75,28.75,28.75,35.0,116.25
207,46.25,25.0,27.5,51.25,150.0
208,27.5,35.0,21.25,27.5,111.25
209,30.0,22.5,25.0,32.5,110.0
210,20.0,46.25,37.5,25.0,128.75
211,28.75,20.0,23.75,35.0,107.5
212,18.75,11.25,36.25,26.25,92.5
213,45.0,22.5,31.25,25.0,123.75
214,18.75,18.75,28.75,25.0,91.25
215,21.25,18.75,35.0,31.25,106.25
216,23.75,22.5,28.75,33.75,108.75
217,22.5,25.0,28.75,2.5,78.75
218,23.75,20.0,47.5,38.75,130.0
219,32.5,8.75,28.75,32.5,102.5
220,20.0,15.0,36.25,18.75,90.0
221,37.5,12.5,28.75,22.5,101.25
222,20.0,17.5,28.75,16.25,82.5
223,11.25,21.25,30.0,22.5,85.0
224,27.5,23.75,36.25,38.75,126.25
225,20.0,36.25,36.25,26.25,118.75
226,21.25,43.75,41.25,21.25,127.5
227,17.5,20.0,51.25,28.75,117.5
228,17.5,31.25,36.25,23.75,108.75
229,16.25,8.75,25.0,47.5,97.5
230,21.25,23.75,35.0,23.75,103.75
231,27.5,27.5,25.0,23.75,103.75
232,8.75,21.25,30.0,18.75,78.75
233,20.0,30.0,51.25,30.0,131.25
234,33.75,30.0,41.25,27.5,132.5
235,28.75,38.75,18.75,33.75,120.0
236,16.25,32.5,26.25,22.5,97.5
237,22.5,25.0,30.0,23.75,101.25
238,15.0,40.0,40.0,12.5,107.5
239,5.0,41.25,28.75,17.5,92.5
240,33.75,18.75,46.25,11.25,110.0
241,35.0,36.25,31.25,26.25,128.75
242,51.25,41.25,20.0,35.0,147.5
243,16.25,31.25,50.0,21.25,118.75
244,50.0,28.75,35.0,15.0,128.75
245,53.75,25.0,38.75,20.0,137.5
246,25.0,36.25,22.5,35.0,118.75
247,35.0,40.0,21.25,43.75,140.0
248,30.0,27.5,15.0,50.0,122.5
