episode_id,player_id,source,value,game_time
1,0,wall_collision,-0.05,0.33
1,1,wall_collision,-0.05,0.33
1,3,attack,-0.05,0.33
1,0,wall_collision,-0.05,0.47
1,1,wall_collision,-0.05,0.47
1,0,wall_collision,-0.05,0.60
1,1,wall_collision,-0.05,0.60
1,0,attack,-0.05,0.60
1,1,attack,-0.05,0.60
1,0,wall_collision,-0.05,0.73
1,1,wall_collision,-0.05,0.73
1,0,wall_collision,-0.05,0.87
1,1,wall_collision,-0.05,0.87
1,0,wall_collision,-0.05,1.00
1,1,wall_collision,-0.05,1.00
1,3,wall_collision,-0.05,1.00
1,0,wall_collision,-0.05,1.13
1,1,wall_collision,-0.05,1.13
1,0,wall_collision,-0.05,1.27
1,3,wall_collision,-0.05,1.53
1,2,attack,-0.05,1.62
1,2,wall_collision,-0.05,1.67
1,2,wall_collision,-0.05,1.80
1,2,wall_collision,-0.05,1.93
1,0,wall_collision,-0.05,2.07
1,2,wall_collision,-0.05,2.07
1,3,attack,-0.05,2.15
1,2,wall_collision,-0.05,2.20
1,0,wall_collision,-0.05,2.33
1,2,wall_collision,-0.05,2.33
1,0,wall_collision,-0.05,2.47
1,2,wall_collision,-0.05,2.47
1,0,attack,-0.05,2.55
1,0,wall_collision,-0.05,2.60
1,0,wall_collision,-0.05,2.73
1,1,attack,-0.05,2.83
1,0,wall_collision,-0.05,2.87
1,0,wall_collision,-0.05,3.00
1,0,wall_collision,-0.05,3.13
1,2,wall_collision,-0.05,3.13
1,0,wall_collision,-0.05,3.27
1,0,wall_collision,-0.05,3.40
1,0,wall_collision,-0.05,3.53
1,2,wall_collision,-0.05,3.53
1,3,collect_ball_A,10.0,3.62
1,0,wall_collision,-0.05,3.67
1,2,wall_collision,-0.05,3.67
1,0,wall_collision,-0.05,3.80
1,2,attack,-0.05,4.02
1,0,wall_collision,-0.05,4.20
1,1,wall_collision,-0.05,4.20
1,0,wall_collision,-0.05,4.33
1,1,wall_collision,-0.05,4.33
1,0,attack,-0.05,4.42
1,1,attack,-0.05,4.42
1,0,wall_collision,-0.05,4.47
1,1,wall_collision,-0.05,4.47
1,0,wall_collision,-0.05,4.60
1,1,wall_collision,-0.05,4.60
1,3,attack,-0.05,4.68
1,0,wall_collision,-0.05,4.73
1,1,wall_collision,-0.05,4.73
1,0,wall_collision,-0.05,4.87
1,1,wall_collision,-0.05,4.87
1,1,wall_collision,-0.05,5.00
1,0,wall_collision,-0.05,5.27
1,2,wall_collision,-0.05,5.27
1,0,wall_collision,-0.05,5.40
1,3,collect_ball_A,10.0,5.43
1,2,collect_ball_A,10.0,5.90
1,1,collect_ball_A,10.0,6.15
1,1,collect_ball_A,10.0,6.15
1,0,attack,-0.05,6.20
1,1,attack,-0.05,6.33
1,3,attack,-0.05,6.72
1,2,attack,-0.05,6.85
1,0,wall_collision,-0.05,6.87
1,0,wall_collision,-0.05,7.00
1,0,wall_collision,-0.05,7.13
1,0,wall_collision,-0.05,7.27
1,0,wall_collision,-0.05,7.40
1,1,collect_ball_A,10.0,7.43
1,0,wall_collision,-0.05,7.53
1,0,wall_collision,-0.05,7.80
1,1,attack,-0.05,7.93
1,3,wall_collision,-0.05,8.07
1,3,wall_collision,-0.05,8.20
1,3,wall_collision,-0.05,8.33
1,0,attack,-0.05,8.43
1,3,wall_collision,-0.05,8.47
1,3,wall_collision,-0.05,8.60
1,3,attack,-0.05,8.68
1,3,wall_collision,-0.05,8.73
1,3,wall_collision,-0.05,8.87
1,3,wall_collision,-0.05,9.00
1,3,wall_collision,-0.05,9.13
1,2,collect_ball_A,10.0,9.15
1,3,wall_collision,-0.05,9.27
1,3,wall_collision,-0.05,9.40
1,3,wall_collision,-0.05,9.80
1,3,wall_collision,-0.05,9.93
1,2,attack,-0.05,10.03
1,1,attack,-0.05,10.15
1,0,attack,-0.05,10.28
1,3,wall_collision,-0.05,10.60
1,3,attack,-0.05,10.82
1,3,wall_collision,-0.05,11.53
1,0,attack,-0.05,12.07
1,1,attack,-0.05,12.15
1,3,wall_collision,-0.05,12.33
1,3,wall_collision,-0.05,12.47
1,3,wall_collision,-0.05,12.60
1,3,wall_collision,-0.05,12.87
1,3,wall_collision,-0.05,13.00
1,2,attack,-0.05,13.10
1,3,wall_collision,-0.05,13.13
1,3,attack,-0.05,13.23
1,3,wall_collision,-0.05,13.27
1,3,wall_collision,-0.05,13.40
1,3,wall_collision,-0.05,13.53
1,3,wall_collision,-0.05,13.67
1,0,attack,-0.05,13.75
1,1,wall_collision,-0.05,13.80
1,3,wall_collision,-0.05,13.80
1,1,wall_collision,-0.05,13.93
1,1,wall_collision,-0.05,14.07
1,1,wall_collision,-0.05,14.20
1,1,wall_collision,-0.05,14.33
1,2,attack,-0.05,14.67
1,3,attack,-0.05,14.82
1,1,wall_collision,-0.05,15.00
1,1,wall_collision,-0.05,15.13
1,0,collect_ball_A,10.0,15.20
1,1,wall_collision,-0.05,15.27
1,0,attack,-0.05,15.40
1,2,attack,-0.05,16.20
1,1,wall_collision,-0.05,16.33
1,1,attack,-0.05,16.45
1,3,attack,-0.05,16.45
1,1,wall_collision,-0.05,16.47
1,1,wall_collision,-0.05,16.60
1,1,wall_collision,-0.05,16.73
1,1,wall_collision,-0.05,16.87
1,1,wall_collision,-0.05,17.00
1,0,attack,-0.05,17.10
1,2,attack,-0.05,18.03
1,3,attack,-0.05,18.03
1,1,attack,-0.05,18.28
1,0,attack,-0.05,18.82
1,1,attack,-0.05,19.75
1,3,attack,-0.05,20.73
1,0,attack,-0.05,21.08
1,1,attack,-0.05,21.40
1,2,attack,-0.05,21.52
1,3,wall_collision,-0.05,21.67
1,3,attack,-0.05,22.32
1,0,attack,-0.05,23.23
1,2,attack,-0.05,23.23
1,3,attack,-0.05,23.87
1,1,attack,-0.05,24.18
1,1,cause_damage_to_enemy,10.0,24.68
1,1,bear_damage,-10.0,24.92
1,2,attack,-0.05,25.25
1,3,attack,-0.05,25.53
1,3,collect_ball_A,10.0,25.53
1,0,attack,-0.05,25.78
1,1,attack,-0.05,25.93
1,2,attack,-0.05,27.48
1,0,attack,-0.05,27.62
1,1,attack,-0.05,27.62
1,1,bear_damage,-10.0,27.75
1,3,wall_collision,-0.05,27.80
1,3,wall_collision,-0.05,27.93
1,3,wall_collision,-0.05,28.07
1,3,attack,-0.05,28.15
1,3,wall_collision,-0.05,28.20
1,3,wall_collision,-0.05,28.33
1,3,wall_collision,-0.05,28.47
1,3,wall_collision,-0.05,28.60
1,3,wall_collision,-0.05,28.73
1,2,wall_collision,-0.05,28.87
1,2,wall_collision,-0.05,29.00
1,1,attack,-0.05,29.22
1,2,attack,-0.05,29.22
1,1,cause_damage_to_enemy,10.0,29.73
1,0,attack,-0.05,30.03
1,2,wall_collision,-0.05,30.73
1,2,wall_collision,-0.05,30.87
1,1,attack,-0.05,30.87
1,0,wall_collision,-0.05,31.40
1,3,attack,-0.05,31.40
1,2,attack,-0.05,32.47
1,0,attack,-0.05,32.85
1,3,attack,-0.05,33.12
1,1,attack,-0.05,33.38
2,0,wall_collision,-0.05,33.65
2,0,wall_collision,-0.05,33.78
2,3,wall_collision,-0.05,33.92
2,3,wall_collision,-0.05,34.05
2,0,attack,-0.05,34.05
2,3,attack,-0.05,34.05
2,3,wall_collision,-0.05,34.18
2,3,wall_collision,-0.05,34.32
2,1,attack,-0.05,34.32
2,3,wall_collision,-0.05,34.45
2,3,wall_collision,-0.05,34.58
2,2,attack,-0.05,34.58
2,3,wall_collision,-0.05,34.72
2,2,collect_ball_A,10.0,35.27
2,1,wall_collision,-0.05,35.78
2,0,attack,-0.05,35.78
2,1,wall_collision,-0.05,35.92
2,3,wall_collision,-0.05,35.92
2,2,collect_ball_A,10.0,35.95
2,1,wall_collision,-0.05,36.05
2,3,attack,-0.05,36.18
2,2,attack,-0.05,36.68
2,0,collect_ball_A,10.0,36.77
2,1,attack,-0.05,37.10
2,3,attack,-0.05,37.77
2,2,attack,-0.05,38.42
2,0,attack,-0.05,38.72
2,1,attack,-0.05,39.35
2,3,attack,-0.05,39.77
2,2,attack,-0.05,40.47
2,3,collect_ball_A,10.0,40.53
2,0,attack,-0.05,40.95
2,3,attack,-0.05,41.50
2,1,attack,-0.05,42.07
2,2,attack,-0.05,42.07
2,3,attack,-0.05,43.10
2,0,attack,-0.05,43.37
2,1,wall_collision,-0.05,43.52
2,1,attack,-0.05,43.63
2,1,wall_collision,-0.05,43.65
2,1,wall_collision,-0.05,43.78
2,1,wall_collision,-0.05,43.92
2,1,wall_collision,-0.05,44.05
2,1,wall_collision,-0.05,44.18
2,2,attack,-0.05,44.28
2,1,wall_collision,-0.05,44.58
2,1,wall_collision,-0.05,44.72
2,3,wall_collision,-0.05,44.85
2,3,wall_collision,-0.05,44.98
2,3,attack,-0.05,45.00
2,3,wall_collision,-0.05,45.12
2,1,attack,-0.05,45.23
2,3,wall_collision,-0.05,45.25
2,3,wall_collision,-0.05,45.38
2,0,attack,-0.05,45.50
2,3,wall_collision,-0.05,45.52
2,3,wall_collision,-0.05,46.05
2,1,wall_collision,-0.05,46.18
2,1,wall_collision,-0.05,46.45
2,1,wall_collision,-0.05,46.58
2,3,attack,-0.05,46.68
2,1,wall_collision,-0.05,46.72
2,0,wall_collision,-0.05,47.25
2,0,wall_collision,-0.05,47.38
2,0,wall_collision,-0.05,47.52
2,2,attack,-0.05,47.62
2,0,attack,-0.05,47.75
2,3,attack,-0.05,48.28
2,1,attack,-0.05,48.68
2,0,wall_collision,-0.05,48.72
2,0,wall_collision,-0.05,48.85
2,0,wall_collision,-0.05,49.12
2,2,attack,-0.05,49.13
2,0,wall_collision,-0.05,49.25
2,0,attack,-0.05,49.25
2,0,wall_collision,-0.05,49.38
2,0,wall_collision,-0.05,49.52
2,0,wall_collision,-0.05,49.65
2,0,wall_collision,-0.05,49.78
2,0,wall_collision,-0.05,50.18
2,0,wall_collision,-0.05,50.32
2,0,wall_collision,-0.05,50.45
2,0,wall_collision,-0.05,50.58
2,0,wall_collision,-0.05,50.72
2,1,attack,-0.05,50.85
2,2,attack,-0.05,50.85
2,0,attack,-0.05,51.12
2,3,attack,-0.05,51.35
2,2,attack,-0.05,52.55
2,0,attack,-0.05,52.95
2,3,attack,-0.05,52.95
2,1,attack,-0.05,53.35
2,0,attack,-0.05,54.85
2,1,attack,-0.05,55.12
2,2,attack,-0.05,55.12
2,3,attack,-0.05,55.12
2,1,bear_damage,-10.0,56.93
2,2,attack,-0.05,57.00
2,0,attack,-0.05,57.37
2,3,attack,-0.05,57.63
2,1,attack,-0.05,58.17
2,2,attack,-0.05,59.65
2,3,attack,-0.05,59.65
2,0,attack,-0.05,60.15
2,1,attack,-0.05,60.28
2,1,cause_damage_to_enemy,10.0,60.72
2,3,attack,-0.05,61.25
2,0,attack,-0.05,61.75
2,2,wall_collision,-0.05,61.78
2,2,wall_collision,-0.05,61.92
2,3,wall_collision,-0.05,61.92
2,1,attack,-0.05,62.02
2,2,wall_collision,-0.05,62.05
2,2,attack,-0.05,62.18
2,1,cause_damage_to_enemy,10.0,62.40
2,0,collect_ball_B,15.0,63.35
2,0,wall_collision,-0.05,63.52
2,0,wall_collision,-0.05,63.65
2,2,attack,-0.05,63.75
2,3,wall_collision,-0.05,64.05
2,1,attack,-0.05,64.07
2,3,attack,-0.05,64.07
2,3,wall_collision,-0.05,64.18
2,0,attack,-0.05,64.28
2,3,wall_collision,-0.05,64.32
2,3,wall_collision,-0.05,64.45
2,3,wall_collision,-0.05,64.58
2,1,bear_damage,-10.0,64.68
2,0,cause_damage_to_player,15.0,64.68
2,3,wall_collision,-0.05,64.72
2,3,wall_collision,-0.05,65.38
2,3,wall_collision,-0.05,65.52
2,2,wall_collision,-0.05,65.65
2,3,attack,-0.05,65.75
2,3,bear_damage,-10.0,65.75
2,0,bear_damage,-10.0,65.75
2,0,wall_collision,-0.05,66.32
2,2,attack,-0.05,66.42
2,0,wall_collision,-0.05,66.45
2,3,wall_collision,-0.05,66.72
2,2,cause_damage_to_enemy,10.0,66.82
2,2,kill_enemy,30.0,66.82
2,0,wall_collision,-0.05,66.85
2,3,wall_collision,-0.05,66.85
3,1,wall_collision,-0.05,67.05
3,0,attack,-0.05,67.12
3,2,wall_collision,-0.05,67.72
3,3,attack,-0.05,67.92
3,1,collect_ball_A,10.0,68.10
3,1,attack,-0.05,68.57
3,2,collect_ball_A,10.0,68.62
3,2,attack,-0.05,68.83
3,0,attack,-0.05,69.08
3,3,collect_ball_A,10.0,69.32
3,3,attack,-0.05,70.30
3,2,attack,-0.05,70.57
3,0,attack,-0.05,70.70
3,3,wall_collision,-0.05,71.85
3,3,wall_collision,-0.05,71.98
3,1,attack,-0.05,72.02
3,3,attack,-0.05,72.02
3,3,wall_collision,-0.05,72.12
3,3,wall_collision,-0.05,72.25
3,3,wall_collision,-0.05,72.38
3,0,attack,-0.05,72.42
3,3,wall_collision,-0.05,72.52
3,2,attack,-0.05,72.58
3,3,wall_collision,-0.05,72.65
3,3,wall_collision,-0.05,73.05
3,2,wall_collision,-0.05,73.45
3,3,wall_collision,-0.05,73.58
3,1,attack,-0.05,73.62
3,2,wall_collision,-0.05,73.72
3,3,wall_collision,-0.05,73.72
3,3,attack,-0.05,73.75
3,3,wall_collision,-0.05,73.85
3,3,wall_collision,-0.05,73.98
3,0,collect_ball_A,10.0,74.02
3,3,wall_collision,-0.05,74.12
3,0,attack,-0.05,74.15
3,2,wall_collision,-0.05,74.25
3,3,wall_collision,-0.05,74.25
3,3,wall_collision,-0.05,74.38
3,3,wall_collision,-0.05,74.52
3,3,wall_collision,-0.05,74.65
3,2,attack,-0.05,74.68
3,3,wall_collision,-0.05,74.78
3,3,collect_ball_A,10.0,75.72
3,0,wall_collision,-0.05,75.85
3,0,wall_collision,-0.05,75.98
3,1,attack,-0.05,76.05
3,3,attack,-0.05,76.05
3,0,attack,-0.05,76.32
3,1,wall_collision,-0.05,77.45
3,3,attack,-0.05,77.88
3,1,attack,-0.05,78.42
3,2,attack,-0.05,78.55
3,0,attack,-0.05,78.68
3,1,cause_damage_to_enemy,10.0,78.82
3,1,bear_damage,-10.0,79.35
3,1,bear_damage,-10.0,79.60
3,1,collect_ball_B,15.0,79.72
3,1,attack,-0.05,80.20
3,2,attack,-0.05,80.20
3,0,attack,-0.05,80.45
3,3,attack,-0.05,80.57
3,1,attack,-0.05,81.93
3,0,attack,-0.05,82.20
3,2,attack,-0.05,82.42
3,3,attack,-0.05,82.42
3,1,attack,-0.05,84.15
3,1,wall_collision,-0.05,84.92
3,2,attack,-0.05,84.95
3,3,attack,-0.05,84.95
3,1,wall_collision,-0.05,85.05
3,0,attack,-0.05,85.22
3,1,bear_damage,-10.0,85.75
3,1,bear_damage,-10.0,86.12
3,1,attack,-0.05,86.43
3,3,attack,-0.05,86.43
3,0,wall_collision,-0.05,86.52
3,0,wall_collision,-0.05,86.65
3,0,attack,-0.05,86.68
3,2,attack,-0.05,86.68
3,0,wall_collision,-0.05,86.78
3,0,wall_collision,-0.05,86.92
3,0,wall_collision,-0.05,87.05
3,0,wall_collision,-0.05,87.18
3,2,collect_ball_B,15.0,87.47
3,0,wall_collision,-0.05,87.58
3,0,wall_collision,-0.05,87.98
3,0,wall_collision,-0.05,88.38
3,0,attack,-0.05,88.45
3,3,attack,-0.05,88.45
3,0,wall_collision,-0.05,88.52
3,1,attack,-0.05,88.58
3,0,wall_collision,-0.05,88.65
3,0,wall_collision,-0.05,88.78
3,0,wall_collision,-0.05,88.92
3,0,wall_collision,-0.05,89.05
3,0,wall_collision,-0.05,89.18
3,0,wall_collision,-0.05,89.32
3,2,attack,-0.05,89.37
3,3,wall_collision,-0.05,89.98
3,3,attack,-0.05,90.20
3,0,wall_collision,-0.05,90.25
3,0,wall_collision,-0.05,90.38
3,0,wall_collision,-0.05,90.52
3,0,wall_collision,-0.05,90.65
3,0,wall_collision,-0.05,91.05
3,2,wall_collision,-0.05,91.05
3,0,attack,-0.05,91.23
3,1,attack,-0.05,91.23
3,2,attack,-0.05,91.23
3,1,bear_damage,-10.0,91.50
3,3,wall_collision,-0.05,91.58
3,1,bear_damage,-10.0,91.62
3,1,cause_damage_to_enemy,10.0,91.62
3,3,bear_damage,-10.0,91.62
3,2,cause_damage_to_player,15.0,91.62
3,3,wall_collision,-0.05,91.72
3,3,wall_collision,-0.05,91.85
3,3,attack,-0.05,92.02
3,2,wall_collision,-0.05,92.25
3,2,wall_collision,-0.05,92.38
3,2,bear_damage,-10.0,92.42
3,3,cause_damage_to_player,15.0,92.42
3,0,wall_collision,-0.05,92.52
3,2,wall_collision,-0.05,92.52
3,0,wall_collision,-0.05,92.65
3,0,wall_collision,-0.05,93.18
3,0,attack,-0.05,93.22
3,0,wall_collision,-0.05,93.32
3,2,wall_collision,-0.05,93.32
3,0,wall_collision,-0.05,93.45
3,2,attack,-0.05,93.48
3,0,wall_collision,-0.05,93.58
3,0,wall_collision,-0.05,93.72
3,0,wall_collision,-0.05,93.85
3,1,attack,-0.05,93.88
3,3,bear_damage,-10.0,93.88
3,2,cause_damage_to_player,15.0,93.88
3,0,attack,-0.05,94.80
3,2,attack,-0.05,95.22
3,3,attack,-0.05,95.22
3,0,cause_damage_to_enemy,10.0,95.22
3,0,kill_enemy,30.0,95.22
3,1,attack,-0.05,95.75
3,2,wall_collision,-0.05,97.18
3,0,attack,-0.05,97.22
3,1,attack,-0.05,97.35
3,3,attack,-0.05,97.35
3,2,wall_collision,-0.05,97.45
3,1,bear_damage,-10.0,97.62
3,0,cause_damage_to_player,15.0,97.62
3,2,collect_ball_B,15.0,98.07
3,2,attack,-0.05,98.28
3,0,wall_collision,-0.05,98.38
3,0,wall_collision,-0.05,98.52
3,0,wall_collision,-0.05,98.65
3,1,attack,-0.05,98.93
3,0,bear_damage,-10.0,99.00
3,1,bear_damage,-10.0,99.00
3,1,bear_damage,-10.0,99.00
3,0,attack,-0.05,99.53
3,2,attack,-0.05,99.80
3,3,attack,-0.05,99.93
4,0,collect_ball_B,15.0,100.35
4,1,wall_collision,-0.05,100.47
4,0,attack,-0.05,100.47
4,3,attack,-0.05,101.00
4,0,wall_collision,-0.05,101.13
4,2,attack,-0.05,101.13
4,1,attack,-0.05,101.67
4,0,collect_ball_A,10.0,102.23
4,0,attack,-0.05,102.33
4,1,collect_ball_A,10.0,102.40
4,1,collect_ball_A,10.0,102.68
4,3,wall_collision,-0.05,103.00
4,3,wall_collision,-0.05,103.13
4,2,collect_ball_A,10.0,103.13
4,2,collect_ball_A,10.0,103.13
4,3,attack,-0.05,103.40
4,0,collect_ball_A,10.0,103.62
4,0,attack,-0.05,103.93
4,2,attack,-0.05,104.07
4,3,collect_ball_A,10.0,104.30
4,1,attack,-0.05,104.47
4,2,wall_collision,-0.05,105.00
4,2,wall_collision,-0.05,105.40
4,2,wall_collision,-0.05,105.53
4,2,wall_collision,-0.05,105.67
4,2,attack,-0.05,105.67
4,3,attack,-0.05,105.67
4,2,wall_collision,-0.05,105.80
4,2,wall_collision,-0.05,105.93
4,2,wall_collision,-0.05,106.07
4,2,wall_collision,-0.05,106.20
4,2,wall_collision,-0.05,106.33
4,1,attack,-0.05,106.33
4,3,collect_ball_A,10.0,106.83
4,2,attack,-0.05,107.40
4,0,attack,-0.05,107.67
4,3,attack,-0.05,107.67
4,1,attack,-0.05,108.20
4,0,attack,-0.05,109.27
4,2,attack,-0.05,109.40
4,3,attack,-0.05,109.93
4,1,attack,-0.05,111.00
4,0,attack,-0.05,111.27
4,2,wall_collision,-0.05,111.67
4,2,attack,-0.05,111.67
4,2,wall_collision,-0.05,111.80
4,2,wall_collision,-0.05,111.93
4,2,wall_collision,-0.05,112.07
4,2,wall_collision,-0.05,112.20
4,2,wall_collision,-0.05,112.33
4,0,wall_collision,-0.05,112.87
4,1,attack,-0.05,113.27
4,3,attack,-0.05,113.53
4,0,wall_collision,-0.05,113.67
4,2,attack,-0.05,113.67
4,0,attack,-0.05,114.33
4,0,cause_damage_to_enemy,10.0,114.73
4,1,attack,-0.05,115.27
4,2,attack,-0.05,115.93
4,3,attack,-0.05,115.93
4,0,attack,-0.05,116.87
4,3,attack,-0.05,117.53
4,1,attack,-0.05,117.67
4,2,collect_ball_B,15.0,118.28
4,1,attack,-0.05,119.27
4,0,attack,-0.05,119.40
4,3,attack,-0.05,119.40
4,2,attack,-0.05,119.67
4,0,cause_damage_to_enemy,10.0,119.80
4,0,cause_damage_to_enemy,10.0,119.80
4,0,cause_damage_to_enemy,10.0,119.80
4,0,kill_enemy,30.0,119.80
4,0,bear_damage,-10.0,119.93
4,1,wall_collision,-0.05,121.13
4,1,wall_collision,-0.05,121.27
4,3,attack,-0.05,121.27
4,0,attack,-0.05,121.53
4,2,attack,-0.05,121.80
4,1,attack,-0.05,123.00
4,0,bear_damage,-10.0,123.00
4,0,attack,-0.05,123.13
4,0,bear_damage,-10.0,123.27
4,2,attack,-0.05,123.53
4,2,cause_damage_to_enemy,10.0,123.93
4,3,attack,-0.05,124.33
4,1,attack,-0.05,124.73
4,0,wall_collision,-0.05,125.13
4,0,wall_collision,-0.05,125.27
4,2,wall_collision,-0.05,125.27
4,0,attack,-0.05,125.27
4,0,wall_collision,-0.05,125.40
4,2,wall_collision,-0.05,125.40
4,2,attack,-0.05,125.40
4,0,wall_collision,-0.05,125.53
4,2,wall_collision,-0.05,125.53
4,0,wall_collision,-0.05,125.67
4,2,wall_collision,-0.05,125.67
4,2,bear_damage,-10.0,125.67
4,0,cause_damage_to_player,15.0,125.67
4,0,wall_collision,-0.05,125.80
4,2,wall_collision,-0.05,125.80
4,2,bear_damage,-10.0,125.80
4,0,bear_damage,-10.0,125.80
4,2,cause_damage_to_player,15.0,125.80
4,0,wall_collision,-0.05,125.93
4,1,wall_collision,-0.05,125.93
4,2,wall_collision,-0.05,125.93
4,2,wall_collision,-0.05,126.07
4,2,bear_damage,-10.0,126.47
4,1,attack,-0.05,126.73
4,0,attack,-0.05,126.87
4,2,bear_damage,-10.0,126.87
4,2,attack,-0.05,127.00
4,3,attack,-0.05,127.13
4,2,cause_damage_to_enemy,10.0,127.40
4,2,kill_enemy,30.0,127.40
4,2,wall_collision,-0.05,128.07
4,2,wall_collision,-0.05,128.20
4,1,attack,-0.05,128.60
4,2,wall_collision,-0.05,128.87
4,0,attack,-0.05,129.00
4,3,wall_collision,-0.05,129.40
4,3,attack,-0.05,129.40
4,3,wall_collision,-0.05,129.53
4,3,wall_collision,-0.05,129.67
4,3,wall_collision,-0.05,129.80
4,3,wall_collision,-0.05,129.93
4,2,attack,-0.05,129.93
4,3,wall_collision,-0.05,130.07
4,1,bear_damage,-10.0,130.20
4,1,attack,-0.05,130.33
4,3,wall_collision,-0.05,130.47
4,3,wall_collision,-0.05,130.60
4,3,wall_collision,-0.05,130.73
4,3,attack,-0.05,131.00
4,1,wall_collision,-0.05,131.80
4,0,attack,-0.05,132.07
4,2,attack,-0.05,132.07
4,3,wall_collision,-0.05,132.60
4,3,wall_collision,-0.05,132.73
4,3,attack,-0.05,132.73
4,3,wall_collision,-0.05,132.87
4,3,wall_collision,-0.05,133.00
4,3,wall_collision,-0.05,133.13
4,3,wall_collision,-0.05,133.27
4,3,wall_collision,-0.05,133.40
5,2,wall_collision,-0.05,133.93
5,3,wall_collision,-0.05,133.93
5,2,wall_collision,-0.05,134.07
5,2,wall_collision,-0.05,134.20
5,1,attack,-0.05,134.73
5,2,attack,-0.05,134.73
5,0,attack,-0.05,135.13
5,3,wall_collision,-0.05,135.53
5,3,attack,-0.05,135.53
5,3,wall_collision,-0.05,135.67
5,3,wall_collision,-0.05,135.80
5,3,wall_collision,-0.05,135.93
5,3,wall_collision,-0.05,136.07
5,3,wall_collision,-0.05,136.20
5,2,attack,-0.05,136.33
5,0,collect_ball_A,10.0,136.47
5,2,collect_ball_A,10.0,137.12
5,3,attack,-0.05,137.13
5,1,collect_ball_A,10.0,137.22
5,1,attack,-0.05,137.53
5,3,collect_ball_A,10.0,137.83
5,0,attack,-0.05,137.93
5,2,attack,-0.05,137.93
5,3,collect_ball_A,10.0,138.33
5,3,collect_ball_A,10.0,139.15
5,1,attack,-0.05,139.40
5,3,attack,-0.05,139.40
5,0,wall_collision,-0.05,140.33
5,0,attack,-0.05,140.33
5,0,wall_collision,-0.05,140.47
5,3,wall_collision,-0.05,140.47
5,0,wall_collision,-0.05,140.60
5,2,wall_collision,-0.05,140.60
5,0,wall_collision,-0.05,140.73
5,0,wall_collision,-0.05,140.87
5,0,wall_collision,-0.05,141.00
5,2,attack,-0.05,141.00
5,0,wall_collision,-0.05,141.13
5,0,wall_collision,-0.05,141.27
5,0,wall_collision,-0.05,141.40
5,0,wall_collision,-0.05,141.53
5,1,attack,-0.05,141.53
5,0,wall_collision,-0.05,141.67
5,0,wall_collision,-0.05,141.80
5,3,attack,-0.05,141.80
5,0,wall_collision,-0.05,141.93
5,0,attack,-0.05,141.93
5,0,wall_collision,-0.05,142.07
5,0,wall_collision,-0.05,142.20
5,0,wall_collision,-0.05,142.33
5,0,wall_collision,-0.05,142.47
5,0,wall_collision,-0.05,142.60
5,0,wall_collision,-0.05,143.00
5,3,attack,-0.05,143.53
5,0,wall_collision,-0.05,143.67
5,0,wall_collision,-0.05,143.80
5,1,attack,-0.05,143.93
5,0,wall_collision,-0.05,144.20
5,2,attack,-0.05,144.20
5,0,wall_collision,-0.05,144.33
5,0,wall_collision,-0.05,144.47
5,0,wall_collision,-0.05,144.60
5,0,wall_collision,-0.05,145.13
5,0,wall_collision,-0.05,145.27
5,0,attack,-0.05,145.27
5,0,wall_collision,-0.05,145.40
5,0,wall_collision,-0.05,145.53
5,3,attack,-0.05,145.53
5,0,wall_collision,-0.05,145.67
5,0,wall_collision,-0.05,145.80
5,0,wall_collision,-0.05,145.93
5,2,wall_collision,-0.05,145.93
5,0,wall_collision,-0.05,146.07
5,1,attack,-0.05,146.07
5,0,wall_collision,-0.05,146.20
5,0,wall_collision,-0.05,146.33
5,0,wall_collision,-0.05,146.47
5,0,wall_collision,-0.05,146.60
5,2,attack,-0.05,146.60
5,0,wall_collision,-0.05,146.73
5,0,wall_collision,-0.05,146.87
5,0,wall_collision,-0.05,147.00
5,0,wall_collision,-0.05,147.13
5,0,wall_collision,-0.05,147.40
5,0,wall_collision,-0.05,147.53
5,1,bear_damage,-10.0,147.67
5,1,attack,-0.05,147.93
5,2,attack,-0.05,148.20
5,3,attack,-0.05,148.47
5,1,bear_damage,-10.0,149.27
5,1,attack,-0.05,149.93
5,2,attack,-0.05,150.20
5,3,attack,-0.05,150.33
5,1,collect_ball_B,15.0,151.73
5,3,attack,-0.05,152.33
5,1,attack,-0.05,152.60
5,2,attack,-0.05,152.87
5,2,bear_damage,-10.0,153.00
5,2,cause_damage_to_enemy,10.0,153.27
5,1,bear_damage,-10.0,153.53
5,2,bear_damage,-10.0,153.80
5,1,wall_collision,-0.05,154.20
5,2,wall_collision,-0.05,154.20
5,1,attack,-0.05,154.20
5,1,wall_collision,-0.05,154.33
5,2,wall_collision,-0.05,154.33
5,1,wall_collision,-0.05,154.47
5,2,wall_collision,-0.05,154.47
5,1,wall_collision,-0.05,154.60
5,0,attack,-0.05,154.60
5,2,bear_damage,-10.0,154.60
5,1,cause_damage_to_player,15.0,154.60
5,1,wall_collision,-0.05,154.73
5,1,wall_collision,-0.05,154.87
5,1,wall_collision,-0.05,155.00
5,3,wall_collision,-0.05,155.00
5,3,attack,-0.05,155.00
5,0,cause_damage_to_enemy,10.0,155.00
5,3,wall_collision,-0.05,155.13
5,3,wall_collision,-0.05,155.27
5,3,wall_collision,-0.05,155.40
5,1,bear_damage,-10.0,155.40
