episode_id,player_0_ball_avg,player_1_ball_avg,player_2_ball_avg,player_3_ball_avg,total_ball_avg_reward
1,25.0,43.75,21.25,15.0,105.0
2,12.5,30.0,21.25,12.5,76.25
3,25.0,38.75,37.5,13.75,115.0
4,22.5,25.0,16.25,16.25,80.0
5,11.25,36.25,12.5,12.5,72.5
6,22.5,13.75,16.25,16.25,68.75
7,16.25,25.0,27.5,12.5,81.25
8,27.5,30.0,22.5,15.0,95.0
9,28.75,41.25,22.5,12.5,105.0
10,18.75,35.0,36.25,20.0,110.0
11,13.75,21.25,26.25,27.5,88.75
12,18.75,31.25,28.75,28.75,107.5
13,15.0,37.5,27.5,27.5,107.5
14,32.5,35.0,35.0,21.25,123.75
15,20.0,41.25,31.25,32.5,125.0
16,41.25,33.75,31.25,3.75,110.0
17,32.5,42.5,30.0,15.0,120.0
18,26.25,37.5,30.0,10.0,103.75
19,13.75,48.75,37.5,15.0,115.0
20,8.75,20.0,35.0,33.75,97.5
21,22.5,43.75,41.25,16.25,123.75
22,15.0,37.5,35.0,26.25,113.75
23,13.75,45.0,23.75,40.0,122.5
24,32.5,33.75,32.5,16.25,115.0
25,25.0,41.25,23.75,8.75,98.75
26,22.5,43.75,25.0,18.75,110.0
27,17.5,40.0,32.5,15.0,105.0
28,45.0,26.25,40.0,3.75,115.0
29,23.75,23.75,50.0,25.0,122.5
30,28.75,31.25,38.75,16.25,115.0
31,27.5,38.75,30.0,12.5,108.75
32,13.75,38.75,26.25,7.5,86.25
33,10.0,50.0,41.25,13.75,115.0
34,21.25,30.0,41.25,7.5,100.0
35,43.75,35.0,43.75,8.75,131.25
36,38.75,17.5,30.0,7.5,93.75
37,22.5,13.75,50.0,18.75,105.0
38,51.25,33.75,32.5,3.75,121.25
39,17.5,43.75,50.0,10.0,121.25
40,35.0,36.25,40.0,22.5,133.75
41,8.75,41.25,45.0,13.75,108.75
42,26.25,36.25,56.25,27.5,146.25
43,7.5,38.75,32.5,17.5,96.25
44,15.0,25.0,38.75,28.75,107.5
45,26.25,36.25,48.75,11.25,122.5
46,25.0,30.0,36.25,21.25,112.5
47,22.5,30.0,31.25,17.5,101.25
48,23.75,41.25,33.75,10.0,108.75
49,36.25,35.0,33.75,20.0,125.0
50,45.0,28.75,26.25,8.75,108.75
51,33.75,25.0,45.0,20.0,123.75
52,25.0,40.0,33.75,7.5,106.25
53,41.25,37.5,42.5,17.5,138.75
54,35.0,37.5,40.0,20.0,132.5
55,25.0,27.5,28.75,28.75,110.0
56,22.5,33.75,25.0,25.0,106.25
57,41.25,31.25,32.5,25.0,130.0
58,37.5,18.75,11.25,17.5,85.0
59,36.25,31.25,26.25,25.0,118.75
60,46.25,27.5,31.25,12.5,117.5
61,46.25,25.0,36.25,33.75,141.25
62,42.5,37.5,41.25,21.25,142.5
63,38.75,38.75,35.0,7.5,120.0
64,32.5,25.0,33.75,32.5,123.75
65,38.75,31.25,42.5,13.75,126.25
66,37.5,28.75,46.25,27.5,140.0
67,40.0,21.25,26.25,25.0,112.5
68,46.25,40.0,55.0,11.25,152.5
69,32.5,38.75,45.0,26.25,142.5
70,41.25,51.25,26.25,33.75,152.5
71,41.25,31.25,40.0,32.5,145.0
72,47.5,40.0,36.25,21.25,145.0
73,57.5,28.75,37.5,23.75,147.5
74,33.75,33.75,15.0,13.75,96.25
75,25.0,17.5,31.25,33.75,107.5
76,31.25,43.75,28.75,26.25,130.0
77,41.25,32.5,40.0,16.25,130.0
78,27.5,35.0,36.25,33.75,132.5
79,33.75,33.75,42.5,25.0,135.0
80,28.75,42.5,33.75,20.0,125.0
81,37.5,43.75,28.75,27.5,137.5
82,25.0,52.5,42.5,21.25,141.25
83,27.5,37.5,47.5,23.75,136.25
84,31.25,32.5,37.5,28.75,130.0
85,31.25,35.0,23.75,23.75,113.75
86,31.25,37.5,38.75,36.25,143.75
87,47.5,22.5,52.5,23.75,146.25
88,30.0,21.25,52.5,35.0,138.75
89,37.5,36.25,46.25,11.25,131.25
90,51.25,36.25,56.25,25.0,168.75
91,38.75,38.75,33.75,23.75,135.0
92,36.25,43.75,45.0,16.25,141.25
93,30.0,25.0,32.5,22.5,110.0
94,31.25,33.75,37.5,11.25,113.75
95,35.0,33.75,36.25,38.75,143.75
96,28.75,35.0,47.5,6.25,117.5
97,47.5,45.0,40.0,17.5,150.0
98,53.75,30.0,47.5,17.5,148.75
99,38.75,42.5,46.25,10.0,137.5
100,26.25,36.25,37.5,12.5,112.5
101,31.25,37.5,46.25,7.5,122.5
102,47.5,36.25,35.0,8.75,127.5
103,32.5,17.5,30.0,7.5,87.5
104,32.5,42.5,27.5,15.0,117.5
105,41.25,36.25,40.0,18.75,136.25
106,37.5,18.75,40.0,13.75,110.0
107,43.75,46.25,42.5,23.75,156.25
108,33.75,20.0,45.0,15.0,113.75
109,30.0,23.75,47.5,3.75,105.0
110,15.0,22.5,50.0,23.75,111.25
111,33.75,12.5,30.0,35.0,111.25
112,40.0,36.25,31.25,8.75,116.25
113,45.0,26.25,47.5,6.25,125.0
114,30.0,23.75,26.25,16.25,96.25
115,36.25,21.25,27.5,11.25,96.25
116,40.0,30.0,20.0,5.0,95.0
117,41.25,40.0,23.75,33.75,138.75
118,30.0,28.75,40.0,10.0,108.75
119,58.75,33.75,25.0,3.75,121.25
120,25.0,35.0,35.0,10.0,105.0
121,27.5,30.0,31.25,22.5,111.25
122,23.75,46.25,23.75,17.5,111.25
123,28.75,35.0,21.25,18.75,103.75
124,26.25,52.5,32.5,41.25,152.5
125,35.0,17.5,23.75,3.75,80.0
