episode_id,player_0_ball_avg,player_1_ball_avg,player_2_ball_avg,player_3_ball_avg,total_ball_avg_reward
1,15.0,23.75,17.5,28.75,85.0
2,13.75,15.0,28.75,15.0,72.5
3,36.25,22.5,16.25,20.0,95.0
4,27.5,32.5,16.25,8.75,85.0
5,36.25,16.25,10.0,25.0,87.5
6,28.75,23.75,2.5,15.0,70.0
7,32.5,23.75,0.0,20.0,76.25
8,42.5,13.75,16.25,26.25,98.75
9,35.0,20.0,20.0,17.5,92.5
10,30.0,15.0,16.25,11.25,72.5
11,31.25,13.75,11.25,16.25,72.5
12,23.75,8.75,3.75,12.5,48.75
13,40.0,20.0,16.25,25.0,101.25
14,35.0,20.0,27.5,11.25,93.75
15,23.75,11.25,7.5,18.75,61.25
16,18.75,15.0,7.5,18.75,60.0
17,5.0,15.0,15.0,13.75,48.75
18,20.0,22.5,7.5,8.75,58.75
19,47.5,27.5,15.0,10.0,100.0
20,35.0,10.0,13.75,26.25,85.0
21,28.75,42.5,7.5,22.5,101.25
22,28.75,16.25,3.75,37.5,86.25
23,10.0,22.5,8.75,21.25,62.5
24,27.5,12.5,6.25,28.75,75.0
25,37.5,31.25,0.0,20.0,88.75
26,27.5,13.75,13.75,16.25,71.25
27,20.0,22.5,5.0,28.75,76.25
28,31.25,11.25,16.25,22.5,81.25
29,13.75,27.5,5.0,20.0,66.25
30,31.25,26.25,11.25,17.5,86.25
31,41.25,17.5,23.75,12.5,95.0
32,31.25,35.0,20.0,13.75,100.0
33,25.0,23.75,17.5,20.0,86.25
34,40.0,22.5,7.5,22.5,92.5
35,23.75,26.25,12.5,18.75,81.25
36,25.0,30.0,6.25,11.25,72.5
37,30.0,30.0,10.0,7.5,77.5
38,30.0,21.25,6.25,12.5,70.0
39,17.5,33.75,3.75,5.0,60.0
40,32.5,42.5,17.5,3.75,96.25
41,26.25,28.75,6.25,11.25,72.5
42,20.0,30.0,12.5,6.25,68.75
43,32.5,20.0,3.75,11.25,67.5
44,26.25,31.25,2.5,23.75,83.75
45,30.0,13.75,16.25,26.25,86.25
46,25.0,21.25,13.75,10.0,70.0
47,16.25,43.75,7.5,13.75,81.25
48,17.5,22.5,5.0,20.0,65.0
49,20.0,33.75,13.75,25.0,92.5
50,23.75,43.75,2.5,25.0,95.0
51,31.25,33.75,6.25,16.25,87.5
52,30.0,41.25,8.75,21.25,101.25
53,37.5,22.5,3.75,17.5,81.25
54,16.25,23.75,8.75,26.25,75.0
55,31.25,16.25,7.5,12.5,67.5
56,26.25,32.5,11.25,36.25,106.25
57,11.25,30.0,3.75,25.0,70.0
58,41.25,27.5,15.0,18.75,102.5
59,21.25,25.0,21.25,22.5,90.0
60,22.5,16.25,11.25,13.75,63.75
61,36.25,33.75,8.75,25.0,103.75
62,20.0,22.5,13.75,26.25,82.5
63,31.25,18.75,2.5,16.25,68.75
64,16.25,26.25,23.75,22.5,88.75
