episode_id,player_0_ball_avg,player_1_ball_avg,player_2_ball_avg,player_3_ball_avg,total_ball_avg_reward
1,25.0,28.75,20.0,22.5,96.25
2,15.0,17.5,17.5,21.25,71.25
3,17.5,15.0,15.0,2.5,50.0
4,2.5,17.5,22.5,18.75,61.25
5,25.0,30.0,25.0,35.0,115.0
6,36.25,22.5,30.0,25.0,113.75
7,37.5,33.75,30.0,30.0,131.25
8,30.0,30.0,30.0,30.0,120.0
9,41.25,33.75,41.25,25.0,141.25
10,45.0,33.75,45.0,41.25,165.0
11,41.25,45.0,41.25,56.25,183.75
12,52.5,41.25,41.25,45.0,180.0
13,56.25,56.25,33.75,45.0,191.25
14,63.75,48.75,60.0,56.25,228.75
15,75.0,45.0,41.25,30.0,191.25
16,67.5,48.75,60.0,60.0,236.25
17,52.5,52.5,56.25,71.25,232.5
18,67.5,52.5,48.75,60.0,228.75
19,93.75,56.25,56.25,63.75,270.0
20,67.5,75.0,56.25,42.5,241.25
21,75.0,37.5,78.75,56.25,247.5
22,90.0,52.5,48.75,71.25,262.5
23,48.75,30.0,56.25,60.0,195.0
24,63.75,60.0,42.5,71.25,237.5
25,71.25,52.5,67.5,52.5,243.75
26,60.0,78.75,37.5,60.0,236.25
27,78.75,71.25,71.25,38.75,260.0
28,60.0,63.75,48.75,56.25,228.75
29,90.0,82.5,56.25,32.5,261.25
30,82.5,56.25,63.75,41.25,243.75
31,86.25,45.0,56.25,67.5,255.0
32,67.5,82.5,35.0,78.75,263.75
33,86.25,45.0,60.0,60.0,251.25
34,63.75,68.75,45.0,48.75,226.25
35,63.75,33.75,71.25,36.25,205.0
36,45.0,112.5,58.75,57.5,273.75
37,48.75,93.75,37.5,63.75,243.75
38,48.75,71.25,45.0,75.0,240.0
39,82.5,83.75,25.0,93.75,285.0
40,75.0,105.0,33.75,82.5,296.25
41,45.0,63.75,78.75,81.25,268.75
42,71.25,41.25,63.75,48.75,225.0
43,78.75,60.0,75.0,78.75,292.5
44,86.25,78.75,45.0,45.0,255.0
45,86.25,90.0,41.25,52.5,270.0
46,41.25,71.25,82.5,50.0,245.0
47,67.5,60.0,82.5,71.25,281.25
48,82.5,52.5,82.5,63.75,281.25
49,67.5,67.5,86.25,56.25,277.5
50,78.75,67.5,82.5,60.0,288.75
51,108.75,48.75,56.25,71.25,285.0
52,108.75,52.5,48.75,75.0,285.0
53,86.25,71.25,30.0,56.25,243.75
54,82.5,86.25,41.25,67.5,277.5
55,48.75,86.25,63.75,63.75,262.5
56,45.0,71.25,78.75,71.25,266.25
57,67.5,71.25,67.5,75.0,281.25
58,67.5,86.25,56.25,48.75,258.75
59,101.25,75.0,48.75,63.75,288.75
60,71.25,60.0,90.0,42.5,263.75
61,86.25,52.5,82.5,52.5,273.75
62,43.75,82.5,72.5,68.75,267.5
63,63.75,90.0,17.5,60.0,231.25
64,75.0,90.0,22.5,71.25,258.75
65,78.75,60.0,78.75,66.25,283.75
66,90.0,71.25,50.0,71.25,282.5
67,90.0,48.75,63.75,93.75,296.25
68,108.75,60.0,60.0,60.0,288.75
69,67.5,75.0,66.25,31.25,240.0
70,52.5,67.5,83.75,58.75,262.5
71,60.0,56.25,67.5,93.75,277.5
72,82.5,63.75,63.75,71.25,281.25
73,67.5,78.75,75.0,60.0,281.25
74,82.5,78.75,71.25,78.75,311.25
75,93.75,60.0,75.0,75.0,303.75
76,56.25,60.0,97.5,63.75,277.5
77,86.25,57.5,75.0,56.25,275.0
78,90.0,42.5,78.75,67.5,278.75
79,67.5,45.0,93.75,73.75,280.0
80,53.75,56.25,93.75,67.5,271.25
81,32.5,105.0,57.5,78.75,273.75
82,97.5,60.0,85.0,42.5,285.0
83,67.5,71.25,75.0,93.75,307.5
84,56.25,75.0,90.0,75.0,296.25
85,71.25,60.0,78.75,75.0,285.0
86,63.75,52.5,93.75,86.25,296.25
87,75.0,56.25,86.25,67.5,285.0
88,86.25,86.25,63.75,37.5,273.75
89,75.0,63.75,101.25,63.75,303.75
90,78.75,48.75,56.25,61.25,245.0
91,105.0,37.5,63.75,58.75,265.0
92,71.25,75.0,93.75,63.75,303.75
93,71.25,86.25,56.25,86.25,300.0
94,71.25,45.0,82.5,67.5,266.25
95,63.75,90.0,75.0,38.75,267.5
96,71.25,63.75,97.5,71.25,303.75
97,71.25,48.75,86.25,56.25,262.5
98,63.75,78.75,86.25,71.25,300.0
99,78.75,48.75,101.25,43.75,272.5
100,67.5,67.5,78.75,71.25,285.0
101,97.5,52.5,56.25,56.25,262.5
102,48.75,56.25,90.0,52.5,247.5
103,82.5,67.5,75.0,45.0,270.0
104,60.0,67.5,101.25,60.0,288.75
105,101.25,56.25,60.0,63.75,281.25
106,71.25,75.0,75.0,63.75,285.0
107,93.75,75.0,60.0,63.75,292.5
108,101.25,56.25,82.5,46.25,286.25
109,71.25,71.25,41.25,51.25,235.0
110,86.25,37.5,63.75,78.75,266.25
111,71.25,67.5,67.5,63.75,270.0
112,56.25,45.0,67.5,101.25,270.0
113,78.75,63.75,97.5,63.75,303.75
114,82.5,63.75,52.5,48.75,247.5
115,86.25,78.75,28.75,67.5,261.25
116,97.5,63.75,75.0,42.5,278.75
117,93.75,60.0,75.0,67.5,296.25
118,67.5,97.5,71.25,37.5,273.75
119,60.0,78.75,63.75,78.75,281.25
120,78.75,67.5,45.0,60.0,251.25
121,86.25,105.0,45.0,52.5,288.75
122,75.0,78.75,67.5,48.75,270.0
123,86.25,78.75,48.75,40.0,253.75
124,93.75,86.25,63.75,52.5,296.25
125,30.0,30.0,37.5,52.5,150.0
