episode_id,player_0_ball_avg,player_1_ball_avg,player_2_ball_avg,player_3_ball_avg,total_ball_avg_reward
1,7.5,26.25,15.0,17.5,66.25
2,17.5,5.0,12.5,15.0,50.0
3,27.5,18.75,15.0,32.5,93.75
4,30.0,30.0,37.5,22.5,120.0
5,25.0,35.0,31.25,25.0,116.25
6,42.5,18.75,18.75,36.25,116.25
7,32.5,20.0,26.25,37.5,116.25
8,31.25,37.5,16.25,35.0,120.0
9,30.0,36.25,35.0,22.5,123.75
10,41.25,28.75,25.0,35.0,130.0
11,30.0,30.0,37.5,32.5,130.0
12,38.75,32.5,41.25,43.75,156.25
13,35.0,33.75,56.25,56.25,181.25
14,30.0,60.0,38.75,50.0,178.75
15,30.0,52.5,45.0,50.0,177.5
16,30.0,43.75,45.0,41.25,160.0
17,52.5,52.5,37.5,47.5,190.0
18,56.25,56.25,48.75,17.5,178.75
19,52.5,46.25,45.0,37.5,181.25
20,41.25,56.25,60.0,50.0,207.5
21,38.75,36.25,52.5,63.75,191.25
22,60.0,48.75,48.75,38.75,196.25
23,40.0,52.5,45.0,41.25,178.75
24,56.25,72.5,48.75,37.5,215.0
25,48.75,42.5,45.0,60.0,196.25
26,52.5,67.5,57.5,71.25,248.75
27,56.25,26.25,60.0,51.25,193.75
28,42.5,33.75,37.5,63.75,177.5
29,56.25,45.0,63.75,62.5,227.5
30,52.5,43.75,48.75,68.75,213.75
31,46.25,56.25,63.75,43.75,210.0
32,63.75,55.0,31.25,53.75,203.75
33,45.0,50.0,33.75,66.25,195.0
34,56.25,45.0,33.75,27.5,162.5
35,33.75,68.75,56.25,38.75,197.5
36,30.0,43.75,45.0,50.0,168.75
37,78.75,28.75,46.25,58.75,212.5
38,52.5,53.75,63.75,37.5,207.5
39,45.0,50.0,56.25,53.75,205.0
40,53.75,46.25,45.0,55.0,200.0
41,52.5,40.0,41.25,55.0,188.75
42,52.5,48.75,37.5,53.75,192.5
43,30.0,66.25,63.75,47.5,207.5
44,52.5,51.25,82.5,27.5,213.75
45,45.0,36.25,56.25,53.75,191.25
46,60.0,43.75,48.75,43.75,196.25
47,67.5,73.75,56.25,22.5,220.0
48,48.75,67.5,36.25,33.75,186.25
49,56.25,56.25,52.5,32.5,197.5
50,52.5,46.25,63.75,32.5,195.0
51,48.75,51.25,56.25,20.0,176.25
