episode_id,player_id,source,value,game_time
1,1,wall_collision,-0.05,0.33
1,0,attack,-0.05,0.33
1,2,attack,-0.05,0.33
1,3,wall_collision,-0.05,0.87
1,3,wall_collision,-0.05,1.00
1,0,wall_collision,-0.05,1.13
1,1,attack,-0.05,1.25
1,0,wall_collision,-0.05,1.27
1,1,wall_collision,-0.05,1.27
1,0,wall_collision,-0.05,1.40
1,1,wall_collision,-0.05,1.40
1,1,wall_collision,-0.05,1.53
1,1,wall_collision,-0.05,1.67
1,1,wall_collision,-0.05,1.80
1,1,wall_collision,-0.05,2.07
1,3,collect_ball_A,10.0,2.12
1,0,attack,-0.05,2.18
1,3,attack,-0.05,2.18
1,1,wall_collision,-0.05,2.33
1,1,wall_collision,-0.05,2.47
1,2,attack,-0.05,2.58
1,2,wall_collision,-0.05,2.60
1,2,wall_collision,-0.05,2.73
1,2,wall_collision,-0.05,2.87
1,2,wall_collision,-0.05,3.00
1,1,attack,-0.05,3.12
1,2,wall_collision,-0.05,3.13
1,3,wall_collision,-0.05,3.67
1,0,wall_collision,-0.05,3.80
1,2,wall_collision,-0.05,3.80
1,3,wall_collision,-0.05,3.80
1,3,attack,-0.05,3.80
1,3,wall_collision,-0.05,3.93
1,3,wall_collision,-0.05,4.07
1,2,attack,-0.05,4.17
1,3,wall_collision,-0.05,4.20
1,1,collect_ball_A,10.0,4.28
1,3,wall_collision,-0.05,4.33
1,2,wall_collision,-0.05,4.87
1,0,attack,-0.05,5.27
1,3,attack,-0.05,5.33
1,1,attack,-0.05,5.38
1,2,wall_collision,-0.05,5.40
1,2,attack,-0.05,6.02
1,3,collect_ball_A,10.0,6.68
1,2,wall_collision,-0.05,6.73
1,0,attack,-0.05,6.97
1,1,attack,-0.05,7.22
1,3,wall_collision,-0.05,7.27
1,3,wall_collision,-0.05,7.40
1,3,wall_collision,-0.05,7.53
1,3,attack,-0.05,7.62
1,3,wall_collision,-0.05,7.67
1,3,wall_collision,-0.05,7.80
1,0,collect_ball_A,10.0,7.88
1,3,wall_collision,-0.05,7.93
1,3,wall_collision,-0.05,8.07
1,2,attack,-0.05,8.17
1,3,wall_collision,-0.05,8.20
1,0,collect_ball_A,10.0,8.68
1,0,attack,-0.05,9.22
1,1,collect_ball_A,10.0,9.47
1,1,attack,-0.05,9.62
1,3,attack,-0.05,9.62
1,2,attack,-0.05,10.07
1,3,wall_collision,-0.05,10.47
1,3,wall_collision,-0.05,10.60
