episode_id,player_id,source,value,game_time
1,2,wall_collision,-0.05,0.47
1,3,attack,-0.05,0.55
1,0,wall_collision,-0.05,0.60
1,2,wall_collision,-0.05,0.60
1,0,attack,-0.05,0.82
1,1,collect_ball_A,10.0,0.85
1,1,attack,-0.05,1.08
1,3,wall_collision,-0.05,1.27
1,3,wall_collision,-0.05,1.40
1,3,wall_collision,-0.05,1.53
1,3,wall_collision,-0.05,1.67
1,3,wall_collision,-0.05,1.80
1,3,wall_collision,-0.05,1.93
1,2,attack,-0.05,2.42
1,3,wall_collision,-0.05,2.60
1,1,wall_collision,-0.05,2.73
1,0,attack,-0.05,3.08
1,3,wall_collision,-0.05,3.13
1,3,wall_collision,-0.05,3.40
1,1,attack,-0.05,3.50
1,3,attack,-0.05,3.63
1,2,wall_collision,-0.05,3.93
1,2,wall_collision,-0.05,4.07
1,0,collect_ball_A,10.0,4.12
1,2,wall_collision,-0.05,4.20
1,2,wall_collision,-0.05,4.33
1,2,attack,-0.05,4.35
1,2,wall_collision,-0.05,4.47
1,2,wall_collision,-0.05,4.60
1,2,wall_collision,-0.05,4.73
1,2,wall_collision,-0.05,4.87
1,2,wall_collision,-0.05,5.00
1,1,attack,-0.05,5.67
1,0,attack,-0.05,5.88
1,3,attack,-0.05,6.28
1,0,collect_ball_A,10.0,6.57
1,0,collect_ball_A,10.0,6.72
1,2,wall_collision,-0.05,6.73
1,1,collect_ball_A,10.0,6.90
1,1,collect_ball_A,10.0,6.95
1,3,wall_collision,-0.05,7.00
1,0,attack,-0.05,7.40
1,1,attack,-0.05,7.40
1,2,attack,-0.05,7.40
1,3,wall_collision,-0.05,7.53
1,2,collect_ball_A,10.0,8.55
1,3,attack,-0.05,8.97
1,1,attack,-0.05,9.10
1,0,attack,-0.05,9.90
1,2,attack,-0.05,10.02
1,1,wall_collision,-0.05,10.33
1,1,attack,-0.05,10.70
1,2,attack,-0.05,11.78
1,3,attack,-0.05,12.02
1,1,wall_collision,-0.05,12.33
1,1,wall_collision,-0.05,12.47
1,1,wall_collision,-0.05,12.87
1,2,attack,-0.05,13.48
1,0,attack,-0.05,13.67
1,3,attack,-0.05,13.67
1,1,attack,-0.05,14.22
1,3,collect_ball_A,10.0,14.73
