episode_id,player_id,source,value,game_time
1,2,attack,-0.05,0.60
1,3,attack,-0.05,0.73
1,1,attack,-0.05,1.00
1,0,attack,-0.05,1.38
1,1,collect_ball_A,10.0,2.10
1,2,attack,-0.05,2.17
1,3,attack,-0.05,2.30
1,0,attack,-0.05,3.12
1,3,collect_ball_A,10.0,3.45
1,2,attack,-0.05,3.77
1,3,attack,-0.05,4.50
1,0,attack,-0.05,4.90
1,1,attack,-0.05,5.42
1,2,attack,-0.05,5.68
1,3,attack,-0.05,6.35
1,0,attack,-0.05,7.15
1,1,attack,-0.05,8.08
1,2,attack,-0.05,8.62
1,0,attack,-0.05,8.88
1,3,attack,-0.05,8.88
1,0,collect_ball_A,10.0,9.78
1,0,attack,-0.05,10.45
1,3,attack,-0.05,10.68
1,1,attack,-0.05,11.75
1,0,attack,-0.05,12.02
1,2,collect_ball_A,10.0,13.03
1,2,attack,-0.05,13.22
1,1,attack,-0.05,13.48
1,3,attack,-0.05,13.62
1,0,attack,-0.05,14.02
1,2,collect_ball_A,10.0,14.02
1,2,collect_ball_A,10.0,14.25
1,3,attack,-0.05,15.35
1,0,attack,-0.05,15.60
1,0,collect_ball_A,10.0,16.47
1,2,attack,-0.05,17.12
1,0,collect_ball_A,10.0,17.12
1,1,attack,-0.05,17.50
1,3,attack,-0.05,17.75
1,2,attack,-0.05,19.92
1,0,attack,-0.05,20.30
1,3,attack,-0.05,21.27
1,0,attack,-0.05,22.47
1,2,attack,-0.05,22.68
1,1,attack,-0.05,23.28
1,2,attack,-0.05,24.83
1,0,attack,-0.05,25.50
1,3,attack,-0.05,26.03
1,1,attack,-0.05,26.57
1,2,attack,-0.05,27.23
1,0,attack,-0.05,27.48
1,3,attack,-0.05,27.60
1,1,attack,-0.05,29.08
1,2,attack,-0.05,29.22
1,3,attack,-0.05,29.35
1,0,attack,-0.05,30.02
1,3,attack,-0.05,30.95
1,1,bear_damage,-10.0,31.48
1,1,attack,-0.05,31.62
1,0,attack,-0.05,31.75
2,1,attack,-0.05,33.65
2,0,attack,-0.05,33.78
2,2,attack,-0.05,33.92
2,3,attack,-0.05,33.92
2,0,collect_ball_A,10.0,35.02
2,1,attack,-0.05,35.22
2,0,attack,-0.05,35.35
2,2,attack,-0.05,35.52
2,1,collect_ball_A,10.0,36.30
2,0,attack,-0.05,36.85
2,3,attack,-0.05,36.85
2,2,attack,-0.05,37.63
2,1,attack,-0.05,37.90
2,3,attack,-0.05,38.43
2,0,attack,-0.05,39.23
2,2,attack,-0.05,40.15
2,0,attack,-0.05,41.63
2,2,collect_ball_A,10.0,42.40
2,2,attack,-0.05,43.10
2,3,attack,-0.05,43.50
2,1,attack,-0.05,43.75
