episode_id,player_0_ball_reward,player_1_ball_reward,player_2_ball_reward,player_3_ball_reward,total_ball_reward
1,26.0,23.0,30.0,10.0,89.0
2,30.0,28.0,24.0,33.0,115.0
3,35.0,30.0,28.0,32.0,125.0
4,33.0,48.0,37.0,26.0,144.0
5,36.0,31.0,48.0,36.0,151.0
6,39.0,45.0,63.0,66.0,213.0
7,54.0,54.0,64.0,51.0,223.0
8,42.0,37.0,48.0,87.0,214.0
9,63.0,42.0,81.0,57.0,243.0
10,84.0,36.0,72.0,48.0,240.0
11,51.0,30.0,75.0,51.0,207.0
12,69.0,39.0,81.0,57.0,246.0
13,51.0,57.0,66.0,54.0,228.0
14,66.0,75.0,69.0,57.0,267.0
15,66.0,60.0,69.0,45.0,240.0
16,57.0,87.0,60.0,39.0,243.0
17,69.0,87.0,66.0,60.0,282.0
18,81.0,48.0,57.0,60.0,246.0
19,66.0,57.0,72.0,69.0,264.0
20,84.0,42.0,72.0,66.0,264.0
21,81.0,75.0,63.0,75.0,294.0
22,81.0,75.0,69.0,49.0,274.0
23,84.0,39.0,81.0,59.0,263.0
24,96.0,63.0,54.0,78.0,291.0
25,60.0,45.0,78.0,93.0,276.0
26,69.0,81.0,63.0,49.0,262.0
27,69.0,78.0,75.0,57.0,279.0
28,72.0,57.0,63.0,93.0,285.0
29,81.0,48.0,84.0,78.0,291.0
30,84.0,54.0,105.0,63.0,306.0
31,63.0,69.0,87.0,40.0,259.0
32,84.0,78.0,55.0,20.0,237.0
33,81.0,108.0,45.0,48.0,282.0
34,108.0,69.0,58.0,49.0,284.0
35,90.0,75.0,76.0,49.0,290.0
36,111.0,63.0,79.0,40.0,293.0
37,87.0,63.0,75.0,59.0,284.0
38,108.0,48.0,75.0,60.0,291.0
39,81.0,66.0,59.0,70.0,276.0
40,78.0,84.0,72.0,52.0,286.0
41,69.0,105.0,63.0,49.0,286.0
42,69.0,78.0,60.0,64.0,271.0
43,78.0,54.0,93.0,72.0,297.0
44,84.0,54.0,84.0,57.0,279.0
45,69.0,78.0,78.0,57.0,282.0
46,84.0,75.0,72.0,51.0,282.0
47,87.0,55.0,84.0,55.0,281.0
48,117.0,52.0,54.0,69.0,292.0
49,90.0,63.0,60.0,75.0,288.0
50,63.0,66.0,72.0,81.0,282.0
51,66.0,96.0,78.0,72.0,312.0
52,111.0,51.0,33.0,70.0,265.0
53,81.0,75.0,52.0,63.0,271.0
54,45.0,93.0,73.0,72.0,283.0
55,84.0,96.0,81.0,61.0,322.0
56,69.0,57.0,84.0,66.0,276.0
57,84.0,75.0,63.0,51.0,273.0
58,81.0,75.0,81.0,81.0,318.0
59,67.0,96.0,42.0,40.0,245.0
60,81.0,117.0,63.0,52.0,313.0
61,88.0,75.0,45.0,67.0,275.0
62,87.0,69.0,87.0,75.0,318.0
63,82.0,81.0,96.0,38.0,297.0
64,87.0,114.0,42.0,63.0,306.0
65,99.0,105.0,45.0,60.0,309.0
66,93.0,66.0,54.0,65.0,278.0
67,82.0,78.0,69.0,48.0,277.0
68,69.0,75.0,48.0,61.0,253.0
69,69.0,66.0,57.0,84.0,276.0
70,87.0,72.0,69.0,69.0,297.0
71,58.0,81.0,93.0,54.0,286.0
72,66.0,81.0,78.0,69.0,294.0
73,81.0,69.0,81.0,57.0,288.0
74,58.0,87.0,87.0,63.0,295.0
75,84.0,66.0,61.0,82.0,293.0
76,87.0,66.0,82.0,54.0,289.0
77,72.0,72.0,78.0,78.0,300.0
78,75.0,66.0,84.0,50.0,275.0
79,54.0,90.0,73.0,42.0,259.0
80,72.0,54.0,50.0,87.0,263.0
81,69.0,69.0,76.0,54.0,268.0
82,69.0,87.0,78.0,66.0,300.0
