episode_id,player_0_ball_avg,player_1_ball_avg,player_2_ball_avg,player_3_ball_avg,total_ball_avg_reward
1,23.0,18.0,20.0,22.0,83.0
2,27.0,31.0,17.0,30.0,105.0
3,32.0,14.0,26.0,19.0,91.0
4,29.0,19.0,20.0,33.0,101.0
5,9.0,31.0,30.0,31.0,101.0
6,24.0,37.0,22.0,30.0,113.0
7,34.0,16.0,17.0,23.0,90.0
8,17.0,29.0,33.0,29.0,108.0
9,27.0,29.0,27.0,8.0,91.0
10,26.0,23.0,28.0,15.0,92.0
11,21.0,17.0,30.0,34.0,102.0
12,41.0,29.0,20.0,20.0,110.0
13,24.0,32.0,23.0,24.0,103.0
14,32.0,39.0,33.0,26.0,130.0
15,28.0,14.0,33.0,23.0,98.0
16,26.0,15.0,28.0,41.0,110.0
17,27.0,24.0,29.0,32.0,112.0
18,18.0,25.0,15.0,33.0,91.0
19,23.0,18.0,9.0,18.0,68.0
20,10.0,30.0,19.0,45.0,104.0
21,23.0,23.0,15.0,38.0,99.0
22,20.0,39.0,19.0,22.0,100.0
23,22.0,27.0,11.0,38.0,98.0
24,21.0,38.0,5.0,14.0,78.0
25,30.0,21.0,18.0,29.0,98.0
26,26.0,38.0,22.0,27.0,113.0
27,34.0,39.0,9.0,34.0,116.0
28,20.0,35.0,8.0,40.0,103.0
29,33.0,38.0,26.0,46.0,143.0
30,37.0,24.0,19.0,38.0,118.0
31,40.0,16.0,26.0,48.0,130.0
32,39.0,44.0,34.0,30.0,147.0
33,31.0,23.0,31.0,36.0,121.0
34,46.0,22.0,33.0,48.0,149.0
35,34.0,23.0,35.0,30.0,122.0
36,36.0,22.0,32.0,26.0,116.0
37,31.0,46.0,43.0,31.0,151.0
38,24.0,35.0,33.0,31.0,123.0
39,36.0,35.0,20.0,30.0,121.0
40,37.0,21.0,30.0,43.0,131.0
41,34.0,31.0,42.0,37.0,144.0
42,31.0,32.0,44.0,22.0,129.0
43,38.0,46.0,24.0,24.0,132.0
44,48.0,48.0,28.0,33.0,157.0
45,28.0,31.0,42.0,39.0,140.0
46,22.0,28.0,32.0,34.0,116.0
47,31.0,33.0,33.0,51.0,148.0
48,21.0,29.0,34.0,30.0,114.0
49,29.0,26.0,36.0,30.0,121.0
50,29.0,18.0,36.0,17.0,100.0
51,35.0,30.0,23.0,22.0,110.0
52,22.0,26.0,47.0,39.0,134.0
53,39.0,18.0,48.0,31.0,136.0
54,29.0,30.0,58.0,20.0,137.0
55,29.0,19.0,45.0,33.0,126.0
56,34.0,25.0,27.0,32.0,118.0
57,34.0,34.0,38.0,24.0,130.0
58,38.0,24.0,44.0,35.0,141.0
59,34.0,29.0,24.0,19.0,106.0
60,24.0,26.0,35.0,23.0,108.0
61,26.0,30.0,23.0,40.0,119.0
62,18.0,18.0,33.0,25.0,94.0
63,28.0,29.0,47.0,34.0,138.0
64,11.0,36.0,31.0,26.0,104.0
65,23.0,30.0,37.0,29.0,119.0
66,31.0,16.0,23.0,24.0,94.0
67,28.0,31.0,35.0,21.0,115.0
68,36.0,31.0,34.0,24.0,125.0
69,25.0,41.0,43.0,34.0,143.0
70,28.0,31.0,41.0,40.0,140.0
71,25.0,35.0,44.0,29.0,133.0
72,26.0,39.0,31.0,19.0,115.0
73,30.0,21.0,62.0,25.0,138.0
