episode_id,player_0_ball_avg,player_1_ball_avg,player_2_ball_avg,player_3_ball_avg,total_ball_avg_reward
1,14.0,14.0,20.0,16.0,64.0
2,16.0,18.0,20.0,13.0,67.0
3,22.0,24.0,18.0,15.0,79.0
4,24.0,33.0,20.0,42.0,119.0
5,27.0,40.0,18.0,44.0,129.0
6,33.0,68.0,24.0,32.0,157.0
7,30.0,34.0,24.0,37.0,125.0
8,38.0,50.0,30.0,45.0,163.0
9,36.0,47.0,37.0,44.0,164.0
10,34.0,41.0,30.0,50.0,155.0
11,27.0,34.0,22.0,44.0,127.0
12,48.0,24.0,29.0,24.0,125.0
13,36.0,30.0,30.0,25.0,121.0
14,28.0,25.0,34.0,33.0,120.0
15,24.0,26.0,28.0,45.0,123.0
16,36.0,25.0,54.0,36.0,151.0
17,41.0,18.0,16.0,37.0,112.0
18,52.0,14.0,22.0,28.0,116.0
19,36.0,8.0,22.0,61.0,127.0
20,39.0,21.0,22.0,26.0,108.0
21,29.0,23.0,40.0,33.0,125.0
22,42.0,10.0,33.0,25.0,110.0
23,36.0,25.0,32.0,37.0,130.0
24,39.0,32.0,40.0,48.0,159.0
25,42.0,57.0,55.0,35.0,189.0
26,39.0,47.0,54.0,23.0,163.0
27,45.0,49.0,31.0,45.0,170.0
28,42.0,50.0,40.0,22.0,154.0
29,34.0,37.0,44.0,42.0,157.0
30,39.0,56.0,42.0,30.0,167.0
31,42.0,60.0,39.0,22.0,163.0
32,39.0,45.0,38.0,54.0,176.0
33,33.0,21.0,60.0,50.0,164.0
34,42.0,53.0,43.0,34.0,172.0
35,45.0,62.0,39.0,46.0,192.0
36,39.0,59.0,45.0,55.0,198.0
37,45.0,56.0,45.0,41.0,187.0
38,39.0,39.0,40.0,41.0,159.0
39,42.0,52.0,39.0,52.0,185.0
40,39.0,46.0,48.0,41.0,174.0
41,39.0,52.0,37.0,40.0,168.0
42,49.0,44.0,57.0,37.0,187.0
43,48.0,38.0,38.0,43.0,167.0
44,45.0,46.0,33.0,65.0,189.0
45,45.0,42.0,42.0,49.0,178.0
46,57.0,51.0,36.0,35.0,179.0
47,57.0,42.0,48.0,39.0,186.0
48,40.0,50.0,39.0,44.0,173.0
49,45.0,46.0,37.0,38.0,166.0
50,45.0,55.0,51.0,39.0,190.0
51,39.0,61.0,48.0,27.0,175.0
52,54.0,39.0,42.0,45.0,180.0
53,57.0,52.0,37.0,31.0,177.0
54,48.0,63.0,38.0,47.0,196.0
55,54.0,46.0,60.0,35.0,195.0
56,57.0,33.0,48.0,27.0,165.0
57,49.0,27.0,40.0,29.0,145.0
58,60.0,38.0,51.0,5.0,154.0
59,42.0,42.0,42.0,15.0,141.0
60,64.0,21.0,54.0,12.0,151.0
61,49.0,18.0,51.0,31.0,149.0
62,69.0,17.0,35.0,31.0,152.0
63,54.0,28.0,37.0,25.0,144.0
64,63.0,51.0,39.0,46.0,199.0
65,38.0,39.0,39.0,40.0,156.0
66,48.0,44.0,39.0,20.0,151.0
67,43.0,33.0,57.0,17.0,150.0
68,52.0,34.0,54.0,26.0,166.0
69,57.0,24.0,51.0,19.0,151.0
70,45.0,35.0,40.0,24.0,144.0
71,52.0,28.0,39.0,8.0,127.0
72,39.0,25.0,48.0,12.0,124.0
73,39.0,21.0,36.0,24.0,120.0
74,57.0,44.0,42.0,24.0,167.0
75,44.0,35.0,48.0,8.0,135.0
76,51.0,27.0,45.0,15.0,138.0
77,54.0,8.0,30.0,14.0,106.0
78,48.0,19.0,33.0,20.0,120.0
79,45.0,25.0,39.0,5.0,114.0
80,42.0,38.0,36.0,7.0,123.0
81,39.0,28.0,45.0,26.0,138.0
82,36.0,47.0,45.0,23.0,151.0
83,45.0,32.0,42.0,37.0,156.0
84,42.0,25.0,39.0,22.0,128.0
85,51.0,31.0,51.0,25.0,158.0
86,38.0,24.0,33.0,12.0,107.0
87,33.0,33.0,54.0,20.0,140.0
88,58.0,46.0,48.0,17.0,169.0
89,54.0,47.0,54.0,23.0,178.0
90,47.0,53.0,37.0,30.0,167.0
91,32.0,48.0,36.0,30.0,146.0
92,45.0,47.0,39.0,28.0,159.0
93,33.0,46.0,54.0,30.0,163.0
94,43.0,45.0,42.0,41.0,171.0
95,43.0,38.0,57.0,33.0,171.0
96,66.0,49.0,37.0,35.0,187.0
97,43.0,33.0,39.0,29.0,144.0
98,36.0,30.0,49.0,20.0,135.0
99,51.0,44.0,51.0,22.0,168.0
100,42.0,47.0,41.0,22.0,152.0
101,46.0,71.0,43.0,9.0,169.0
102,48.0,36.0,38.0,14.0,136.0
103,45.0,41.0,33.0,26.0,145.0
104,39.0,64.0,40.0,20.0,163.0
105,42.0,43.0,37.0,32.0,154.0
106,30.0,52.0,52.0,33.0,167.0
107,39.0,50.0,36.0,26.0,151.0
108,28.0,51.0,37.0,39.0,155.0
109,37.0,46.0,54.0,22.0,159.0
110,54.0,58.0,25.0,28.0,165.0
111,51.0,35.0,35.0,33.0,154.0
112,57.0,36.0,43.0,39.0,175.0
113,54.0,39.0,30.0,26.0,149.0
114,48.0,63.0,46.0,43.0,200.0
115,48.0,24.0,57.0,48.0,177.0
116,48.0,39.0,41.0,38.0,166.0
117,39.0,49.0,54.0,31.0,173.0
118,52.0,33.0,52.0,58.0,195.0
119,45.0,36.0,51.0,31.0,163.0
120,34.0,42.0,32.0,51.0,159.0
121,39.0,35.0,48.0,35.0,157.0
122,42.0,27.0,34.0,59.0,162.0
