episode_id,player_id,source,value,game_time
1,0,attack,-0.05,0.28
1,1,wall_collision,-5.0,0.33
1,1,attack,-0.05,0.42
1,2,attack,-0.05,0.42
1,1,wall_collision,-5.0,0.47
1,3,wall_collision,-5.0,0.47
1,1,wall_collision,-5.0,0.60
1,3,wall_collision,-5.0,0.60
1,1,wall_collision,-5.0,0.73
1,0,wall_collision,-5.0,0.87
1,1,wall_collision,-5.0,0.87
1,1,wall_collision,-5.0,1.00
1,3,attack,-0.05,1.37
1,0,wall_collision,-5.0,1.80
1,0,attack,-0.05,2.07
1,1,attack,-0.05,2.07
1,2,attack,-0.05,2.07
1,3,wall_collision,-5.0,2.87
1,0,wall_collision,-5.0,3.00
1,0,wall_collision,-5.0,3.13
1,1,wall_collision,-5.0,3.27
1,2,wall_collision,-5.0,3.27
1,2,wall_collision,-5.0,3.40
1,2,wall_collision,-5.0,3.53
1,2,wall_collision,-5.0,3.67
1,3,collect_ball_A,10.0,3.70
1,3,attack,-0.05,3.77
1,1,wall_collision,-5.0,3.93
1,2,attack,-0.05,4.17
1,1,attack,-0.05,4.70
1,0,attack,-0.05,5.08
1,3,attack,-0.05,5.37
1,3,wall_collision,-5.0,5.40
1,3,wall_collision,-5.0,5.53
1,3,wall_collision,-5.0,5.67
1,3,wall_collision,-5.0,5.80
1,3,wall_collision,-5.0,5.93
1,1,collect_ball_A,10.0,6.77
1,0,attack,-0.05,6.85
1,2,wall_collision,-5.0,6.87
1,2,attack,-0.05,6.98
1,2,wall_collision,-5.0,7.00
1,2,wall_collision,-5.0,7.13
1,2,wall_collision,-5.0,7.27
1,3,attack,-0.05,7.38
1,2,wall_collision,-5.0,7.40
1,2,wall_collision,-5.0,7.53
1,0,collect_ball_A,10.0,7.82
1,1,attack,-0.05,8.32
1,2,collect_ball_A,10.0,8.73
1,2,attack,-0.05,8.85
1,3,attack,-0.05,9.65
1,0,attack,-0.05,9.92
1,1,attack,-0.05,9.92
1,0,attack,-0.05,11.52
1,1,attack,-0.05,11.52
1,3,attack,-0.05,11.65
1,2,attack,-0.05,12.05
1,0,collect_ball_A,10.0,13.87
1,1,attack,-0.05,14.02
1,2,collect_ball_A,10.0,14.07
1,2,attack,-0.05,14.15
1,2,collect_ball_A,10.0,14.15
1,0,attack,-0.05,14.42
1,3,attack,-0.05,14.42
1,1,attack,-0.05,15.58
1,2,attack,-0.05,16.17
1,0,attack,-0.05,16.30
1,1,wall_collision,-5.0,16.60
1,3,attack,-0.05,16.95
1,1,attack,-0.05,17.48
1,0,attack,-0.05,17.78
1,2,attack,-0.05,18.32
1,3,attack,-0.05,19.00
1,0,attack,-0.05,19.35
1,1,attack,-0.05,20.48
1,0,attack,-0.05,20.98
1,3,attack,-0.05,21.65
1,2,attack,-0.05,22.02
1,1,attack,-0.05,22.45
1,0,attack,-0.05,22.97
1,2,wall_collision,-5.0,23.27
1,2,wall_collision,-5.0,23.40
1,2,wall_collision,-5.0,23.53
1,2,wall_collision,-5.0,23.67
1,3,attack,-0.05,23.77
1,1,attack,-0.05,24.45
1,0,attack,-0.05,25.75
1,2,attack,-0.05,26.02
1,3,attack,-0.05,26.02
1,1,attack,-0.05,26.68
1,0,attack,-0.05,27.35
1,1,wall_collision,-5.0,27.80
1,2,wall_collision,-5.0,27.80
1,3,attack,-0.05,27.88
1,1,wall_collision,-5.0,27.93
1,2,wall_collision,-5.0,27.93
1,1,wall_collision,-5.0,28.07
1,1,wall_collision,-5.0,28.20
1,1,wall_collision,-5.0,28.33
1,1,wall_collision,-5.0,28.47
1,1,attack,-0.05,28.55
1,1,wall_collision,-5.0,28.60
1,1,wall_collision,-5.0,28.73
1,1,wall_collision,-5.0,28.87
1,2,wall_collision,-5.0,28.87
1,1,wall_collision,-5.0,29.00
1,1,wall_collision,-5.0,29.13
1,1,wall_collision,-5.0,29.40
1,1,wall_collision,-5.0,29.53
1,1,collect_ball_A,10.0,29.83
1,3,attack,-0.05,30.07
1,2,attack,-0.05,30.95
1,1,attack,-0.05,31.22
1,0,attack,-0.05,32.28
1,3,collect_ball_B,15.0,32.78
1,3,attack,-0.05,32.95
1,2,attack,-0.05,33.23
2,2,collect_ball_A,10.0,34.48
2,0,attack,-0.05,34.68
2,2,attack,-0.05,34.68
2,3,attack,-0.05,34.95
2,1,attack,-0.05,35.48
2,3,attack,-0.05,36.70
2,1,collect_ball_A,10.0,36.88
2,2,attack,-0.05,37.62
2,1,attack,-0.05,37.75
2,3,wall_collision,-5.0,38.15
2,3,wall_collision,-5.0,38.28
2,0,attack,-0.05,38.32
2,3,wall_collision,-5.0,38.42
2,3,wall_collision,-5.0,38.82
2,3,wall_collision,-5.0,38.95
2,3,attack,-0.05,39.22
2,2,attack,-0.05,39.62
2,1,wall_collision,-5.0,40.02
2,1,attack,-0.05,40.55
2,3,attack,-0.05,41.08
2,1,attack,-0.05,42.32
2,0,attack,-0.05,42.57
2,2,attack,-0.05,43.37
2,0,wall_collision,-5.0,43.62
2,3,attack,-0.05,43.77
2,0,attack,-0.05,44.55
2,2,attack,-0.05,44.95
2,1,attack,-0.05,45.35
2,3,attack,-0.05,46.30
2,0,attack,-0.05,46.70
2,1,attack,-0.05,47.10
2,1,collect_ball_A,10.0,47.88
2,3,attack,-0.05,48.17
2,0,attack,-0.05,48.55
2,1,attack,-0.05,48.68
2,2,attack,-0.05,48.82
2,3,attack,-0.05,49.75
2,0,attack,-0.05,50.42
2,1,attack,-0.05,50.42
2,3,attack,-0.05,51.90
2,0,attack,-0.05,52.55
2,3,attack,-0.05,53.67
2,1,attack,-0.05,54.05
2,0,attack,-0.05,54.72
2,1,collect_ball_A,10.0,54.80
2,3,attack,-0.05,56.05
2,0,attack,-0.05,56.58
2,2,attack,-0.05,56.58
2,1,attack,-0.05,56.85
2,3,attack,-0.05,57.63
2,1,attack,-0.05,58.95
2,0,attack,-0.05,59.08
2,2,attack,-0.05,59.35
2,3,attack,-0.05,60.20
2,0,attack,-0.05,60.87
2,1,attack,-0.05,61.53
2,0,attack,-0.05,63.93
2,1,attack,-0.05,63.93
2,1,attack,-0.05,65.47
2,2,attack,-0.05,65.63
2,3,attack,-0.05,66.03
3,1,attack,-0.05,67.03
3,2,wall_collision,-5.0,67.20
3,3,collect_ball_A,10.0,67.87
3,1,collect_ball_A,10.0,68.27
3,2,collect_ball_A,10.0,68.77
3,0,collect_ball_A,10.0,68.80
3,3,attack,-0.05,68.87
3,2,collect_ball_A,10.0,68.87
3,0,attack,-0.05,69.13
3,2,collect_ball_A,10.0,69.33
3,2,attack,-0.05,69.52
3,1,attack,-0.05,69.90
3,0,attack,-0.05,70.70
3,2,attack,-0.05,71.62
3,3,attack,-0.05,72.07
3,1,attack,-0.05,72.18
3,0,attack,-0.05,72.32
3,2,attack,-0.05,73.53
3,0,attack,-0.05,74.03
3,0,wall_collision,-5.0,74.13
3,0,wall_collision,-5.0,74.27
3,0,wall_collision,-5.0,74.40
3,0,wall_collision,-5.0,74.53
3,0,wall_collision,-5.0,74.67
3,0,wall_collision,-5.0,74.80
3,0,wall_collision,-5.0,74.93
3,2,attack,-0.05,75.90
3,1,attack,-0.05,76.03
3,0,attack,-0.05,76.68
3,0,attack,-0.05,78.73
3,3,attack,-0.05,78.98
3,1,attack,-0.05,79.52
3,2,attack,-0.05,80.58
3,0,attack,-0.05,80.72
3,1,attack,-0.05,81.78
3,0,attack,-0.05,82.32
3,2,attack,-0.05,82.32
3,3,attack,-0.05,82.32
3,2,bear_damage,-10.0,83.65
3,1,attack,-0.05,83.92
3,0,attack,-0.05,84.58
3,2,attack,-0.05,84.85
3,2,cause_damage_to_enemy,10.0,85.25
3,1,collect_ball_A,10.0,85.62
3,2,bear_damage,-10.0,85.92
3,0,attack,-0.05,86.32
3,1,attack,-0.05,86.72
3,0,attack,-0.05,87.92
3,3,attack,-0.05,89.25
3,0,attack,-0.05,89.65
3,2,attack,-0.05,90.58
3,2,cause_damage_to_enemy,10.0,90.98
3,2,kill_enemy,30.0,90.98
3,2,cause_damage_to_enemy,10.0,90.98
3,2,cause_damage_to_enemy,10.0,90.98
3,1,attack,-0.05,91.25
3,2,bear_damage,-10.0,91.52
3,2,bear_damage,-10.0,91.65
3,3,attack,-0.05,91.78
3,2,bear_damage,-10.0,92.18
3,0,attack,-0.05,92.45
3,1,attack,-0.05,93.12
3,3,attack,-0.05,93.65
3,2,collect_ball_B,15.0,94.63
3,1,attack,-0.05,94.72
3,2,attack,-0.05,95.12
3,3,attack,-0.05,95.78
3,0,attack,-0.05,96.18
3,2,bear_damage,-10.0,96.18
3,1,attack,-0.05,96.32
3,2,attack,-0.05,96.72
3,2,bear_damage,-10.0,96.72
3,3,collect_ball_B,15.0,96.98
3,2,bear_damage,-10.0,97.12
3,2,cause_damage_to_enemy,10.0,97.12
3,3,attack,-0.05,98.18
3,0,attack,-0.05,98.45
3,2,bear_damage,-10.0,98.98
3,2,attack,-0.05,99.12
3,1,collect_ball_A,10.0,99.13
3,2,cause_damage_to_enemy,10.0,99.52
3,2,kill_enemy,30.0,99.52
4,1,collect_ball_A,10.0,100.33
4,1,attack,-0.05,100.58
4,0,attack,-0.05,101.25
4,2,collect_ball_A,10.0,101.42
4,3,attack,-0.05,101.65
4,2,attack,-0.05,101.92
4,1,collect_ball_A,10.0,102.12
4,3,collect_ball_A,10.0,102.75
4,3,wall_collision,-5.0,102.85
4,1,collect_ball_A,10.0,103.57
4,0,attack,-0.05,103.65
4,1,attack,-0.05,104.18
4,3,attack,-0.05,104.58
4,2,attack,-0.05,104.98
4,0,attack,-0.05,105.78
4,1,attack,-0.05,106.05
4,1,attack,-0.05,107.92
4,0,attack,-0.05,108.05
4,3,attack,-0.05,108.18
4,3,attack,-0.05,111.25
4,2,attack,-0.05,112.05
4,0,attack,-0.05,112.72
4,3,attack,-0.05,113.12
4,1,attack,-0.05,114.18
4,3,attack,-0.05,115.52
4,1,attack,-0.05,117.52
4,2,attack,-0.05,117.78
4,3,attack,-0.05,118.05
4,2,collect_ball_B,15.0,118.53
4,2,attack,-0.05,119.38
4,0,attack,-0.05,119.92
4,3,attack,-0.05,120.05
4,1,attack,-0.05,120.72
4,0,collect_ball_B,15.0,121.58
4,0,wall_collision,-5.0,121.92
4,2,wall_collision,-5.0,121.92
4,0,attack,-0.05,122.18
4,2,attack,-0.05,123.25
4,3,attack,-0.05,123.38
4,0,attack,-0.05,123.78
4,1,attack,-0.05,123.92
4,3,attack,-0.05,125.38
4,0,attack,-0.05,126.85
4,1,wall_collision,-5.0,127.12
4,2,bear_damage,-10.0,127.25
4,0,cause_damage_to_player,15.0,127.25
4,1,attack,-0.05,127.78
4,0,wall_collision,-5.0,127.92
4,3,attack,-0.05,128.05
4,0,bear_damage,-10.0,128.18
4,3,cause_damage_to_enemy,10.0,128.45
4,3,bear_damage,-10.0,128.58
