episode_id,player_0_ball_score,player_0_wall_count,player_1_ball_score,player_1_wall_count,player_2_ball_score,player_2_wall_count,player_3_ball_score,player_3_wall_count,total_ball_score,total_wall_count
1,24.0,15.8,30.0,27.2,18.0,25.8,22.0,37.2,94.0,106.0
2,40.0,6.6,34.0,8.2,30.0,6.8,26.0,28.8,130.0,50.4
3,36.0,3.4,30.0,5.8,30.0,8.8,30.0,33.6,126.0,51.6
4,66.0,5.8,40.0,24.2,30.0,3.2,30.0,9.4,166.0,42.6
5,72.0,10.0,33.0,3.2,30.0,3.0,36.0,16.8,171.0,33.0
6,63.0,16.0,69.0,6.2,30.0,5.8,28.0,33.0,190.0,61.0
7,74.0,22.6,63.0,35.6,36.0,11.4,32.0,42.4,205.0,112.0
8,66.0,20.0,66.0,27.8,39.0,11.2,25.0,28.0,196.0,87.0
9,72.0,25.2,66.0,24.2,55.0,22.4,43.0,27.8,236.0,99.6
10,84.0,27.6,39.0,17.0,43.0,18.4,52.0,33.6,218.0,96.6
11,51.0,25.0,42.0,30.0,69.0,46.0,58.0,53.2,220.0,154.2
12,66.0,34.2,42.0,20.6,84.0,44.8,37.0,25.8,229.0,125.4
13,63.0,20.4,41.0,26.6,60.0,30.4,69.0,74.8,233.0,152.2
14,75.0,28.8,63.0,19.4,54.0,21.0,43.0,49.2,235.0,118.4
15,60.0,26.8,51.0,39.4,63.0,20.4,75.0,52.2,249.0,138.8
16,63.0,25.4,51.0,10.2,69.0,29.0,52.0,70.2,235.0,134.8
17,108.0,14.6,72.0,9.2,54.0,25.4,36.0,69.6,270.0,118.8
18,96.0,16.6,75.0,23.6,51.0,26.8,61.0,102.0,283.0,169.0
19,81.0,15.8,66.0,33.8,72.0,33.2,58.0,47.4,277.0,130.2
20,63.0,38.4,75.0,35.8,81.0,42.4,61.0,90.6,280.0,207.2
21,66.0,47.4,78.0,37.4,54.0,63.2,75.0,48.2,273.0,196.2
22,60.0,21.0,60.0,22.6,105.0,21.2,48.0,38.4,273.0,103.2
23,51.0,60.4,93.0,28.4,93.0,22.8,51.0,44.4,288.0,156.0
24,73.0,26.0,81.0,22.6,60.0,52.4,65.0,69.0,279.0,170.0
25,81.0,18.8,66.0,32.6,81.0,46.6,66.0,40.8,294.0,138.8
26,78.0,36.6,66.0,33.4,90.0,56.4,60.0,49.2,294.0,175.6
27,96.0,21.4,60.0,17.4,66.0,30.0,60.0,48.4,282.0,117.19999999999999
28,87.0,27.8,54.0,25.6,72.0,31.4,87.0,44.8,300.0,129.6
29,75.0,38.4,60.0,23.6,69.0,57.2,74.0,54.6,278.0,173.8
30,75.0,27.6,72.0,11.4,63.0,18.8,96.0,47.4,306.0,105.2
31,102.0,31.8,60.0,17.0,57.0,37.4,48.0,26.0,267.0,112.2
32,105.0,41.6,57.0,49.0,78.0,53.4,48.0,50.0,288.0,194.0
33,99.0,22.2,69.0,27.2,69.0,18.4,60.0,20.2,297.0,88.0
34,78.0,31.8,61.0,26.8,69.0,14.2,67.0,91.2,275.0,164.0
35,102.0,31.4,54.0,9.0,78.0,26.0,71.0,79.8,305.0,146.2
36,78.0,34.6,75.0,10.8,84.0,33.0,75.0,41.6,312.0,120.0
37,102.0,22.6,81.0,17.6,84.0,38.6,36.0,101.0,303.0,179.8
38,105.0,21.2,78.0,30.8,66.0,36.2,45.0,69.0,294.0,157.2
39,93.0,20.0,66.0,38.0,84.0,37.2,61.0,104.4,304.0,199.60000000000002
40,69.0,42.2,81.0,15.2,69.0,65.0,61.0,57.4,280.0,179.8
41,72.0,36.8,96.0,28.4,63.0,16.8,58.0,85.6,289.0,167.6
42,69.0,13.2,69.0,40.4,96.0,30.6,72.0,60.8,306.0,145.0
43,87.0,25.2,84.0,21.4,70.0,10.4,44.0,113.2,285.0,170.2
44,60.0,32.4,96.0,30.8,75.0,41.2,55.0,150.4,286.0,254.8
45,110.0,33.0,66.0,42.0,54.0,25.4,61.0,93.4,291.0,193.8
46,75.0,32.4,72.0,18.4,60.0,16.0,92.0,68.4,299.0,135.2
47,63.0,24.6,51.0,30.4,75.0,79.0,61.0,72.6,250.0,206.6
48,90.0,28.0,54.0,31.6,72.0,44.2,54.0,56.4,270.0,160.2
49,84.0,40.8,57.0,26.2,66.0,45.0,78.0,47.6,285.0,159.6
50,105.0,21.4,51.0,17.8,72.0,36.2,65.0,82.4,293.0,157.8
51,66.0,10.2,39.0,8.6,108.0,30.6,44.0,54.8,257.0,104.2
52,72.0,39.6,60.0,10.6,93.0,21.8,65.0,93.4,290.0,165.4
53,78.0,21.6,69.0,30.4,51.0,16.6,111.0,33.8,309.0,102.4
54,87.0,30.4,63.0,38.2,78.0,61.2,50.0,96.0,278.0,225.8
55,114.0,38.6,81.0,25.8,63.0,55.2,38.0,100.8,296.0,220.4
56,72.0,47.6,93.0,40.2,69.0,71.6,63.0,33.4,297.0,192.8
57,96.0,35.2,75.0,17.4,69.0,26.2,55.0,133.4,295.0,212.20000000000002
58,87.0,25.8,87.0,37.0,75.0,22.0,63.0,42.6,312.0,127.4
59,65.0,23.0,72.0,37.8,105.0,37.0,67.0,68.4,309.0,166.2
60,90.0,32.0,66.0,38.8,81.0,25.8,76.0,79.6,313.0,176.2
61,72.0,40.8,78.0,12.4,117.0,29.0,44.0,107.2,311.0,189.4
62,78.0,18.2,87.0,18.8,75.0,27.0,75.0,28.2,315.0,92.2
63,96.0,15.8,78.0,33.8,63.0,31.6,57.0,41.6,294.0,122.8
64,81.0,28.0,93.0,19.8,48.0,13.4,72.0,18.4,294.0,79.6
65,90.0,37.0,57.0,26.0,75.0,24.8,82.0,70.0,304.0,157.8
66,84.0,50.2,87.0,20.2,66.0,23.2,49.0,81.0,286.0,174.6
67,66.0,29.6,75.0,18.2,76.0,8.8,83.0,95.0,300.0,151.6
68,84.0,19.2,96.0,10.6,52.0,54.8,47.0,105.4,279.0,190.0
69,93.0,25.8,78.0,10.6,75.0,25.4,59.0,71.0,305.0,132.8
70,63.0,30.8,77.0,7.8,102.0,23.6,45.0,48.6,287.0,110.8
71,84.0,12.6,54.0,10.2,93.0,20.0,76.0,55.2,307.0,98.0
72,75.0,30.2,54.0,16.6,75.0,42.8,63.0,37.2,267.0,126.8
73,90.0,15.6,72.0,25.6,76.0,19.2,44.0,75.4,282.0,135.8
74,111.0,20.6,48.0,6.8,78.0,22.0,41.0,104.2,278.0,153.6
75,75.0,37.4,75.0,6.8,64.0,11.8,57.0,44.8,271.0,100.8
76,78.0,40.8,67.0,8.8,75.0,41.0,42.0,75.4,262.0,166.0
77,82.0,34.2,48.0,11.4,105.0,15.8,50.0,26.2,285.0,87.60000000000001
78,72.0,21.0,54.0,20.2,105.0,19.2,87.0,19.6,318.0,80.0
79,72.0,26.0,56.0,29.6,93.0,19.0,49.0,87.2,270.0,161.8
80,90.0,16.6,84.0,18.8,48.0,22.0,81.0,20.2,303.0,77.6
81,87.0,16.6,69.0,33.0,84.0,12.2,47.0,71.4,287.0,133.20000000000002
82,96.0,19.4,69.0,12.2,75.0,11.0,69.0,10.4,309.0,53.0
83,63.0,45.6,75.0,6.6,108.0,33.8,25.0,117.0,271.0,203.0
84,72.0,14.6,72.0,6.2,66.0,13.8,93.0,25.0,303.0,59.6
85,108.0,30.4,63.0,27.6,72.0,39.4,78.0,37.8,321.0,135.2
86,90.0,31.4,63.0,14.6,78.0,10.4,84.0,33.6,315.0,90.0
87,87.0,29.4,60.0,11.8,102.0,19.8,57.0,24.8,306.0,85.8
88,72.0,33.0,93.0,36.4,78.0,29.8,70.0,65.2,313.0,164.4
89,60.0,18.0,87.0,20.6,87.0,15.2,46.0,90.0,280.0,143.8
90,78.0,18.4,75.0,14.2,87.0,40.0,72.0,11.6,312.0,84.2
91,66.0,31.4,84.0,25.4,81.0,18.4,60.0,32.6,291.0,107.8
92,81.0,48.0,39.0,10.6,78.0,19.8,61.0,63.6,259.0,142.0
93,84.0,24.6,57.0,18.4,48.0,19.4,76.0,79.4,265.0,141.8
94,81.0,39.2,90.0,32.0,75.0,39.8,60.0,64.2,306.0,175.2
