episode_id,player_0_ball_score,player_0_wall_count,player_1_ball_score,player_1_wall_count,player_2_ball_score,player_2_wall_count,player_3_ball_score,player_3_wall_count,total_ball_score,total_wall_count
1,16.0,11.6,26.0,17.0,24.0,17.0,11.0,21.6,77.0,67.2
2,33.0,1.8,31.0,2.4,33.0,10.2,23.0,12.0,120.0,26.4
3,23.0,3.4,28.0,1.2,30.0,8.8,18.0,10.4,99.0,23.8
4,27.0,8.6,30.0,10.2,39.0,2.6,40.0,7.2,136.0,28.599999999999998
5,24.0,2.2,22.0,0.2,39.0,6.6,26.0,4.4,111.0,13.4
6,28.0,4.0,26.0,0.2,45.0,2.2,6.0,6.8,105.0,13.2
7,23.0,3.6,20.0,0.0,45.0,5.6,22.0,1.4,110.0,10.6
8,15.0,0.2,28.0,0.6,22.0,6.8,22.0,1.0,87.0,8.6
9,32.0,4.0,26.0,1.6,19.0,7.0,8.0,2.0,85.0,14.6
10,23.0,4.8,26.0,0.6,33.0,7.0,25.0,4.4,107.0,16.8
11,18.0,0.6,28.0,0.4,18.0,1.4,8.0,3.6,72.0,6.0
12,36.0,0.4,22.0,9.8,37.0,13.2,12.0,3.4,107.0,26.8
13,36.0,1.0,28.0,0.0,28.0,0.2,17.0,3.8,109.0,5.0
14,30.0,1.4,30.0,0.2,30.0,0.8,35.0,5.2,125.0,7.6000000000000005
15,30.0,0.4,26.0,0.2,30.0,0.6,36.0,12.2,122.0,13.399999999999999
16,33.0,10.2,30.0,0.0,30.0,0.2,20.0,12.8,113.0,23.2
17,27.0,1.0,24.0,0.0,30.0,0.0,32.0,5.6,113.0,6.6
18,28.0,0.2,30.0,0.0,30.0,0.4,33.0,9.4,121.0,10.0
19,28.0,0.0,30.0,0.2,30.0,0.0,62.0,0.2,150.0,0.4
20,30.0,0.2,28.0,0.2,30.0,1.4,41.0,2.8,129.0,4.6
21,34.0,0.2,28.0,1.2,30.0,1.8,51.0,4.6,143.0,7.8
22,36.0,0.6,30.0,0.4,30.0,0.2,61.0,7.4,157.0,8.6
23,42.0,1.2,30.0,1.8,30.0,0.0,49.0,3.6,151.0,6.6
24,45.0,4.0,28.0,0.4,30.0,0.6,43.0,5.0,146.0,10.0
25,42.0,10.8,30.0,0.0,30.0,1.2,69.0,5.4,171.0,17.400000000000002
26,42.0,5.6,30.0,2.2,30.0,0.2,43.0,3.2,145.0,11.2
27,60.0,6.2,26.0,0.4,30.0,0.8,72.0,9.6,188.0,17.0
28,35.0,0.4,26.0,0.8,30.0,0.4,51.0,3.8,142.0,5.4
29,45.0,8.0,30.0,1.8,30.0,1.0,48.0,16.6,153.0,27.400000000000002
30,42.0,6.2,26.0,0.2,30.0,0.4,46.0,20.8,144.0,27.6
31,34.0,10.2,30.0,9.6,30.0,5.2,48.0,13.8,142.0,38.8
32,52.0,5.4,26.0,0.8,30.0,0.6,43.0,6.4,151.0,13.200000000000001
33,57.0,6.6,26.0,1.6,30.0,3.2,42.0,42.8,155.0,54.199999999999996
34,36.0,12.6,24.0,11.4,28.0,0.6,39.0,9.4,127.0,34.0
