episode_id,player_id,source,value,game_time
1,3,attack,-0.05,0.28
1,2,attack,-0.05,0.42
1,0,attack,-0.05,0.55
1,1,attack,-0.05,0.55
1,3,wall_collision,-0.5,1.13
1,1,wall_collision,-0.5,1.40
1,1,wall_collision,-0.5,1.53
1,0,collect_ball_A,10.0,1.55
1,3,wall_collision,-0.5,1.67
1,3,attack,-0.05,1.92
1,1,attack,-0.05,2.02
1,2,attack,-0.05,2.17
1,0,attack,-0.05,2.82
1,1,collect_ball_A,10.0,3.22
1,3,attack,-0.05,3.48
1,3,wall_collision,-0.5,3.53
1,3,wall_collision,-0.5,3.67
1,3,wall_collision,-0.5,3.80
1,3,wall_collision,-0.5,3.93
1,3,wall_collision,-0.5,4.07
1,2,attack,-0.05,4.17
1,2,wall_collision,-0.5,4.20
1,2,wall_collision,-0.5,4.33
1,1,attack,-0.05,4.42
1,2,wall_collision,-0.5,4.47
1,0,attack,-0.05,4.57
1,2,wall_collision,-0.5,4.60
1,3,wall_collision,-0.5,4.60
1,2,wall_collision,-0.5,4.73
1,3,wall_collision,-0.5,4.73
1,3,wall_collision,-0.5,4.87
1,2,wall_collision,-0.5,5.67
1,3,attack,-0.05,5.75
1,1,attack,-0.05,6.18
1,3,collect_ball_A,10.0,6.90
1,2,collect_ball_A,10.0,7.10
1,3,attack,-0.05,7.25
1,0,attack,-0.05,7.37
1,2,attack,-0.05,7.37
1,3,collect_ball_A,10.0,7.98
1,0,wall_collision,-0.5,8.73
1,1,attack,-0.05,9.25
1,0,wall_collision,-0.5,9.27
1,2,attack,-0.05,9.37
1,3,attack,-0.05,10.33
1,0,attack,-0.05,10.95
1,2,collect_ball_A,10.0,11.07
1,2,attack,-0.05,11.22
1,1,attack,-0.05,11.38
1,3,attack,-0.05,11.87
1,0,attack,-0.05,12.52
1,1,attack,-0.05,12.92
1,3,wall_collision,-0.5,13.40
1,3,attack,-0.05,13.75
1,0,attack,-0.05,14.15
1,2,attack,-0.05,14.58
1,1,attack,-0.05,14.83
1,3,attack,-0.05,15.52
1,3,wall_collision,-0.5,15.53
1,3,wall_collision,-0.5,15.67
1,3,wall_collision,-0.5,15.80
1,3,wall_collision,-0.5,15.93
1,0,attack,-0.05,16.03
1,3,wall_collision,-0.5,16.07
1,2,attack,-0.05,16.17
1,3,wall_collision,-0.5,16.20
1,3,wall_collision,-0.5,16.33
1,1,attack,-0.05,16.43
1,3,wall_collision,-0.5,16.47
1,3,wall_collision,-0.5,16.60
1,1,wall_collision,-0.5,17.40
1,3,attack,-0.05,17.48
1,0,attack,-0.05,17.62
1,1,attack,-0.05,18.18
1,2,attack,-0.05,19.35
1,3,attack,-0.05,19.35
1,1,attack,-0.05,19.70
1,0,attack,-0.05,19.80
1,3,attack,-0.05,20.85
1,1,attack,-0.05,21.37
1,2,attack,-0.05,21.37
1,0,attack,-0.05,21.75
1,3,attack,-0.05,22.70
1,2,attack,-0.05,22.97
1,0,attack,-0.05,23.25
1,1,attack,-0.05,23.35
1,3,attack,-0.05,24.55
1,0,attack,-0.05,24.82
1,2,attack,-0.05,25.23
2,0,collect_ball_A,10.0,25.38
2,3,wall_collision,-0.5,25.50
2,0,wall_collision,-0.5,25.90
2,0,wall_collision,-0.5,26.03
2,1,attack,-0.05,26.15
2,0,wall_collision,-0.5,26.17
2,0,wall_collision,-0.5,26.30
