episode_id,player_id,source,value,game_time
1,0,wall_collision,-0.5,0.33
1,3,attack,-0.05,0.47
1,2,wall_collision,-0.5,0.60
1,0,attack,-0.05,0.73
1,1,wall_collision,-0.5,0.87
1,3,wall_collision,-0.5,1.13
1,3,wall_collision,-0.5,1.53
1,2,wall_collision,-0.5,1.67
1,3,wall_collision,-0.5,1.67
1,3,wall_collision,-0.5,1.80
1,3,wall_collision,-0.5,2.20
1,1,attack,-0.05,2.60
1,0,attack,-0.05,2.68
1,2,attack,-0.05,2.68
1,3,attack,-0.05,2.82
1,0,wall_collision,-0.5,3.40
1,3,wall_collision,-0.5,3.53
1,1,attack,-0.05,4.30
1,2,collect_ball_A,10.0,4.32
1,3,attack,-0.05,4.47
1,1,wall_collision,-0.5,5.13
1,0,collect_ball_A,10.0,5.47
1,2,wall_collision,-0.5,5.93
1,3,wall_collision,-0.5,5.93
1,2,wall_collision,-0.5,6.07
1,3,wall_collision,-0.5,6.07
1,1,attack,-0.05,6.15
1,2,attack,-0.05,6.28
1,3,attack,-0.05,6.28
1,0,attack,-0.05,6.42
1,2,wall_collision,-0.5,7.27
1,0,wall_collision,-0.5,7.40
1,3,wall_collision,-0.5,7.40
1,2,wall_collision,-0.5,7.53
1,3,wall_collision,-0.5,7.53
1,3,attack,-0.05,7.77
1,2,wall_collision,-0.5,7.80
1,2,wall_collision,-0.5,7.93
1,1,attack,-0.05,8.17
1,2,attack,-0.05,8.42
1,3,wall_collision,-0.5,8.47
1,3,wall_collision,-0.5,8.60
1,0,attack,-0.05,9.10
1,3,wall_collision,-0.5,9.40
1,1,attack,-0.05,9.80
1,3,attack,-0.05,9.80
1,2,collect_ball_A,10.0,10.07
1,2,attack,-0.05,10.32
1,0,wall_collision,-0.5,10.33
1,0,attack,-0.05,10.78
1,3,wall_collision,-0.5,11.93
1,1,attack,-0.05,12.03
1,0,wall_collision,-0.5,12.47
1,2,attack,-0.05,12.57
1,0,attack,-0.05,13.10
1,1,attack,-0.05,13.62
1,2,wall_collision,-0.5,13.67
1,2,wall_collision,-0.5,14.07
1,2,attack,-0.05,14.30
1,1,collect_ball_A,10.0,14.45
1,1,collect_ball_A,10.0,14.75
1,1,collect_ball_A,10.0,14.85
1,2,wall_collision,-0.5,15.13
1,2,wall_collision,-0.5,15.27
1,1,attack,-0.05,15.27
1,3,attack,-0.05,15.48
1,2,wall_collision,-0.5,15.93
1,2,wall_collision,-0.5,16.07
1,2,wall_collision,-0.5,16.47
1,2,wall_collision,-0.5,16.60
1,2,wall_collision,-0.5,16.73
1,2,wall_collision,-0.5,16.87
1,1,attack,-0.05,17.12
1,2,attack,-0.05,17.25
1,3,wall_collision,-0.5,17.27
1,3,wall_collision,-0.5,17.40
1,0,attack,-0.05,17.63
1,3,attack,-0.05,17.63
1,2,attack,-0.05,19.22
1,3,attack,-0.05,19.63
1,0,attack,-0.05,19.92
1,1,attack,-0.05,20.18
1,3,wall_collision,-0.5,20.60
1,3,wall_collision,-0.5,20.87
1,3,wall_collision,-0.5,21.00
1,0,collect_ball_A,10.0,21.08
1,3,attack,-0.05,21.37
1,2,attack,-0.05,21.63
1,1,attack,-0.05,21.77
1,0,attack,-0.05,22.02
1,3,wall_collision,-0.5,23.40
1,3,wall_collision,-0.5,23.53
1,3,wall_collision,-0.5,23.67
1,3,wall_collision,-0.5,23.80
1,3,wall_collision,-0.5,23.93
1,3,attack,-0.05,24.17
1,2,attack,-0.05,24.30
1,0,attack,-0.05,24.82
2,0,collect_ball_A,10.0,25.38
2,0,attack,-0.05,25.48
2,3,wall_collision,-0.5,25.50
2,1,wall_collision,-0.5,25.63
2,3,wall_collision,-0.5,25.63
2,1,attack,-0.05,25.75
2,1,wall_collision,-0.5,25.77
2,1,wall_collision,-0.5,25.90
2,1,wall_collision,-0.5,26.03
2,1,wall_collision,-0.5,26.17
2,1,wall_collision,-0.5,26.30
2,2,collect_ball_A,10.0,26.35
2,2,attack,-0.05,26.42
2,3,attack,-0.05,26.42
2,0,attack,-0.05,26.97
2,0,wall_collision,-0.5,27.63
2,1,attack,-0.05,27.75
2,3,attack,-0.05,29.10
2,1,collect_ball_A,10.0,29.13
2,1,attack,-0.05,29.37
2,2,attack,-0.05,29.75
2,3,wall_collision,-0.5,30.57
2,0,collect_ball_A,10.0,30.68
2,3,attack,-0.05,31.22
2,0,collect_ball_A,10.0,31.28
2,0,attack,-0.05,31.63
2,2,attack,-0.05,31.63
2,3,collect_ball_A,10.0,31.97
2,3,wall_collision,-0.5,32.70
2,3,attack,-0.05,32.73
2,3,wall_collision,-0.5,32.83
2,3,wall_collision,-0.5,32.97
2,2,collect_ball_A,10.0,33.08
2,3,wall_collision,-0.5,33.10
2,3,wall_collision,-0.5,33.23
2,3,wall_collision,-0.5,33.37
2,1,attack,-0.05,33.37
2,0,attack,-0.05,33.90
2,3,wall_collision,-0.5,34.17
2,3,attack,-0.05,34.25
2,3,wall_collision,-0.5,34.30
2,3,wall_collision,-0.5,34.43
2,3,wall_collision,-0.5,34.57
2,3,wall_collision,-0.5,34.70
2,2,attack,-0.05,34.82
2,3,wall_collision,-0.5,34.83
2,1,wall_collision,-0.5,35.63
2,1,wall_collision,-0.5,35.77
2,1,wall_collision,-0.5,35.90
2,1,wall_collision,-0.5,36.03
2,1,wall_collision,-0.5,36.17
2,0,attack,-0.05,36.28
2,1,wall_collision,-0.5,36.30
2,1,attack,-0.05,37.00
2,2,attack,-0.05,37.00
2,3,attack,-0.05,37.00
2,0,attack,-0.05,37.90
2,3,attack,-0.05,38.68
2,1,wall_collision,-0.5,38.97
2,1,wall_collision,-0.5,39.10
2,2,attack,-0.05,39.25
2,0,attack,-0.05,39.65
2,1,attack,-0.05,40.07
2,3,attack,-0.05,40.28
2,2,attack,-0.05,41.52
2,0,attack,-0.05,42.07
2,1,attack,-0.05,42.07
2,3,attack,-0.05,43.25
2,2,attack,-0.05,43.63
2,1,attack,-0.05,43.90
2,0,attack,-0.05,44.83
2,1,attack,-0.05,45.92
2,2,attack,-0.05,46.07
2,0,attack,-0.05,47.48
