episode_id,player_0_ball,player_0_total,player_0_wall,player_1_ball,player_1_total,player_1_wall,player_2_ball,player_2_total,player_2_wall,player_3_ball,player_3_total,player_3_wall,all_ball,all_total,all_wall
1,18.0000,9.5400,15.4000,22.0000,10.9300,20.6000,8.0000,-1.7700,18.0000,14.0000,-3.2100,32.8000,62.0000,15.4900,86.8000
2,26.0000,16.5800,17.4000,24.0000,20.5700,5.4000,21.0000,16.5800,7.4000,20.0000,13.6600,11.4000,91.0000,67.3900,41.6000
3,30.0000,22.4300,14.0000,42.0000,40.1300,6.4000,29.0000,27.8700,0.8000,36.0000,25.3300,20.2000,137.0000,115.7600,41.4000
4,30.0000,25.3400,8.4000,30.0000,22.1600,2.4000,37.0000,34.6400,3.4000,28.0000,16.5400,22.0000,125.0000,98.6800,36.2000
5,30.0000,29.3000,0.8000,40.0000,28.2700,2.4000,36.0000,34.5200,2.0000,54.0000,43.3600,12.6000,160.0000,135.4500,17.8000
6,42.0000,39.8000,4.0000,41.0000,28.4300,4.2000,72.0000,55.4400,0.4000,30.0000,21.3100,12.8000,185.0000,144.9800,21.4000
7,30.0000,29.3100,0.8000,35.0000,34.0000,1.2000,49.0000,12.6600,0.0000,39.0000,34.4800,8.6000,153.0000,110.4500,10.6000
8,51.0000,42.2900,1.2000,40.0000,34.4300,2.4000,75.0000,56.6900,0.2000,54.0000,47.8700,2.0000,220.0000,181.2800,5.8000
9,69.0000,58.6000,12.6000,55.0000,41.2600,7.2000,75.0000,48.8800,8.0000,54.0000,34.1000,23.6000,253.0000,182.8400,51.4000
10,81.0000,65.1500,9.4000,45.0000,38.6500,4.4000,60.0000,35.7100,10.2000,69.0000,45.7800,26.2000,255.0000,185.2900,50.2000
11,57.0000,63.3800,10.8000,60.0000,64.2900,1.0000,78.0000,77.5800,4.4000,63.0000,51.1000,17.2000,258.0000,256.3500,33.4000
12,87.0000,79.3300,2.8000,51.0000,56.9200,13.6000,62.0000,54.3900,4.6000,114.0000,104.1000,15.2000,314.0000,294.7400,36.2000
13,90.0000,72.9400,5.6000,39.0000,33.6000,2.2000,72.0000,62.0600,17.2000,75.0000,47.2400,23.2000,276.0000,215.8400,48.2000
14,81.0000,72.9700,1.4000,81.0000,71.5600,4.4000,81.0000,57.2200,23.0000,60.0000,55.7800,27.8000,303.0000,257.5300,56.6000
15,87.0000,73.8100,12.0000,63.0000,43.0200,5.6000,77.0000,61.1600,7.4000,60.0000,33.0100,19.6000,287.0000,211.0000,44.6000
16,69.0000,58.4900,8.6000,75.0000,65.7700,8.0000,57.0000,37.7100,12.0000,78.0000,84.1200,31.2000,279.0000,246.0900,59.8000
17,45.0000,32.2300,19.2000,60.0000,68.9800,3.4000,75.0000,72.1700,11.0000,76.0000,75.8500,17.8000,256.0000,249.2300,51.4000
18,78.0000,96.4900,4.2000,69.0000,43.2000,12.8000,69.0000,82.8300,13.6000,38.0000,20.4500,10.6000,254.0000,242.9700,41.2000
19,108.0000,112.6700,5.8000,66.0000,42.2600,10.6000,45.0000,31.4100,2.2000,36.0000,7.0400,35.6000,255.0000,193.3800,54.2000
20,60.0000,39.7700,11.6000,72.0000,66.2300,8.8000,66.0000,69.0700,20.8000,79.0000,59.4100,28.4000,277.0000,234.4800,69.6000
21,75.0000,81.1300,5.2000,51.0000,40.6400,12.0000,90.0000,73.7700,13.4000,48.0000,83.0100,27.4000,264.0000,278.5500,58.0000
22,99.0000,106.3500,12.6000,57.0000,34.4400,28.4000,60.0000,64.9800,11.2000,61.0000,21.3100,60.8000,277.0000,227.0800,113.0000
