episode_id,player_0_ball,player_0_total,player_0_wall,player_1_ball,player_1_total,player_1_wall,player_2_ball,player_2_total,player_2_wall,player_3_ball,player_3_total,player_3_wall,all_ball,all_total,all_wall
1,20.0000,-90.2218,20.4000,18.0000,-85.0492,18.6000,17.0000,-51.9715,12.4000,24.0000,-46.8614,12.4000,79.0000,-274.1039,63.8000
2,26.0000,6.7146,2.8000,16.0000,-13.1911,4.6000,24.0000,-10.0254,4.8000,16.0000,1.1004,4.6000,82.0000,-15.4015,16.8000
3,18.0000,0.2595,3.8000,14.0000,-0.8190,1.8000,32.0000,-25.6269,12.2000,30.0000,-18.3470,6.8000,94.0000,-44.5334,24.6000
4,16.0000,11.8231,0.0000,16.0000,-1.0343,2.2000,58.0000,50.2232,3.4000,14.0000,-29.2133,6.6000,104.0000,31.7986,12.2000
5,18.0000,14.9068,0.0000,19.0000,4.9271,1.4000,68.0000,27.1973,2.4000,21.0000,-13.5702,5.6000,126.0000,33.4610,9.4000
6,19.0000,14.3546,0.0000,14.0000,8.3015,0.2000,60.0000,47.5530,0.4000,25.0000,9.1864,3.4000,118.0000,79.3956,4.0000
7,19.0000,15.0819,0.0000,24.0000,13.9268,1.0000,18.0000,5.9441,1.0000,46.0000,24.5772,2.2000,107.0000,59.5300,4.2000
8,22.0000,17.6794,0.0000,34.0000,17.9319,1.4000,24.0000,17.0928,0.4000,20.0000,-0.6825,2.8000,100.0000,52.0217,4.6000
9,28.0000,23.6992,0.0000,45.0000,-8.3672,6.4000,31.0000,15.3593,1.0000,29.0000,-3.5882,6.6000,133.0000,27.1031,14.0000
10,14.0000,9.8028,0.0000,45.0000,37.0247,0.2000,26.0000,20.9376,2.0000,17.0000,-15.1881,5.0000,102.0000,52.5770,7.2000
11,28.0000,20.3793,0.8000,30.0000,22.5178,0.6000,50.0000,20.4593,2.0000,12.0000,-24.3640,5.8000,120.0000,38.9925,9.2000
12,28.0000,21.7065,0.0000,28.0000,14.6611,2.2000,34.0000,4.7694,4.0000,31.0000,3.5518,2.8000,121.0000,44.6889,9.0000
13,26.0000,21.9427,0.0000,37.0000,21.9170,0.8000,39.0000,34.3091,0.0000,26.0000,-47.0242,10.6000,128.0000,31.1446,11.4000
