episode_id,player_0_ball,player_0_total,player_0_wall,player_1_ball,player_1_total,player_1_wall,player_2_ball,player_2_total,player_2_wall,player_3_ball,player_3_total,player_3_wall,all_ball,all_total,all_wall
1,18.0000,-63.6800,16.2000,16.0000,-73.7400,17.8000,19.0000,-52.7100,14.2000,16.0000,-85.7500,20.2000,69.0000,-275.8800,68.4000
2,12.0000,8.3600,0.6000,18.0000,19.3000,0.2000,24.0000,-8.6500,4.8000,26.0000,8.3000,3.0000,80.0000,27.3100,8.6000
3,29.0000,27.5500,0.0000,26.0000,22.5700,0.6000,17.0000,14.6100,0.4000,33.0000,17.5300,6.0000,105.0000,82.2600,7.0000
4,36.0000,44.6100,0.6000,24.0000,20.6200,0.6000,25.0000,16.7700,1.2000,18.0000,9.6200,1.6000,103.0000,91.6200,4.0000
5,12.0000,9.6300,0.0000,44.0000,8.7900,6.2000,22.0000,16.8100,1.0000,20.0000,18.7200,0.2000,98.0000,53.9500,7.4000
6,20.0000,18.5600,0.2000,26.0000,25.6000,0.0000,30.0000,22.7900,1.4000,20.0000,14.7200,1.0000,96.0000,81.6700,2.6000
7,22.0000,21.6100,0.0000,14.0000,13.7700,0.0000,28.0000,16.8300,2.2000,12.0000,8.8500,0.6000,76.0000,61.0600,2.8000
8,34.0000,7.5900,3.6000,26.0000,25.7300,0.0000,30.0000,23.7800,1.2000,18.0000,2.8700,3.0000,108.0000,59.9700,7.8000
9,32.0000,24.6400,0.2000,26.0000,25.7500,0.0000,30.0000,15.8500,2.8000,28.0000,22.8000,1.0000,116.0000,89.0400,4.0000
10,31.0000,20.7200,1.6000,31.0000,25.8600,0.2000,24.0000,23.9000,0.0000,28.0000,-71.2000,19.8000,114.0000,-0.7200,21.6000
11,42.0000,40.7400,0.2000,30.0000,27.8700,0.4000,30.0000,29.8800,0.0000,22.0000,20.9100,0.2000,124.0000,119.4000,0.8000
12,29.0000,22.7500,0.0000,30.0000,29.8800,0.0000,30.0000,29.8300,0.0000,27.0000,-8.1200,8.6000,116.0000,74.3400,8.6000
13,48.0000,48.7300,0.2000,30.0000,29.8700,0.0000,30.0000,28.9000,0.2000,28.0000,1.8400,5.2000,136.0000,109.3400,5.6000
14,60.0000,50.8500,1.4000,30.0000,29.9700,0.0000,30.0000,13.8400,3.2000,55.0000,39.8100,1.4000,175.0000,134.4700,6.0000
15,63.0000,23.7500,7.4000,26.0000,25.9900,0.0000,30.0000,22.9600,1.4000,23.0000,-187.0200,42.0000,142.0000,-114.3200,50.8000
16,42.0000,42.7100,3.2000,30.0000,28.9400,0.2000,30.0000,22.9800,1.4000,45.0000,20.8600,3.2000,147.0000,115.4900,8.0000
17,30.0000,29.9300,0.0000,30.0000,29.9800,0.0000,30.0000,28.9300,0.2000,43.0000,32.8600,2.4000,133.0000,121.7000,2.6000
18,48.0000,26.7100,3.8000,36.0000,33.9000,0.4000,30.0000,25.9700,0.8000,41.0000,36.8300,4.8000,155.0000,123.4100,9.8000
19,30.0000,24.9000,1.0000,42.0000,21.7900,3.2000,30.0000,23.9900,1.2000,25.0000,-36.0400,12.2000,127.0000,34.6400,17.6000
20,45.0000,-11.4100,11.2000,30.0000,13.9000,3.2000,30.0000,25.9200,0.8000,50.0000,-45.2500,19.0000,155.0000,-16.8400,34.2000
21,54.0000,47.6900,2.0000,30.0000,22.9400,1.4000,30.0000,24.9500,1.0000,25.0000,9.9800,3.0000,139.0000,105.5600,7.4000
22,39.0000,-0.2800,5.6000,30.0000,29.9600,0.0000,30.0000,27.9400,0.4000,40.0000,-15.2000,10.4000,139.0000,42.4200,16.4000
23,48.0000,39.7000,3.0000,30.0000,29.9600,0.0000,30.0000,15.9700,2.8000,75.0000,8.5900,19.8000,183.0000,94.2200,25.6000
24,84.0000,27.4900,15.6000,30.0000,29.0000,0.2000,30.0000,16.9900,2.6000,20.0000,-193.0100,42.6000,164.0000,-119.5300,61.0000
25,40.0000,3.8800,3.6000,28.0000,23.9700,0.8000,30.0000,20.9700,1.8000,34.0000,5.9100,6.8000,132.0000,54.7300,13.0000
26,45.0000,-20.2600,14.6000,30.0000,12.9800,3.4000,30.0000,29.9600,0.0000,36.0000,16.8400,5.4000,141.0000,39.5200,23.4000
27,51.0000,-6.3800,5.0000,26.0000,26.0000,0.0000,30.0000,29.9400,0.0000,18.0000,11.9800,1.2000,125.0000,61.5400,6.2000
28,37.0000,14.5900,3.2000,30.0000,21.9300,1.6000,30.0000,19.8500,2.0000,26.0000,1.9500,4.8000,123.0000,58.3200,11.6000
29,42.0000,33.9100,2.8000,30.0000,26.9600,0.6000,30.0000,28.9000,0.2000,39.0000,33.8700,1.8000,141.0000,123.6400,5.4000
30,35.0000,26.8600,1.2000,28.0000,24.9300,0.6000,26.0000,13.8800,2.4000,22.0000,-10.0500,6.4000,111.0000,55.6200,10.6000
31,57.0000,40.7100,3.6000,30.0000,28.9500,0.2000,30.0000,14.9300,3.0000,30.0000,22.9700,1.4000,147.0000,107.5600,8.2000
32,57.0000,-38.4700,19.8000,30.0000,29.9500,0.0000,26.0000,23.9900,0.4000,43.0000,26.8700,4.8000,156.0000,42.3400,25.0000
33,42.0000,-96.5800,35.2000,28.0000,24.9500,0.6000,28.0000,27.9900,0.0000,32.0000,28.9700,0.6000,130.0000,-14.6700,36.4000
34,54.0000,66.5900,1.0000,26.0000,24.9800,0.2000,30.0000,29.9500,0.0000,28.0000,-14.0200,8.4000,138.0000,107.5000,9.6000
35,60.0000,58.5700,4.6000,28.0000,21.9000,1.2000,28.0000,14.9600,2.6000,30.0000,-55.2500,14.0000,146.0000,40.1800,22.4000
36,51.0000,31.7400,8.6000,28.0000,25.9600,0.4000,30.0000,29.9700,0.0000,37.0000,-62.0900,19.8000,146.0000,25.5800,28.8000
37,53.0000,25.7000,6.2000,30.0000,29.9800,0.0000,28.0000,27.9800,0.0000,30.0000,-10.0200,8.0000,141.0000,73.6400,14.2000
38,57.0000,32.5200,1.6000,30.0000,29.9700,0.0000,28.0000,28.0000,0.0000,28.0000,-33.0200,12.2000,143.0000,57.4700,13.8000
39,75.0000,-117.3200,32.0000,30.0000,29.9800,0.0000,28.0000,28.0000,0.0000,38.0000,-58.0300,19.2000,171.0000,-117.3700,51.2000
40,54.0000,14.7800,1.8000,30.0000,29.9900,0.0000,26.0000,26.0000,0.0000,37.0000,31.9900,1.0000,147.0000,102.7600,2.8000
41,60.0000,89.6500,0.4000,30.0000,29.9800,0.0000,28.0000,27.0000,0.2000,38.0000,33.9800,0.8000,156.0000,180.6100,1.4000
42,70.0000,71.6000,3.2000,22.0000,22.0000,0.0000,30.0000,29.9800,0.0000,43.0000,1.8800,7.0000,165.0000,125.4600,10.2000
43,89.0000,111.5400,7.0000,26.0000,25.9900,0.0000,30.0000,28.0000,0.4000,39.0000,42.9400,1.8000,184.0000,208.4700,9.2000
44,96.0000,112.4200,6.2000,30.0000,29.9200,0.0000,30.0000,24.9600,1.0000,27.0000,-60.0900,16.2000,183.0000,107.2100,23.4000
45,59.0000,104.7200,0.0000,28.0000,27.9400,0.0000,30.0000,21.9600,1.6000,34.0000,-10.0900,7.6000,151.0000,144.5300,9.2000
46,26.0000,25.9800,0.0000,28.0000,27.9400,0.0000,30.0000,17.9500,2.4000,28.0000,-166.1000,40.4000,112.0000,-94.2300,42.8000
47,67.0000,66.8200,0.4000,30.0000,29.9800,0.0000,30.0000,29.9600,0.0000,38.0000,3.8800,8.0000,165.0000,130.6400,8.4000
48,42.0000,43.8800,1.2000,30.0000,22.9700,1.4000,30.0000,28.9600,0.2000,72.0000,109.7000,5.2000,174.0000,205.5100,8.0000
49,30.0000,11.9800,3.6000,30.0000,25.9700,0.8000,30.0000,28.9200,0.2000,81.0000,25.6400,15.4000,171.0000,92.5100,20.0000
