episode_id,player_0_ball,player_0_total,player_0_wall,player_1_ball,player_1_total,player_1_wall,player_2_ball,player_2_total,player_2_wall,player_3_ball,player_3_total,player_3_wall,all_ball,all_total,all_wall
1,14.0000,8.6400,17.2000,15.0000,5.7200,17.0000,28.0000,12.5500,29.2000,12.0000,-6.6000,35.6000,69.0000,20.3100,99.0000
2,26.0000,21.1600,8.6000,30.0000,6.7300,17.6000,10.0000,1.8500,15.0000,24.0000,9.6000,27.4000,90.0000,39.3400,68.6000
3,28.0000,23.9500,7.4000,36.0000,25.9600,7.4000,30.0000,28.6500,1.8000,26.0000,16.5700,17.8000,120.0000,95.1300,34.4000
4,33.0000,29.7800,6.0000,78.0000,45.3900,8.8000,30.0000,28.9300,1.4000,33.0000,28.2800,8.8000,174.0000,132.3800,25.0000
5,50.0000,46.6900,0.4000,57.0000,38.8200,4.0000,39.0000,35.4600,2.6000,33.0000,26.1900,13.2000,179.0000,147.1600,20.2000
6,30.0000,26.4000,3.0000,39.0000,38.1300,1.6000,69.0000,46.1700,5.4000,55.0000,45.5700,10.6000,193.0000,156.2700,20.6000
7,39.0000,24.2100,9.4000,48.0000,36.5500,6.8000,48.0000,47.1200,9.6000,57.0000,41.5900,10.6000,192.0000,149.4700,36.4000
8,42.0000,39.3800,5.2000,60.0000,49.1800,1.6000,39.0000,33.9900,1.8000,57.0000,43.1700,7.4000,198.0000,165.7200,16.0000
9,39.0000,31.9600,20.0000,51.0000,40.7400,0.4000,70.0000,47.0500,9.8000,63.0000,45.1100,15.6000,223.0000,164.8600,45.8000
10,30.0000,29.5500,0.8000,69.0000,53.4100,3.0000,54.0000,27.7400,32.4000,49.0000,37.5100,18.8000,202.0000,148.2100,55.0000
11,42.0000,39.5600,0.8000,42.0000,39.3900,1.2000,54.0000,51.1500,1.6000,81.0000,47.9200,10.0000,219.0000,178.0200,13.6000
12,73.0000,61.3600,3.2000,40.0000,35.7700,2.4000,48.0000,44.6700,2.6000,71.0000,40.4700,21.0000,232.0000,182.2700,29.2000
13,54.0000,55.5600,0.8000,84.0000,69.0800,5.8000,57.0000,30.2500,11.4000,90.0000,57.8700,20.2000,285.0000,212.7600,38.2000
14,67.0000,62.4900,5.0000,81.0000,62.8800,4.2000,66.0000,49.5000,2.8000,84.0000,54.5300,20.8000,298.0000,229.4000,32.8000
15,84.0000,64.0200,19.8000,75.0000,55.4400,21.0000,54.0000,53.1900,15.4000,105.0000,79.1300,11.6000,318.0000,251.7800,67.8000
16,43.0000,38.3800,3.0000,86.0000,68.9900,19.8000,70.0000,46.9600,9.8000,72.0000,55.8800,24.0000,271.0000,210.2100,56.6000
17,56.0000,42.7400,14.4000,75.0000,64.7300,14.2000,63.0000,42.0100,5.8000,72.0000,49.3900,27.0000,266.0000,198.8700,61.4000
18,108.0000,84.6900,16.2000,69.0000,65.9100,11.8000,75.0000,65.1500,11.2000,49.0000,26.2200,33.2000,301.0000,241.9700,72.4000
19,75.0000,60.7400,14.2000,67.0000,75.1100,13.4000,90.0000,80.8700,11.8000,96.0000,72.3100,17.0000,328.0000,289.0300,56.4000
20,81.0000,66.3200,16.8000,69.0000,36.8600,9.8000,78.0000,70.7800,22.2000,81.0000,45.0800,27.4000,309.0000,219.0400,76.2000
21,78.0000,67.8200,4.0000,98.0000,80.8500,1.8000,45.0000,44.3300,23.0000,52.0000,20.1700,57.4000,273.0000,213.1700,86.2000
22,96.0000,81.8600,8.0000,90.0000,60.3000,19.0000,63.0000,47.6000,14.4000,75.0000,65.6800,42.2000,324.0000,255.4400,83.6000
23,91.0000,67.0500,25.8000,62.0000,46.1800,9.4000,78.0000,54.4800,8.8000,99.0000,100.8600,22.0000,330.0000,268.5700,66.0000
24,57.0000,44.0900,1.8000,81.0000,57.2800,7.4000,84.0000,50.4600,23.0000,141.0000,107.7400,12.4000,363.0000,259.5700,44.6000
25,87.0000,76.8300,16.2000,57.0000,32.0900,11.8000,90.0000,52.7500,26.4000,105.0000,83.3400,9.2000,339.0000,245.0100,63.6000
26,90.0000,73.2200,1.4000,63.0000,32.7100,28.4000,75.0000,59.9600,9.8000,56.0000,-5.4700,56.8000,284.0000,160.4200,96.4000
27,63.0000,53.0500,1.8000,99.0000,75.5600,10.8000,111.0000,89.4600,9.0000,60.0000,33.5000,42.8000,333.0000,251.5700,64.4000
28,75.0000,33.2800,27.2000,108.0000,75.2700,15.2000,69.0000,54.7200,34.2000,76.0000,34.5900,76.6000,328.0000,197.8600,153.2000
29,78.0000,55.7300,18.2000,78.0000,62.0400,19.6000,99.0000,58.6900,24.2000,80.0000,16.3900,73.0000,335.0000,192.8500,135.0000
30,66.0000,29.2500,29.2000,78.0000,47.3800,17.0000,87.0000,79.3800,40.8000,93.0000,71.3200,41.0000,324.0000,227.3300,128.0000
31,78.0000,76.8300,9.8000,75.0000,54.3700,22.8000,87.0000,64.3800,22.6000,93.0000,128.6500,22.0000,333.0000,324.2300,77.2000
32,81.0000,65.3500,26.8000,120.0000,122.3300,4.6000,78.0000,73.5700,8.2000,75.0000,43.6000,38.2000,354.0000,304.8500,77.8000
33,111.0000,116.1200,21.2000,69.0000,104.0800,19.2000,84.0000,58.2800,13.0000,69.0000,16.3000,97.0000,333.0000,294.7800,150.4000
34,69.0000,53.3000,21.0000,56.0000,50.9100,7.4000,84.0000,60.5200,16.2000,66.0000,19.7800,68.0000,275.0000,184.5100,112.6000
35,72.0000,35.6100,36.2000,120.0000,136.2100,17.0000,78.0000,50.6400,16.0000,81.0000,80.7000,13.8000,351.0000,303.1600,83.0000
36,96.0000,87.8100,15.8000,93.0000,99.5900,22.2000,99.0000,107.5400,16.4000,52.0000,45.2100,61.0000,340.0000,340.1500,115.4000
37,102.0000,79.1300,31.2000,90.0000,62.9800,19.4000,63.0000,30.2300,29.0000,93.0000,119.8400,35.6000,348.0000,292.1800,115.2000
38,93.0000,122.2900,12.4000,81.0000,151.5400,2.0000,87.0000,91.5400,40.2000,55.0000,22.9300,65.6000,316.0000,388.3000,120.2000
